,merchant,brand,product,description,current_price,per_unit_price,units,sku,flyer_valid_from,flyer_valid_to,image_url,price
0,Food Basics,MAPLE LEAF,MAPLE LEAF VIENNA SAUSAGE,"113 G
SELECTED VARIETIES",,1.48,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/29fda0a4-8df8-11ed-b0e8-0ec6e2beadde/x_large,1.48
1,Food Basics,,HAO OR ANN TEA,"20 - 100'S
SELECTED VARIETIES",,3.88,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/28e8354e-8df8-11ed-b0e8-0ec6e2beadde/x_large,3.88
2,Food Basics,,ASIAN YELLOW PEARS,"PRODUCT OF CHINA EXTRA FANCY GRADE

4.37/KG",,0.4365156351963879,100g,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269662/30ca1fb6-8df8-11ed-97cf-0e7faade0358/x_large,1.98
3,Food Basics,,FRESH SLICED PORK BELLIES 15.17/KG,,,1.516781601086439,100g,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269662/3060d510-8df8-11ed-97cf-0e7faade0358/x_large,6.88
4,Food Basics,,DAINTY ISLAND PARBOILED OR ROYAL ORCHID THAI HOM MALI RICE,"6 - 7 KG
SELECTED VARIETIES",,12.88,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269662/2fcb1d04-8df8-11ed-97cf-0e7faade0358/x_large,12.88
5,Food Basics,SAPORITO,SAPORITO CANOLA OIL,3 L,,9.98,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686283/1673467614/extra_large.jpg,9.98
6,Food Basics,KJ,KJ DUMPLINGS,"280 - 450 G, FROZEN
SELECTED VARIETIES",,3.48,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686284/1673467615/extra_large.jpg,3.48
7,Food Basics,MAPLE LEAF,MAPLE LEAF FLAKED MEAT,"156 G
SELECTED VARIETIES",,1.98,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269662/300cba52-8df8-11ed-97cf-0e7faade0358/x_large,1.98
8,Food Basics,PH FOOD,PH FOOD DUMPLINGS,"500 G, FROZEN
SELECTED VARIETIES",,4.88,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/2746a7a2-8df8-11ed-b0e8-0ec6e2beadde/x_large,4.88
9,Food Basics,MAPLE LEAF,MAPLE LEAF VIENNA SAUSAGE,"113 G
SELECTED VARIETIES",,1.48,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/29fda0a4-8df8-11ed-b0e8-0ec6e2beadde/x_large,1.48
10,Food Basics,,"SPAM LUNCHEON MEAT OR HEREFORD, GRACE OR COOL RUNNINGS CORNED BEEF","340 G

340 G
SELECTED VARIETIES",,3.88,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686289/1673467615/extra_large.jpg,3.88
11,Food Basics,,HAO OR ANN TEA,"20 - 100'S
SELECTED VARIETIES",,3.88,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/28e8354e-8df8-11ed-b0e8-0ec6e2beadde/x_large,3.88
12,Food Basics,TYJ,TYJ SPRING ROLL PASTRY,"250 - 275 G, FROZEN
SELECTED VARIETIES",,1.98,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/27c8d092-8df8-11ed-b0e8-0ec6e2beadde/x_large,1.98
13,Food Basics,CASABLANCA,CASABLANCA BUTTER COOKIES,"454 G
SELECTED VARIETIES",,3.88,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/2a4e6458-8df8-11ed-b0e8-0ec6e2beadde/x_large,3.88
14,Food Basics,MAE PLOY,MAE PLOY SWEET CHILI SAUCE,"730 ML
SELECTED VARIETIES",,6.98,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686295/1673467620/extra_large.jpg,6.98
15,Food Basics,CP,CP MEALS,"250 - 350 G, FROZEN",,5.88,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/273ad3a0-8df8-11ed-b0e8-0ec6e2beadde/x_large,5.88
16,Food Basics,LEE KUM KEE,LEE KUM KEE HOISIN SAUCE,"443 ML
SELECTED VARIETIES",,2.98,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/297ca792-8df8-11ed-b0e8-0ec6e2beadde/x_large,2.98
17,Food Basics,,"GOLD SEAL, BRUNSWICK OR ADRIATIC QUEEN SARDINES OR FILLETS","92 - 125 G
SELECTED VARIETIES",,1.48,each,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686297/1673467621/extra_large.jpg,1.48
