product_name,price,store,price2,per_unit_price2,unit_type
"WONDER PRODUCTS, COUNTRY HARVEST OR TORTILLA PRODUCTS","2/$7.00 or 3,99$ ea.",no_frills,7.00,7.00,
,"2/$7.00 or 3,99$ ea.",no_frills,7.00,7.00,
CHICKEN LEGS,$1.49 LB,no_frills,1.49,1.49,
"CLEMENTINES, 5 LB BOX",$3.99 ,no_frills,3.99,3.99,
PEAMEAL BACON,$1.99 LB,no_frills,1.99,1.99,
"LOU'S KITCHEN ENTRÉES, 375–400 g",$5.99 ,no_frills,5.99,0.014975,g
"TROPICANA, SIMPLY JUICE OR FRUIT BEVERAGE OR GOLD PEAK OR PURE LEAF ICED TEA, 1.54-1.75 L",$2.99 ,no_frills,2.99,2.99,
"CHAPMAN'S YUKON NOVELTIES, 5-8's OR PREMIUM ICE CREAM, 2 L",$3.49 ,no_frills,3.49,3.49,
"HIGH LINER PAN SEAR, SIGNATURE FISH OR SHRIMP, 425-600 g,",$6.99 ,no_frills,6.99,6.99,
"PC® CHOCOLATE BAR, 300 g OR CHOCOLATE COVERED NUTS OR FRUITS, 200-400 g",$2.99 ,no_frills,2.99,0.007475000000000001,g
"ROBIN HOOD OR FIVE ROSES ALL PURPOSE FLOUR, 10 kg",$11.99 ,no_frills,11.99,0.001199,g
BROCCOLI CROWNS,$1.99 each,no_frills,1.99,1.99,
"BLACK PLUMS OR ORGANIC BLUEBERRIES, 6 OZ CLAMSHELL",$1.99 EA/LB,no_frills,1.99,1.99,
GREEN OR RED SEEDLESS GRAPES,$2.99 LB,no_frills,2.99,2.99,
"FARMER'S MARKET™ AMBROSIA GALA APPLES, 4 LB BAG",$4.99 ,no_frills,4.99,4.99,
PINEAPPLE,$3.00 each,no_frills,3.00,3.00,
HONEYDEW OR MINI SEEDLESS WATERMELON,$4.00 ,no_frills,4.00,4.00,
"CAMPARI TOMATOES, 1 lb clamshell OR BEEFSTEAK TOMATOES",$2.99 EA/LB,no_frills,2.99,2.99,
"PC® ORGANICS BABY SPINACH OR FIELD GREENS, 312 g",$4.99 ,no_frills,4.99,0.015993589743589744,g
"FARMER'S MARKET™ LEMONS, 2 LB BAG",$4.99 ,no_frills,4.99,4.99,
"PC® LITTLE GEMS™ RED, YELLOW OR MIXED MINI POTATOES, 680 G",$4.99 ,no_frills,4.99,4.99,
"PC® WHOLE CREMINI OR WHITE MUSHROOMS, 454 G",$4.99 ,no_frills,4.99,4.99,
"GREEN OR RED SWEET PEPPERS, PKG OF 4",$4.99 ,no_frills,4.99,4.99,
PC® FREE FROM® BONELESS SKINLESS CHICKEN BREASTS,$8.59 LB,no_frills,8.59,8.59,
BONELESS BEEF STEW,$8.49 LB,no_frills,8.49,8.49,
PC® FREE FROM®® PORK SIDE RIBS,$5.99 LB,no_frills,5.99,5.99,
"PINK SALMON FILLETS, 700 g, 2 per bag",$10.00 ,no_frills,10.00,10.00,
"SCHNEIDERS CHICKEN WINGS, 615 g",$9.99 ,no_frills,9.99,0.01624390243902439,g
"SCHNEIDERS JUICY JUMBOS WIENERS, SMOKED SAUSAGE OR BLUE RIBBON BOLOGNA, 375-500 g",$5.99 ,no_frills,5.99,0.011980000000000001,g
"GO SHRIMP RAW 51-70 per lb or COOKED 61-90 per lb, GO WILD BATTERED or BREADED POLLOCK 227 g, SMOKED STEELHEAD SALMON 50 g, pre-sliced or SEAQUEST® FLAVOURED ALASKA POLLOCK ready to eat, 227 g",$2.49 ,no_frills,2.49,0.010969162995594715,g
"BARI RICOTTA CHEESE, 500 g or PC® GOAT CHEESE LOGS, 300 g",$7.00 ,no_frills,7.00,0.023333333333333334,g
"MASTRO SALAMI OR SALAMI WITH, 125/150 g",$5.99 ,no_frills,5.99,0.039933333333333335,g
"ZIGGY'S® FRESH PASTA, 350 g",2/$7.00 OR LESS THAN 2 $4 EA,no_frills,4 ,0.011428571428571429,g
"D'ITALIANO BREAD, 600/675 g or BUNS, 6/8's",$2.99 ,no_frills,2.99,2.99,
"KING'S HAWAIIAN BUNS, 12's",$4.00 ,no_frills,4.00,4.00,
"PC® PLANT BASED BREADED CHICKENLESS STRIPS, 350 g",$5.99 ,no_frills,5.99,0.017114285714285714,g
"PC® PLANT BASED MINI SAUSAGELESS ROLLS, 600 g",$5.99 ,no_frills,5.99,0.009983333333333334,g
"PC® PLANT BASED MOZZARELLA-STYLE STICKS, 454 g",$6.99 ,no_frills,6.99,0.01539647577092511,g
"NO NAME® WIENERS, 450 g",$2.49 ,no_frills,2.49,0.005533333333333334,g
"NO NAME® BREADED AND STUFFED CHICKEN, 284 g",Always$4.00 ,no_frills,4.00,0.004,ml
"NO NAME® BAGELS or ENGLISH MUFFINS, 6's or TORTILLAS, 320 g",$1.79 ,no_frills,1.79,0.00559375,g
"NO NAME® NATURAL CHEESE SLICES, 210/230 g",2/$8.00 OR LESS THAN 2 4.99 EA,no_frills,8.00,0.034782608695652174,g
"NO NAME® NATURALLY IMPERFECT™ FRUIT, 2 kg",$11.99 ,no_frills,11.99,0.005995,g
"NO NAME® SPINACH, 300 g",$1.29 ,no_frills,1.29,0.0043,g
"NO NAME® SOUR CREAM, 500 mL",$2.00 ,no_frills,2.00,2.00,
"NO NAME® CREAM CHEESE, 227/250 g",2/$5.00 OR LESS THAN 2 2.99 EA,no_frills,5.00,0.02,g
"NO NAME® VEGETABLES, 750 g",$2.00 ,no_frills,2.00,0.0026666666666666666,g
"NO NAME® PEANUT BUTTER, 1 kg",$3.79 ,no_frills,3.79,0.00379,g
"NO NAME® HONEY, 1 kg",$8.99 ,no_frills,8.99,0.00899,g
"NO NAME® POTATO CHIPS, 200 g",3/$3.00 OR LESS THAN 3 1.29 EA,no_frills,3.00,0.015,g
"NO NAME® EVAPORATED MILK, 354 mL",$1.29 ,no_frills,1.29,1.29,
"NO NAME® KETCHUP, 1 L",$2.49 ,no_frills,2.49,2.49,
"NO NAME® WHITE VINEGAR, 4 L",$2.29 ,no_frills,2.29,2.29,
"NO NAME® BLEACH, 2.4 L",$2.49 ,no_frills,2.49,2.49,
HAULER THERMAL BAG,$7.00 ,no_frills,7.00,7.00,
"FARMER'S MARKET™ RUSSET POTATOES, 10 LB BAG",$3.99 ,no_frills,3.99,3.99,
ENGLISH CUCUMBERS,$1.49 ,no_frills,1.49,1.49,
"AGROPUR BRIE or CAMEMBERT CHEESE, 170 g",$5.99 ,no_frills,5.99,0.03523529411764706,g
"VACHON SNACK CAKES, 252-336 g or PC® CINNAMON RAISIN BREAD, 675 g",2/$6.00 OR LESS THAN 2 3.49 EA,no_frills,6.00,0.008888888888888889,g
"BLACK DIAMOND CHEESTRINGS, 16's or STICKS 12's",$5.79 ,no_frills,5.79,5.79,
"OASIS JUICE or ARIZONA ICED TEA DRINK BOXES, 8x200 mL",2/$6.00 OR LESS THAN 2 3.29 EA,no_frills,6.00,6.00,
"DARE CRACKERS, 100-250 g",$2.00 ,no_frills,2.00,0.008,g
"PC® THE DECADENT® COOKIE, 280/300 g",2/$4.88 OR LESS THAN 2 2.79 EA,no_frills,4.88,0.016266666666666665,g
"NESTLÉ or M2GO MILKSHAKES, 473 mL",$1.00 ,no_frills,1.00,1.00,
"NEILSON CREAM 5%, 10%, 1 L or 18%, 35%, 473 mL",$2.69 ,no_frills,2.69,2.69,
"ARMSTRONG BARS, 400 g or SHREDDED CHEESE, 320 g",$4.99 ,no_frills,4.99,0.01559375,g
