,store,category,brand,product,price,per_unit_price,units
0,Walmart,flyer,,Cara Cara Oranges 3 lb,2.44,0.17930945284161393,100g
1,Walmart,flyer,,Cara Cara Blood Oranges 2 lb.,2.44,0.26896417926242083,100g
2,Walmart,flyer,,Fresh Pork Combination Chops,1.97,0.43431101077620415,100g
3,Walmart,flyer,Ruffles,Ruffles Chips,2.97,2.97,
4,Walmart,flyer,Ruffles,Ruffles Chips,2.97,2.97,
5,Walmart,flyer,Nestlé,Nestlé Drumstick,4.44,4.44,
6,Walmart,flyer,,Del Monte Novelties or Real Dairy Confectionery Tubs,4.44,4.44,
7,Walmart,flyer,Country Harvest,Country Harvest Grain Bread,2.77,0.46166666666666667,100g
8,Walmart,flyer,Country Harvest,Country Harvest Grain Bread,2.77,0.46166666666666667,100g
9,Walmart,flyer,Folgers,Folgers Ground Coffee,8.97,1.099264705882353,100g
10,Walmart,flyer,,Cashmere Bathroom Tissue,9.97,0.4154166666666667,packs
11,Walmart,flyer,,lunar,,,
12,Walmart,flyer,,Nappa Cabbage,1.27,0.2799873013633397,100g
13,Walmart,flyer,,Nappa Cabbage or Lobok,1.27,0.2799873013633397,100g
14,Walmart,flyer,Aroy-D,Aroy-D Coconut Milk,1.88,0.4699999999999999,100ml
15,Walmart,flyer,Delicious Kitchen,Delicious Kitchen Coconut Milk or Coconut Water,1.88,0.188,100ml
16,Walmart,flyer,,Delicious Coconut Milk,1.88,1.88,
17,Walmart,flyer,Delicious Kitchen,Delicious Kitchen Jasmine Rice,13.88,0.1735,100g
18,Walmart,flyer,Great Value,Great Value Vegetable Oil,15.88,0.3176,100ml
19,Walmart,flyer,Great Value,Great Value Canola Oil,15.88,0.3176,100ml
20,Walmart,flyer,,Digital gift cards,,,
21,Walmart,flyer,,lunar,,,
22,Walmart,flyer,Lee Kum Kee,Lee Kum Kee Hoisin Sauce,2.48,2.48,
23,Walmart,flyer,,Panda Oyster Sauce,2.48,2.48,
24,Walmart,flyer,,Marutai Noodles,2.98,2.98,
25,Walmart,flyer,Marutai,Marutai Noodles,2.98,2.98,
26,Walmart,flyer,ChaCheer,ChaCheer Sunflower Seeds,2.28,0.8769230769230769,100g
27,Walmart,flyer,Chacheer,Chacheer Sunflower Seeds,2.28,2.28,
28,Walmart,flyer,,Lotte Koala's March Cookies,4.88,2.5025641025641026,100g
29,Walmart,flyer,Lotte Koala's,Lotte Koala's March Cookies,4.88,2.5025641025641026,100g
30,Walmart,flyer,,Fresh Angus Beef Stewing Cubes,7.88,1.7372440431048166,100g
31,Walmart,flyer,,Fresh Lean Ground Pork Value Pack,6.88,6.88,
32,Walmart,flyer,,Siwin Dumplings,3.98,3.98,
33,Walmart,flyer,,Siwin Dumplings or Potstickers,3.98,3.98,
34,Walmart,flyer,O'Tasty,O'Tasty Dumplings,4.48,4.48,
35,Walmart,flyer,O'Tasty,O'Tasty Dumplings,4.48,0.7901234567901235,100g
36,Walmart,flyer,,Aqua Star Frozen Basa Fillet,5.0,1.25,100g
37,Walmart,flyer,,Joe's Tasty Travels Walnuts,11.0,2.0,100g
38,Walmart,flyer,Joe's Tasty Travels,Joe's Tasty Travels Almonds,11.0,2.0,100g
39,Walmart,flyer,Salton,Salton 10-Cup Rice Cooker & Steamer,21.98,21.98,
40,Walmart,flyer,,Starfrit The Rock 3L Electric Dual-Sided Hot Pot,48.88,48.88,
41,Walmart,flyer,Campbell's,Campbell's Broth,1.47,1.47,
42,Walmart,flyer,Heinz,Heinz Ketchup,3.97,0.397,100ml
43,Walmart,flyer,Campbell's,Campbell's Broth,1.47,1.47,
44,Walmart,flyer,Heinz,Heinz Ketchup,3.97,0.397,100ml
45,Walmart,flyer,Allen's,Allen's Juice or Drinks,1.97,1.97,
46,Walmart,flyer,Yoplait,Yoplait Tubes 8 Pack Yogurt,1.88,1.88,
47,Walmart,flyer,,Minigo 6-Pack Yogurt,1.88,1.88,
48,Walmart,flyer,Cheemo,Cheemo Perogies,2.27,0.25027563395810365,100g
49,Walmart,flyer,Cheemo,Cheemo Perogies,2.27,0.25027563395810365,100g
50,Walmart,flyer,Minute Maid,Minute Maid Drinks,2.97,0.16971428571428573,100ml
51,Walmart,flyer,Minute Maid,Minute Maid Drinks,2.97,0.1928571428571429,100ml
52,Walmart,flyer,,M&M's Milk Chocolate or Peanut Bowl Size,6.97,1.7425,100g
53,Walmart,flyer,Clif,Clif Bar,8.97,13.191176470588237,100g
54,Walmart,flyer,,Clif Bar,8.97,8.97,
55,Walmart,flyer,Pillsbury,Pillsbury Pizza Pops,15.47,0.5156666666666667,packs
56,Walmart,flyer,Pillsbury,Pillsbury Pizza Pops,15.47,0.5156666666666667,packs
57,Walmart,flyer,,Locked in low prices,,,
58,Walmart,flyer,Great Value,Great Value Pickles,2.47,2.47,
59,Walmart,flyer,Great Value,Great Value Mac & Cheese,0.77,0.3422222222222222,100g
60,Walmart,flyer,Great Value,Great Value Tuna,0.97,0.5705882352941176,100g
61,Walmart,flyer,Great Value,Great Value Tuna,0.97,0.5705882352941176,100g
62,Walmart,flyer,Coca-Cola,Coca-Cola,6.0,2.0,
63,Walmart,flyer,,Sprite,6.0,2.0,
64,Walmart,flyer,,Chef Boyardee,7.0,1.75,
65,Walmart,flyer,Chef Boyardee,Chef Boyardee,7.0,1.75,
66,Walmart,flyer,Activia,Activia Yogurt Tubs,10.0,3.3333333333333335,
67,Walmart,flyer,Activia,Activia Yogurt Tubs,10.0,3.3333333333333335,
68,Walmart,flyer,Christie,Christie Cookies,8.0,2.6666666666666665,
69,Walmart,flyer,Christie,Christie Cookies,8.0,2.6666666666666665,
70,Walmart,flyer,Orville Redenbacher,Orville Redenbacher Popcorn,9.0,4.5,
71,Walmart,flyer,Orville Redenbacher,Orville Redenbacher Popcorn,9.0,4.5,
72,Walmart,flyer,Danone,Danone Oikos Yogurt,11.0,3.6666666666666665,
73,Walmart,flyer,Danone,Danone Oikos Yogurt,11.0,3.6666666666666665,
74,Walmart,flyer,,Walmart,,,
75,Walmart,flyer,,Site to Store,,,
76,Walmart,flyer,,Meals made easy,,,
77,Walmart,flyer,Your Fresh Market,Your Fresh Market Meal Kits,9.97,9.97,
78,Walmart,flyer,Your Fresh Market,Your Fresh Market Carrots,2.47,0.18161764705882352,100g
79,Walmart,flyer,,Rainbow Peppers,4.47,1.49,packs
80,Walmart,flyer,Great Value,Great Value Popcorn Chicken or Meatballs,9.0,9.0,
81,Walmart,flyer,Great Value,Great Value Meatballs,9.0,9.0,
82,Walmart,flyer,Marcangelo,Marcangelo Bacon-Wrapped Fine Herb Pork Sirloin Roast 600 g or BBQ Roast 800 g,12.0,2.0,100g
83,Walmart,flyer,Lou's Kitchen,Lou's Kitchen Fully Cooked Entrees,8.97,8.97,
84,Walmart,flyer,Schneiders,Schneiders Pepperettes,9.97,3.3233333333333337,100g
85,Walmart,flyer,Your Fresh Market™,Your Fresh Market™ Sliced Deli Meats,3.47,1.9828571428571429,100g
86,Walmart,flyer,Your Fresh Market™,Your Fresh Market™ Sliced Deli Meats,3.47,1.9828571428571429,100g
87,Walmart,flyer,Furlani,Furlani Garlic Toast,4.47,0.7006269592476488,100g
88,Walmart,flyer,Your Fresh Market™,Your Fresh Market™ Cheese Slices,5.97,3.7312499999999997,100g
89,Walmart,flyer,Your Fresh Market™,Your Fresh Market™ Cheese Slices,5.97,3.7312499999999997,100g
90,Walmart,flyer,Furlani,Furlani Garlic Toast,4.47,0.7006269592476488,100g
91,Walmart,flyer,,Dempster's Bread or Hostess Value Snack Cakes,5.5,2.75,
92,Walmart,flyer,Wonder,Wonder Bread,5.5,2.75,
93,Walmart,flyer,,Sara Lee Little Bites,7.0,3.5,
94,Walmart,flyer,Sara Lee,Sara Lee Little Bites,7.0,3.5,
95,Walmart,flyer,Your Fresh Market™,Your Fresh Market™ Chocolate Chip Cookies,6.0,0.7326007326007326,100g
96,Walmart,flyer,Our Finest,Our Finest Frozen Entrees,3.97,3.97,
97,Walmart,flyer,Great Value,Great Value Frozen Fruit Cocktails,4.47,1.1175,100g
98,Walmart,flyer,Great Value,Great Value Frozen Fruit Cocktails,4.47,1.1175,100g
99,Walmart,flyer,Our Finest,Our Finest Frozen Entrees,3.97,1.1342857142857143,100g
100,Walmart,flyer,Huggies,Huggies 16x Wipes,23.97,23.97,
101,Walmart,flyer,,"Enfamil A+, A+ 2 or Geantlease A+ Ready to Feed",53.97,53.97,
102,Walmart,flyer,,Rascal + Friends Jumbo Box Diapers,26.97,26.97,
103,Walmart,flyer,Rascal + Friends,Rascal + Friends CoComelon Training Pants,26.97,26.97,
104,Walmart,flyer,Huggies,Huggies 16x Wipes,23.97,23.97,
105,Walmart,flyer,Enfamil,Enfamil A+ 2 Ready to Feed,53.97,53.97,
106,Walmart,flyer,,Walmart Canada,,,
107,Walmart,flyer,Great Value,Great Value Frozen Organic Fruit,6.97,1.1616666666666666,100g
108,Walmart,flyer,Great Value,Great Value The Ultimate Meatless Burger,8.97,1.12125,packs
109,Walmart,flyer,Great Value,Great Value Organic Eggs 12-Pack,6.28,6.28,
110,Walmart,flyer,Great Value,Great Value Oats,2.47,2.47,
111,Walmart,flyer,,Great Value Sauces,1.77,1.5663716814159294,100g
112,Walmart,flyer,Great Value,Great Value Canned Pineapple,1.67,1.67,
113,Walmart,flyer,Great Value,Great Value Canned Pineapple,1.67,1.67,
114,Walmart,flyer,Great Value,Great Value Sauces,1.77,1.5663716814159294,100g
115,Walmart,flyer,Great Value,Great Value Almond Beverage,1.97,1.97,
116,Walmart,flyer,Great Value,Great Value Almond Beverage,1.97,1.97,
117,Walmart,flyer,Great Value,Great Value Canned Beans,5.0,1.25,
118,Walmart,flyer,Great Value,Great Value Canned Beans,5.0,1.25,
119,Walmart,flyer,Great Value,Great Value Cheese Slices,4.78,4.78,
120,Walmart,flyer,Great Value,Great Value Nutri-Bowl Entrees,3.47,1.1566666666666667,100g
121,Walmart,flyer,Great Value,Great Value Cheese Slices,4.78,4.78,
122,Walmart,flyer,Great Value,Great Value Nutri-Bowl Entrees,3.47,1.1566666666666667,100g
123,Walmart,flyer,Great Value,Great Value Smoothie Yogurt Bars,6.98,6.98,
124,Walmart,flyer,Great Value,Great Value Drinkable Yogurt,4.48,4.81720430107527,100ml
125,Walmart,flyer,Great Value,Great Value Smoothie Yogurt Bars,6.98,6.98,
126,Walmart,flyer,Great Value,Great Value Drinkable Yogurt,4.48,4.48,
127,Walmart,flyer,SpongeTowels,SpongeTowels Ultra Paper Towels,5.97,0.995,packs
128,Walmart,flyer,,Finish Quantum Ultimate Detergent Tabs,16.97,16.97,
129,Walmart,flyer,Finish,Finish Quantum Max Detergent Tabs,16.97,16.97,
130,Walmart,flyer,Downy,Downy Unstopables,15.97,2.123670212765958,100g
131,Walmart,flyer,Gain,Gain Scent Beads,15.97,2.123670212765958,100g
132,Walmart,flyer,Tide,Tide Liquid Laundry Detergent,20.97,20.97,
133,Walmart,flyer,Air Wick,Air Wick Essential Mist Kit,9.97,9.97,
134,Walmart,flyer,Air Wick,Air Wick Scented Oil Refills,9.97,9.97,
135,Walmart,flyer,Swiffer,Swiffer Sweeper Dry Cloths 105 - 36s,9.97,9.97,
136,Walmart,flyer,Woolite,Woolite 2.96 Laundry Detergent,13.97,0.47195945945945944,100ml
137,Walmart,flyer,Lysol,Lysol Laundry Disinfectant 2.7 L,13.97,0.5174074074074074,100ml
138,Walmart,flyer,,Swiffer Sweeper Wet Refills 12s -24s or Dry Cloths 10s -36s,9.97,9.97,
139,Walmart,flyer,Great Value,Great Value Eco Towels,6.97,1.1616666666666666,packs
140,Walmart,flyer,Ziploc,Ziploc Freezer or Storage Bags,8.97,8.97,
141,Walmart,flyer,Royale,Royale Facial Tissue,18.77,1.0427777777777778,packs
142,Walmart,flyer,Royale,Royale Facial Tissue,18.77,1.0427777777777778,packs
143,Walmart,flyer,Ziploc,Ziploc Freezer or Storage Bag,8.97,8.97,
144,Walmart,flyer,AXE,AXE Body Spray,3.97,3.97,
145,Walmart,flyer,Old Spice,Old Spice Deodorant 85 g,5.47,6.435294117647058,100g
146,Walmart,flyer,,"Always Pads, Liners or Period Underwear or Tampax Tampons or L. Natural Tampons",16.0,8.0,
147,Walmart,flyer,AXE,AXE Deodorant,3.97,3.97,
148,Walmart,flyer,,Secret Antiperspirant 73g or Old Spice Deodorant 85g,5.47,5.47,
149,Walmart,flyer,Tampax,Tampax Tampons,16.0,8.0,
150,Walmart,flyer,L'Oréal,L'Oréal Paris Preference Hair Colour,10.97,10.97,
151,Walmart,flyer,L'Oréal,L'Oréal Paris Preference Hair Colour,10.97,10.97,
