product_name,price,price2,units
GENERAL MERCHANDISE,$19.99 EACH,19.99,
"RCA 50"" 4K UHD HDR10 WEBOS SMART TV",$299.99 ,299.99,
APPLE AIRPODS,$199.99 ,199.99,
"WESTINGHOUSE 65"" 4K UHD ROKU SMART TV",$499.99 ,499.99,
"BOLVA 43"" 4K UHD WEBOS SMART TV",$249.99 ,249.99,
AMAZON FIRE TABLET,$74.99 ,74.99,
ACER TOUCHSCREEN 2-IN-1 CHROMEBOOK & MOUSE BUNDLEEE,$209.99 ,209.99,
CHICKEN BREASTS BONE-IN SKIN-ON OR SPLIT CHICKEN WINGS,$2.99 lb,2.99,lb
SIRLOIN TIP OVEN ROAST,$3.99 lb,3.99,lb
GRAIN FED VEAL BREADED INSIDE SANDWICH SCALOPPINI,$7.99 lb,7.99,lb
"PORK BACK RIBS, 2'S",$2.99 lb,2.99,lb
LARGE CLEMENTINES,$3.99 ,3.99,
"FARMER'S MARKET™ RUSSET, WHITE, YELLOW OR RED POTATOES, 10 lb",$2.99 ,2.99,
AVOCADO BAG 5'S OR BLUEBERRIES,2/$6.00 less than 2 $3.49 ea.,3.49,l
AMAZON FIRE TABLET,$74.99 ,74.99,
MSC HADDOCK OR COD FILLETS,$9.99 lb,9.99,lb
"PC® 100% PURE MAPLE SYRUP, 500 mL",$7.99 ,7.99,
"ROOSTER™ SCENTED SCENTED JASMINE RICE, 8 kg",$13.88 ,13.88,
"CAMPBELL'S CHUNKY OR READY TO SERVE, 515 mL OR HABITANT SOUP, 796 mL",$1.99 ,1.99,
JAMIESON VITAMINS OR SUPPLEMENTS,$1.99 ,1.99,
"LIBERTÉ GREEK YOGURT, 650/750 G OR YOPLAIT SOURCE YOGURT, 16'S",$5.99 ,5.99,
"PC® PACIFIC LARGE WHITE SHRIMP RAW ZIPPERBACK®, 31-40 PER LB, 400 G",$6.99 ,6.99,
"CARNATION HOT CHOCOLATE TINS, 400-450 g",$4.99 ,4.99,
"PC® ORANGE JUICE, 1.54 L OR YOGURT, 4X100 G",$2.49 ,2.49,
"BLACK DIAMOND CHEESE BARS, 400 G, SHREDS, 320 G OR CHEESTRINGS, 12/16'S",$6.99 ,6.99,
"STOUFFER'S, LEAN CUISINE OR BISTRO ENTRÉES, 170-340 G OR MCCAIN FRIES OR HASH BROWNS, 900 G",$2.79 ,2.79,
"DR. OETKER RISTORANTE OR CASA DI MAMA PIZZA, 320-410 G OR PC®, BLUE MENU® THIN AND CRISPY™, LOADS OF OR FLAT BREAD PIZZAS, 330-405 G",$3.99 ,3.99,
"PRINGLES POTATO CHIPS, 148-156 G OR CHRISTIE CRISPERS, 145 G",$2.00 ,2.00,
"OUTDOOR HOLIDAY STATUES, 27 inch",from$79.00 ,79.00,m
"PC® NATURAL SPRING WATER, 24x500 mL",2/$6.00 less than 2 $3.99 ea.,3.99,l
"NESTLÉ PURE LIFE WATER, 24x500 mL",$3.99 ,3.99,
"HUGGIES, PAMPERS OR HELLO BELLO DIAPERS, 62-174's",$31.99 ,31.99,
