product_name,price
Fresh Boneless Pork Loins Cryovac 1/2 Loins 5.38/kg,$2.44 /lb
Compliments Whole White Mushrooms 227 g Product of Ontario Compliments Coleslaw 397 g Product of USA,2/$3.00 or $1.50 ea.
Red Seedless Grapes Product of USA No. 1 Grade 3.28/kg,$1.49 /lb
Compliments Carrots or Yellow Onions 3 lb bag Product of Ontario Canada No. 1 1.36 kg,$1.99 
"Janes Pub Style Chicken Strips, Nuggets or Burgers Frozen 1.1 kg",$9.99 
Gay Lea Butter Salted or Unsalted 454 g,$4.88 
Dr. Oetker Casa Di Mama or Ristorante Pizza 320-410 g or Dr. Oetker Giuseppe Garlic Fingers 317-405 g,$2.99 
"Coca-Cola or Pepsi Soft Drinks 2L Selected Varieties, Oasis Juices, Arizona Iced Tea or Del Monte Nectar 960mL, Grace Coconut Water 500mL Selected Varieties or Grace Coconut Milk 400mL",4/$5.00 
Lay's Potato Chips 177-235 g or Poppables 130 g Smartfood 150-220 g,2/$5.00 
Blueberries 170 g Product of Peru No. 1 Grade,$2.99 
Green Zucchini or Eggplant Product of Mexico or USA 3.73/kg,$1.69 /lb
Bartlett Pears Product of Ontario Canada Extra Fancy 3.95/kg,$1.79 /lb
Ambrosia or Fuji Apples Product of Ontario Canada Extra Fancy 3.95/kg,$1.79 /lb
Seedless Cucumbers Product of Ontario Canada No. 1 or Product of Mexico No. 1 Grade,$1.29 
Sweet Bell Peppers 4 pk Product of Ontario or Mexico,$3.49 
Lemons 2 lb bag Product of South Africa 907 g Limes 1lb bag Product of Mexico 454 g,$3.49 
"Acorn, Buttercup, Butternut or Spaghetti Squash Product of Ontario 2.18/kg",$.99 /lb
Brussels Sprouts Product of Ontario Canada No. 1 4.39/kg,$1.99 /lb
Fresh Attitude Single Serve Salad Kits 155-185 g,$4.49 
Pork Back Ribs Frozen Cryovac 17.61/kg,$7.99 /lb
Rachel's Original Deli Corned Beef Brisket or Pastrami 13.21/kg,$5.99 /lb
Marc Angelo Italian Style Pork Meatballs 1 kg,$10.00 
Catch of the Day Breaded Fish Fillets Frozen 350 g,$4.99 
Janes Ultimates Chicken Fillets Frozen 720 g,$11.99 
