category,product_name,price,per_unit_price
bakery,DItalianoThick Slice Original Bread675 g,$3.39ea,$0.50/ 100g
bakery,Country Harvest14 Grains Whole Wheat Bread600 g,$3.49ea,$0.58/ 100g
bakery,Casa MendosaLarge Original Tortillas640 g,$3.59ea,$0.56/ 100g
bakery,President's ChoiceTortillas Original 650 g,$4.19ea,$0.64/ 100g
bakery,President's ChoiceEnglish Muffins Original 6 Fork-Split Muffins342 g,$2.69ea,$0.79/ 100g
bakery,White Baguette255 g,$0.88ea,$0.35/ 100g
bakery,Farmer's MarketButter Croissant270 g,$4.00ea,$1.48/ 100g
bakery,"WonderBread, Sliced White675 g",$2.79ea,$0.41/ 100g
bakery,Old MillWhite Bread675 g,$1.79ea,$0.27/ 100g
bakery,Country HarvestAncient Grains & Red Fife Bread600 g,$3.49ea,$0.58/ 100g
bakery,Old Mill100% Whole Wheat Bread675 g,$1.79ea,$0.27/ 100g
bakery,Farmer's MarketBanana Chocolate Chunk Muffins600 g,$5.00ea,$0.83/ 100g
bakery,WonderWhite Hotdog Buns8x44.5 g,$2.79ea,$0.78/ 100g
bakery,Casa MendosaLarge Whole Wheat Tortillas640 g,$3.59ea,$0.56/ 100g
bakery,WonderWhite Hamburger Buns8x47.25 g,$2.79ea,$0.74/ 100g
bakery,"WonderThin Sandwich Bread, White675 g",$2.79ea,$0.41/ 100g
bakery,Farmer's MarketChocolate Chip Muffins600 g,$5.00ea,$0.83/ 100g
bakery,WonderWhite Bread with Fibre675 g,$2.79ea,$0.41/ 100g
bakery,Country HarvestEverything Bagel450 g,$3.19ea,$0.71/ 100g
bakery,Farmer's MarketBlueberry Muffins570 g,$5.00ea,$0.88/ 100g
bakery,No NameEnglish Muffin Original342 g,$1.88ea,$0.55/ 100g
bakery,"President's ChoiceMini Muffins, Chocolate275 g",$4.00ea,$1.45/ 100g
bakery,No NameEverything Bagels510 g,$1.88ea,$0.37/ 100g
bakery,Country HarvestStone Milled Whole Wheat Bread600 g,$3.49ea,$0.58/ 100g
bakery,DItalianoThick Sliced Bread 100% Whole Wheat 675 g,$3.39ea,$0.50/ 100g
bakery,Wonder100% Whole Wheat Bread675 g,$2.79ea,$0.41/ 100g
bakery,"No NameBagel Plain, 6 Pack510 g",$1.88ea,$0.37/ 100g
bakery,Farmer's MarketCarrot Muffins600 g,$5.00ea,$0.83/ 100g
bakery,WonderWhite Bread White Texas675 g,$2.79ea,$0.41/ 100g
bakery,Country HarvestEverything Bread600 g,$3.49ea,$0.58/ 100g
bakery,Country HarvestCinnamon Raisin Bread600 g,$3.49ea,$0.58/ 100g
bakery,"Casa Mendosa10 Medium Tortillas, Original340 g",$2.99ea,$0.88/ 100g
bakery,President's ChoiceBanana Chocolate Chip Mini Muffins275 g,$4.00ea,$1.45/ 100g
bakery,CrispyPistachio Short Bread Cookie0.35 kg,$3.99ea,$1.14/ 100g
bakery,"CharlottesCarrot Cake 6""475 g",$5.00ea,$1.05/ 100g
bakery,No Name10 Wheat Tortillas320 g,$1.88ea,$0.59/ 100g
bakery,T&TStrawberry Tropical Cake180 g,$1.00ea,$0.56/ 100g
bakery,CharlottesCake Vanilla Celebration475 g,$5.00ea,$1.05/ 100g
bakery,Farmer's MarketCinnamon Coffee Cake500 g,$5.50ea,$1.10/ 100g
bakery,La BaguetterieWhite Miche Sliced800 g,$4.00ea,$0.50/ 100g
bakery,DelsCherry Turnover4x90.0 g,$2.99ea,$0.83/ 100g
bakery,DelsApple Turnover825 g,$5.00ea,$0.61/ 100g
bakery,WonderBallpark Classics Hamburger Buns Limited Edition 560 g,$3.49ea,$0.62/ 100g
bakery,La BaguetterieMultigrain Miche Sliced600 g,$4.00ea,$0.67/ 100g
bakery,President's ChoiceSourdough Loaf500 g,$3.79ea,$0.76/ 100g
bakery,ACECiabatta Piccola 800 g,$5.49ea,$0.69/ 100g
bakery,PC Blue MenuWhite Loaf With Whole Grain450 g,$2.79ea,$0.62/ 100g
bakery,ACEOlive Oil & Sea Salt Mini Crisps180 g,$4.99ea,$2.77/ 100g
bakery,LA FOURNEE DOREESesame Brioche Burger Buns200 g,$3.29ea,$1.65/ 100g
bakery,United NationalNamak Para Snacks360 g,$3.49ea,$0.97/ 100g
bakery,PC Blue Menu100% Whole Wheat English Muffins342 g,$2.69ea,$0.79/ 100g
bakery,President's ChoiceGigantico Burger Buns 8x71.0 g,$4.29ea,$0.76/ 100g
bakery,Promise Gluten FreeBrioche Loaf Authentic Brioche400 g,$7.99ea,$2.00/ 100g
bakery,President's ChoiceItalian Style Bread Crumbs275 g,$2.99ea,$1.09/ 100g
bakery,DimpflmeierBread Original Swedish Style Light Rye454 g,$3.89ea,$0.86/ 100g
bakery,DimpflmeierWhole Wheat Bread European Style680 g,$3.99ea,$0.59/ 100g
bakery,LanthierHot Dog Buns16x385.0 g,$3.29ea,$0.85/ 100g
bakery,DimpflmeierKlosterbrot Bread454 g,$3.89ea,$0.86/ 100g
bakery,Frontier BakeryLebanese Style Whole Wheat Pita330 g,$1.69ea,$0.51/ 100g
bakery,Villa Di MannoCheese Buns352 g,$2.99ea,$0.85/ 100g
bakery,Dimpflmeier100% Rye Bread With Flaxseeds454 g,$4.99ea,$1.10/ 100g
bakery,"Casa Mendosa6 Large Tortillas, Tomato Salsa384 g",$3.59ea,$0.93/ 100g
bakery,"Farmer's MarketSliced Loaf Cake, Marble420 g",$4.00ea,$0.95/ 100g
bakery,FurlaniFrozen Texas Toast Garlic16x40.0 g,$3.49ea,$0.55/ 100g
bakery,Farmer's MarketPecan Butter Tarts6x85.0 g,$4.50ea,$0.88/ 100g
bakery,RubschlagerSesame Multigrain Loaf454 g,$2.00ea,$0.44/ 100g
bakery,"Casa Mendosa10 Medium Tortillas, Whole Wheat340 g",$2.99ea,$0.88/ 100g
bakery,Farmer's MarketFruitck Dark Pecan Topped500 g,$6.97ea,$1.39/ 100g
bakery,T&THome Style Pandesal680 g,$4.00ea,$0.59/ 100g
bakery,No NameBagel Poppy Seed510 g,$1.88ea,$0.37/ 100g
bakery,DItalianoCrustini Hamburger Buns568 g,$3.39ea,$0.60/ 100g
bakery,BaxtersVanilla Raspberry Cream6x67.0 g,$5.00ea,$1.24/ 100g
bakery,"No NameBagel Cinnamon Raisin, 6 pack510 g",$1.88ea,$0.37/ 100g
bakery,Old MillBlueberry Pie 8 Inch550 g,$3.79ea,$0.69/ 100g
