category,product_name,price,per_unit_price
dairy_and_eggs,NeilsonPartly Skimmed Milk 2% MF4 l,$5.69ea,$0.14/ 100ml
dairy_and_eggs,Gay LeaSalted Butter454 g,$7.19ea,$1.58/ 100g
dairy_and_eggs,No NameSalted Butter454 g,$5.99ea,$1.32/ 100g
dairy_and_eggs,"No NameWhite Large Eggs, 30 Pack 30 ea",$8.99ea,$0.30/ 1ea
dairy_and_eggs,NeilsonPartly Skimmed Milk 1% MF4 l,$5.69ea,$0.14/ 100ml
dairy_and_eggs,Gay LeaUnsalted Butter454 g,$7.19ea,$1.58/ 100g
dairy_and_eggs,No NameSour Cream 14%500 ml,$2.39ea,$0.48/ 100ml
dairy_and_eggs,No NameGrade A Extra Large Eggs12 eggs,$4.39ea,$0.37/ 1ea
dairy_and_eggs,President's ChoiceFree Run Brown Eggs Large12 eggs,$6.69ea,$0.56/ 1ea
dairy_and_eggs,Gray RidgePremium Large Eggs18 eggs,$6.49ea,$0.36/ 1ea
dairy_and_eggs,"Gay LeaSour Cream, Regular 14%500 ml",$2.49ea,$0.50/ 100ml
dairy_and_eggs,No NameUnsalted Butter454 g,$5.99ea,$1.32/ 100g
dairy_and_eggs,NeilsonTrutaste Partially Skimmed Milk 2 percent MF4 l,$5.49ea,$0.14/ 100ml
dairy_and_eggs,"NeilsonFlavoured Milk, Chocolate750 ml",$1.49ea,$0.20/ 100ml
dairy_and_eggs,AstroOriginal Balkan Balkan Style Yogurt750 g,$3.39ea,$0.45/ 100g
dairy_and_eggs,NeilsonHomogenized Milk 3.25%4 l,$6.69ea,$0.17/ 100ml
dairy_and_eggs,No NamePasteurized Cream Cheese250 g,$2.99ea,$1.20/ 100g
dairy_and_eggs,Black DiamondCheestrings Marbelicious 18% M.F.336 g,$5.79ea,$1.72/ 100g
dairy_and_eggs,"IOGONano Drinkable Yogurt, Strawberry6x93.0 ml",$4.19ea,$0.75/ 100ml
dairy_and_eggs,"NeilsonTrue Taste, 2% Milk2 l",$5.49ea,$0.27/ 100ml
dairy_and_eggs,NatrelLactose Free 2% Dairy Product (2L)2 l,$5.49ea,$0.27/ 100ml
dairy_and_eggs,No NameFarmer's Marble Cheese700 g,$9.99ea,$1.43/ 100g
dairy_and_eggs,No NameFarmer's Marble Cheese400 g,$5.99ea,$1.50/ 100g
dairy_and_eggs,BecelMargarine Original850 g,$8.49ea,$1.00/ 100g
dairy_and_eggs,PC OrganicsOrganic Free-Range Brown Eggs12 eggs,$7.49ea,$0.62/ 1ea
dairy_and_eggs,NeilsonWhipping Cream473 ml,$4.59ea,$0.97/ 100ml
dairy_and_eggs,NeilsonTruTaste 1% Milk4 l,$5.49ea,$0.14/ 100ml
dairy_and_eggs,"HansLassi Yogurt Smoothie, Sweet1 l",$3.19ea,$0.32/ 100ml
dairy_and_eggs,"NeilsonFlavoured Milk, Chocolate473 ml",$2.35ea,$0.50/ 100ml
dairy_and_eggs,HansNatural Yogurt Plain 2% M.F.650 g,$2.99ea,$0.46/ 100g
dairy_and_eggs,"Milk 2 GoSport, Chocolate325 ml",$2.29ea,$0.70/ 100ml
dairy_and_eggs,"Gray RidgeBrown Eggs, Large18 eggs",$6.69ea,$0.37/ 1ea
dairy_and_eggs,"Cracker BarrelCheese, Shredded Natural Smoked Aged & Medium 34 % M.F.300 g",$9.29ea,$3.10/ 100g
dairy_and_eggs,President's ChoiceLactose Free 2% M.F. Cottage Cheese500 g,$4.29ea,$0.86/ 100g
dairy_and_eggs,"Gay LeaReal Whipped Cream, Regular225 g",$4.39ea,$1.95/ 100g
dairy_and_eggs,NeilsonTrutaste Lactose Free 1% Milk4 l,$10.49ea,$0.26/ 100ml
dairy_and_eggs,No Name 75% Vegetable Oil Margarine Squares1.36 kg,$5.89ea,$0.43/ 100g
dairy_and_eggs,NeilsonFrench Vanilla Milkshake310 ml,$1.35ea,$0.44/ 100ml
dairy_and_eggs,No NameLight Medium Cheddar Cheese400 g,$5.99ea,$1.50/ 100g
dairy_and_eggs,No NamePlain Stirred 0% M.F. Yogurt750 g,$2.99ea,$0.40/ 100g
dairy_and_eggs,Golden GateMirage Margarine2.72 kg,$12.99ea,$0.48/ 100g
dairy_and_eggs,NeilsonTrutaste Lactose Free 2% Milk1 l,$4.39ea,$0.44/ 100ml
dairy_and_eggs,Brar'sMalai Paneer 20% M.F.375 g,$5.79ea,$1.54/ 100g
dairy_and_eggs,Suraj3.25% M.F. Dahi Yogurt750 g,$2.29ea,$0.31/ 100g
dairy_and_eggs,Gay LeaButter Garlic Parsley 125 g,$3.89ea,$3.11/ 100g
dairy_and_eggs,No NameCoffee Whitener1 kg,$7.79ea,$0.78/ 100g
dairy_and_eggs,NestleNesquik Milkshake473 ml,$1.79ea,$0.38/ 100ml
dairy_and_eggs,Cracker BarrelShreds Double Ched320 g,$9.29ea,$2.90/ 100g
dairy_and_eggs,"Burnbrae FarmsEgg Creations, Cheese & Chives500 g",$4.49ea,$0.90/ 100g
dairy_and_eggs,NeilsonHalf and Half Cream473 ml,$2.49ea,$0.53/ 100ml
dairy_and_eggs,AstroBalkan Yogourt Mango Vanilla Cream 6% M.F.500 g,$3.39ea,$0.68/ 100g
dairy_and_eggs,NeilsonHomogenized Milk2 l,$5.17ea,$0.26/ 100ml
dairy_and_eggs,Gay LeaButter 84 Baker's Gold 250 g,$7.69ea,$3.08/ 100g
dairy_and_eggs,President's ChoicePlant Based Butter Alternative Unsalted454 g,$3.59ea,$0.79/ 100g
dairy_and_eggs,NeilsonTrutaste Homogenized Milk Lactose Free 3.25% M.F.4 l,$10.79ea,$0.27/ 100ml
dairy_and_eggs,No NameLight 5% M.F. Sour Cream 250 ml,$1.99ea,$0.80/ 100ml
dairy_and_eggs,No NameVanilla Stirred 0% M.F. Yogurt650 g,$2.99ea,$0.46/ 100g
dairy_and_eggs,"No NamePizza Mozzarella Cheese, 28% MF700 g",$9.99ea,$1.43/ 100g
dairy_and_eggs,"NeilsonFlavoured Milk, Chocolate2 l",$4.99ea,$0.25/ 100ml
dairy_and_eggs,"PC OrganicsOrganic Greek Yogurt, Plain500 g",$5.49ea,$1.10/ 100g
dairy_and_eggs,No NameCoffee Whitener450 g,$4.39ea,$0.98/ 100g
dairy_and_eggs,President's ChoiceCountry Churned Salted Butter454 g,$5.69ea,$1.25/ 100g
dairy_and_eggs,NeilsonChocolate Milkshake310 ml,$1.35ea,$0.44/ 100ml
dairy_and_eggs,President's ChoiceHavarti Sliced Cheese210 g,$4.69ea,$2.23/ 100g
dairy_and_eggs,"Gray RidgeGrade A White Eggs, Small12 eggs",$2.79ea,$0.23/ 1ea
dairy_and_eggs,NeilsonTrutaste Lactose Free 2% Milk2 l,$5.49ea,$0.27/ 100ml
dairy_and_eggs,BecelMargarine with Avocado Oil850 g,$8.49ea,$1.00/ 100g
dairy_and_eggs,ImperialMargarine Quarters1.36 kg,$6.99ea,$0.51/ 100g
dairy_and_eggs,Cracker BarrelShreds Double Ched320 g,$9.29ea,$2.90/ 100g
dairy_and_eggs,NeilsonSkim Milk4 l,$5.69ea,$0.14/ 100ml
dairy_and_eggs,Gay LeaLactose Free Cottage Cheese450 g,$4.89ea,$1.09/ 100g
dairy_and_eggs,"AstroYogurt, Original Balkan Style, Plain 1%750 g",$3.39ea,$0.45/ 100g
dairy_and_eggs,ArmstrongShreded Old Cheddar320 g,$6.49ea,$2.03/ 100g
dairy_and_eggs,President's ChoiceMonterey Jack Sliced Cheese210 g,$4.69ea,$2.23/ 100g
dairy_and_eggs,OlivinaMargarine427 g,$4.19ea,$0.98/ 100g
dairy_and_eggs,KraftCheez Whiz Cheese Spread450 g,$6.49ea,$1.44/ 100g
dairy_and_eggs,PillsburyGrands Cookie Dough Chocolate Chip454 g,$4.49ea,$0.99/ 100g
dairy_and_eggs,YoplaitStrawberry Banana Yogurt8x93.0 ml,$5.49ea,$0.74/ 100ml
dairy_and_eggs,PhiladelphiaWhipped Jalapeno Cheddar Cream Cheese Product227 g,$3.89ea,$1.71/ 100g
dairy_and_eggs,KraftGrated Parmesan Cheese250 g,$6.99ea,$2.80/ 100g
dairy_and_eggs,Black DiamondCheestrings Marbelicious 18% M.F.588 g,$12.99ea,$2.21/ 100g
dairy_and_eggs,President's ChoiceChocolate Chip Cookie Dough468 g,$3.49ea,$0.75/ 100g
dairy_and_eggs,No NameStirred Yogurts 0 % M.F.12x100.0 g,$3.89ea,$0.32/ 100g
dairy_and_eggs,No Name1% M.F. Light Cottage Cheese500 g,$4.29ea,$0.86/ 100g
