product_name,price
"WONDER PRODUCTS, COUNTRY HARVEST OR TORTILLA PRODUCTS","2/$7.00 or 3,99$ ea."
,"2/$7.00 or 3,99$ ea."
CHICKEN LEGS,$1.49 LB
"CLEMENTINES, 5 LB BOX",$3.99 
PEAMEAL BACON,$1.99 LB
"LOU'S KITCHEN ENTRÉES, 375–400 g",$5.99 
"TROPICANA, SIMPLY JUICE OR FRUIT BEVERAGE OR GOLD PEAK OR PURE LEAF ICED TEA, 1.54-1.75 L",$2.99 
"CHAPMAN'S YUKON NOVELTIES, 5-8's OR PREMIUM ICE CREAM, 2 L",$3.49 
"HIGH LINER PAN SEAR, SIGNATURE FISH OR SHRIMP, 425-600 g,",$6.99 
"PC® CHOCOLATE BAR, 300 g OR CHOCOLATE COVERED NUTS OR FRUITS, 200-400 g",$2.99 
"ROBIN HOOD OR FIVE ROSES ALL PURPOSE FLOUR, 10 kg",$11.99 
RCA 55 INCH 4K UHD WEBOS SMART TV,$299.00 *
,$299.00 *
BROCCOLI CROWNS,$1.99 each
"BLACK PLUMS OR ORGANIC BLUEBERRIES, 6 OZ CLAMSHELL",$1.99 EA/LB
GREEN OR RED SEEDLESS GRAPES,$2.99 LB
"ACORN, BUTTERCUP, BUTTERNUT OR SPAGHETTI SQUASH",$.99 LB.
"FARMER'S MARKET™ AMBROSIA GALA APPLES, 4 LB BAG",$4.99 
SWEET POTATOES,$.99 LB
PINEAPPLE,$3.00 each
HONEYDEW OR MINI SEEDLESS WATERMELON,$4.00 
"CAMPARI TOMATOES, 1 lb clamshell OR BEEFSTEAK TOMATOES",$2.99 EA/LB
FUYU PERSIMMONS OR KIWI,$.75 
"GREEN CABBAGE OR ROOSTER GARLIC, pkg of 3,",$.79 EA/LB
"PC® ORGANICS BABY SPINACH OR FIELD GREENS, 312 g",$4.99 
"FARMER'S MARKET™ LEMONS, 2 LB BAG",$4.99 
"PC® LITTLE GEMS™ RED, YELLOW OR MIXED MINI POTATOES, 680 G",$4.99 
"PC® WHOLE CREMINI OR WHITE MUSHROOMS, 454 G",$4.99 
"GREEN OR RED SWEET PEPPERS, PKG OF 4",$4.99 
PC® FREE FROM® BONELESS SKINLESS CHICKEN BREASTS,$8.59 LB
BONELESS BEEF STEW,$8.49 LB
PC® FREE FROM®® PORK SIDE RIBS,$5.99 LB
"PINK SALMON FILLETS, 700 g, 2 per bag",$10.00 
"SCHNEIDERS CHICKEN WINGS, 615 g",$9.99 
"SCHNEIDERS JUICY JUMBOS WIENERS, SMOKED SAUSAGE OR BLUE RIBBON BOLOGNA, 375-500 g",$5.99 
"GO SHRIMP RAW 51-70 per lb or COOKED 61-90 per lb, GO WILD BATTERED or BREADED POLLOCK 227 g, SMOKED STEELHEAD SALMON 50 g, pre-sliced or SEAQUEST® FLAVOURED ALASKA POLLOCK ready to eat, 227 g",$2.49 
"BARI RICOTTA CHEESE, 500 g or PC® GOAT CHEESE LOGS, 300 g",$7.00 
"MASTRO SALAMI OR SALAMI WITH, 125/150 g",$5.99 
"ZIGGY'S® FRESH PASTA, 350 g",2/$7.00 OR LESS THAN 2 $4 EA
"D'ITALIANO BREAD, 600/675 g or BUNS, 6/8's",$2.99 
"KING'S HAWAIIAN BUNS, 12's",$4.00 
"PC® PLANT BASED BREADED CHICKENLESS STRIPS, 350 g",$5.99 
"PC® PLANT BASED MINI SAUSAGELESS ROLLS, 600 g",$5.99 
"PC® PLANT BASED MOZZARELLA-STYLE STICKS, 454 g",$6.99 
"NO NAME® WIENERS, 450 g",$2.49 
"NO NAME® BREADED AND STUFFED CHICKEN, 284 g",Always$4.00 
"NO NAME® BAGELS or ENGLISH MUFFINS, 6's or TORTILLAS, 320 g",$1.79 
"NO NAME® NATURAL CHEESE SLICES, 210/230 g",2/$8.00 OR LESS THAN 2 4.99 EA
"NO NAME® NATURALLY IMPERFECT™ FRUIT, 2 kg",$11.99 
"NO NAME® SPINACH, 300 g",$1.29 
"NO NAME® SOUR CREAM, 500 mL",$2.00 
"NO NAME® CREAM CHEESE, 227/250 g",2/$5.00 OR LESS THAN 2 2.99 EA
"NO NAME® VEGETABLES, 750 g",$2.00 
"NO NAME® PEANUT BUTTER, 1 kg",$3.79 
"NO NAME® HONEY, 1 kg",$8.99 
"NO NAME® POTATO CHIPS, 200 g",3/$3.00 OR LESS THAN 3 1.29 EA
"NO NAME® EVAPORATED MILK, 354 mL",$1.29 
"NO NAME® KETCHUP, 1 L",$2.49 
"NO NAME® WHITE VINEGAR, 4 L",$2.29 
"NO NAME® BLEACH, 2.4 L",$2.49 
HAULER THERMAL BAG,$7.00 
"FARMER'S MARKET™ RUSSET POTATOES, 10 LB BAG",$3.99 
ENGLISH CUCUMBERS,$1.49 
"AGROPUR BRIE or CAMEMBERT CHEESE, 170 g",$5.99 
