category,product_name,price,per_unit_price
meat,Lean Ground Beef Club Pack1.3 kg,$10.00ea,$0.77/ 100g
meat,No NameMild Sugar-Cured Bacon500 g,$3.99ea,$0.80/ 100g
meat,Lean Ground Beef500 g,$7.00ea,$1.40/ 100g
meat,"No NameBacon, Mild Sugar Cured with Reduced Salt, Uncooked500 g",$3.99ea,$0.80/ 100g
meat,Extra Lean Ground Beef500 g,$8.00ea,$1.60/ 100g
meat,"President's ChoiceFree From Chicken Breast, Boneless, Skinless",$10.54(est.)ea,$20.26/ 1kg
meat,SchneiderRed Hots Original Hot Dogs375 g,$6.49ea,$1.73/ 100g
meat,SchneiderHickory Smoked Classic Cut Bacon375 g,$3.99ea,$1.06/ 100g
meat,President's ChoiceReduced Salt Bacon  500 g,$7.49ea,$1.50/ 100g
meat,Medium Ground Beef500 g,$6.00ea,$1.20/ 100g
meat,Maple LeafOriginal Natural Bacon375 g,$7.99ea,$2.13/ 100g
meat,Maple LeafNatural Top Dogs Original Hot Dogs375 g,$6.29ea,$1.68/ 100g
meat,"President's ChoiceFree From Air Chilled Chicken Thighs, Club Pack",$14.11(est.)ea,$11.00/ 1kg
meat,"President's ChoiceFree From Chicken Breast, Boneless, Skinless, Club Pack",$21.01(est.)ea,$19.82/ 1kg
meat,President's ChoiceFree From Mild Italian Pork Sausages500 g,$6.99ea,$1.40/ 100g
meat,"JanesPub Style Chicken Strips, Fully Cooked700 g",$10.49ea,$1.50/ 100g
meat,"President's ChoiceFree From Chicken Drumsticks, Club Pack",$12.10(est.)ea,$11.00/ 1kg
meat,SchneiderJuicy Jumbos All Beef Hot Dogs375 g,$7.49ea,$2.00/ 100g
meat,No NameOriginal Hot Dogs    450 g,$4.49ea,$1.00/ 100g
meat,"ButterballTurkey, Bacon Style375 g",$7.49ea,$2.00/ 100g
meat,SchneiderJuicy Jumbos Original Hot Dogs450 g,$7.49ea,$1.66/ 100g
meat,"President's ChoiceFree From Split Chicken Wings, Club Pack",$14.24(est.)ea,$13.43/ 1kg
meat,"President's ChoicePub Recipe Chicken Strips, Fully Cooked700 g",$7.49ea,$1.07/ 100g
meat,No NameChicken Hot Dogs450 g,$2.99ea,$0.66/ 100g
meat,SchneiderSmokies Honey Garlic Smoked Sausage900 g,$14.99ea,$1.67/ 100g
meat,Maple LeafOktoberfest Dinner Sausage375 g,$7.49ea,$2.00/ 100g
meat,President's ChoiceFree From Bangers Pork Sausages500 g,$6.99ea,$1.40/ 100g
meat,"SchneiderSmoked Sausage, Oktoberfest375 g",$7.49ea,$2.00/ 100g
meat,Beyond MeatBeyond Sausage Hot Italian400 g,$8.99ea,$2.25/ 100g
meat,President's ChoiceFree From Bacon Style Turkey300 g,$8.19ea,$2.73/ 100g
meat,LilydaleSausage Turkey Maple Flavour375 g,$3.99ea,$1.06/ 100g
meat,President's ChoiceMaple Flavoured Naturally Smoked Bacon500 g,$7.79ea,$1.56/ 100g
meat,"Maple LeafChicken Breasts, Boneless, Skinless 2-Pack1 ea",$7.00ea,$7.00/ 1ea
meat,SufraExtra Lean Ground Chicken454 g,$8.00ea,$1.76/ 100g
meat,President's ChoiceFree From Original Breakfast Pork Sausages375 g,$6.99ea,$1.86/ 100g
meat,Maple Lodge Farms LTUltimate Chicken Wiener900 g,$6.49ea,$0.72/ 100g
meat,Maple LeafMini-Sizzlers Breakfast Sausages375 g,$7.49ea,$2.00/ 100g
meat,Beef Rib Eye Steak170 g,$7.00ea,$4.12/ 100g
meat,SchneiderAll Beef Hot Dogs375 g,$7.99ea,$2.13/ 100g
meat,President's ChoiceFree From Hot Italian Pork Sausages500 g,$6.99ea,$1.40/ 100g
meat,SchneiderJuicy Jumbos Original Hot Dogs Family Pack900 g,$11.99ea,$1.33/ 100g
meat,Extra Lean Ground Beef454 g,$7.00ea,$1.54/ 100g
meat,MarcangeloHoney Garlic Flavour Pork Sausages 375 g,$5.99ea,$1.60/ 100g
meat,Maple LeafFully Cooked Natural Pork Breakfast Sausage Patties300 g,$7.49ea,$2.50/ 100g
meat,SufraChicken Legs1.6 kg,$11.00ea,$0.69/ 100g
meat,LousPeameal Bacon Original800 g,$6.49ea,$0.81/ 100g
meat,Butcher's ChoiceHot Italian Pork Sausages1.45 kg,$15.99ea,$1.10/ 100g
meat,Zabiha HalalSpicy Supreme Chicken Frankfurters900 g,$4.99ea,$0.55/ 100g
meat,Maple LeafChicken Drumsticks0.872 g,$7.00ea,$802.75/ 100g
meat,Maple LeafReady Crisp Fully Cooked Less Salt Natural Bacon Slices65 g,$7.99ea,$12.29/ 100g
meat,"Boneless Pork Chop Center & Rib, Club Pack",$8.42(est.)ea,$10.99/ 1kg
meat,Zabiha HalalSpicy Supreme Chicken Frankfurters900 g,$4.99ea,$0.55/ 100g
meat,MontpakDiced Boneless Grain-Fed Stewing Veal,$8.81(est.)ea,$17.61/ 1kg
