category,brand,product,product_name,price,per_unit_price
produce,,"Bananas, Bunch","Bananas, Bunch",$1.50(est.)ea,$1.30/ 1kg
produce,,English Cucumber,English Cucumber1 ea,$1.49ea,$1.49/ 1ea
produce,,Green Onion,Green Onion1 bunch,$1.69ea,$1.69/ 1ea
produce,,Avocados Bag,Avocados Bag1 bag,$3.00ea,$0.60/ 1ea
produce,Farmer's Market,Yellow Onions,Farmer's MarketYellow Onions3 lb bag,$2.79ea,$0.21/ 100g
produce,,Celery Stalks,Celery Stalks1 ea,$2.99ea,$2.99/ 1ea
produce,,Raspberries 1/2 pint,Raspberries 1/2 pint170 g,$3.99ea,$2.35/ 100g
produce,,Broccoli,Broccoli1 ea,$2.99ea,$2.99/ 1ea
produce,,Clementines,Clementines5 lbs,$3.99ea,$0.17/ 100g
produce,,Lemon,Lemon1 ea,$0.79ea,$0.79/ 1ea
produce,,Blueberries 1 pint,Blueberries 1 pint340 g,$4.99ea,$1.47/ 100g
produce,,Red Seedless Grapes,Red Seedless Grapes,$6.52(est.)ea,$6.59/ 1kg
produce,Farmer's Market,Carrots,Farmer's MarketCarrots3 lb bag,$2.79ea,$0.20/ 100g
produce,Farmer's Market,Sweet Baby Peppers,Farmer's MarketSweet Baby Peppers4 pack,$3.99ea,$1.00/ 1ea
produce,,Zucchini,Zucchini,$1.41(est.)ea,$5.05/ 1kg
produce,,Cilantro,Cilantro1 bunch,$1.29ea,$1.29/ 1ea
produce,PC Organics,"Organic Bananas, Bunch","PC OrganicsOrganic Bananas, Bunch",$2.40(est.)ea,$2.18/ 1kg
produce,,Red Onion,Red Onion,$2.03(est.)ea,$5.49/ 1kg
produce,,Sweet Potato,Sweet Potato,$1.37(est.)ea,$2.18/ 1kg
produce,,Raspberry Pint ,Raspberry Pint 340 g,$5.99ea,$1.76/ 100g
produce,,Strawberries 1LB,Strawberries 1LB454 g,$6.49ea,$1.43/ 100g
produce,,Ginger,Ginger,$1.15(est.)ea,$5.49/ 1kg
produce,,Bartlett Pears,Bartlett Pears,$1.15(est.)ea,$5.49/ 1kg
produce,,Avocado,Avocado1 ea,$1.00ea,$1.00/ 1ea
produce,,Navel Orange,Navel Orange,$1.54(est.)ea,$4.39/ 1kg
produce,,Limes,Limes1 ea,$0.69ea,$0.69/ 1ea
produce,,Broccoli Crown,Broccoli Crown1 ea,$1.99ea,$1.99/ 1ea
produce,,Royal Gala Apples,Royal Gala Apples,$0.92(est.)ea,$4.39/ 1kg
produce,Rooster,Garlic      ,RoosterGarlic      90 g,$0.79ea,$0.26/ 1ea
produce,,Pineapple,Pineapple1 ea,$3.00ea,$3.00/ 1ea
produce,,Sweet Onion,Sweet Onion,$2.53(est.)ea,$5.49/ 1kg
produce,,Mango,Mango1 ea,$1.00ea,$1.00/ 1ea
produce,Farmer's Market,Grape Tomatoes,Farmer's MarketGrape Tomatoes283 g,$4.00ea,$1.41/ 100g
produce,Farmer's Market,Mini Carrots,Farmer's MarketMini Carrots340 g,$1.99ea,$0.59/ 100g
produce,,Pomegranate,Pomegranate1 ea,$1.50ea,$1.50/ 1ea
produce,,Colossal Garlic,Colossal Garlic,$1.54(est.)ea,$15.41/ 1kg
produce,President's Choice,Whole White Mushrooms,President's ChoiceWhole White Mushrooms454 g,$3.99ea,$0.88/ 100g
produce,Farmer's Market,Mandarin Orange 1.5LBs,Farmer's MarketMandarin Orange 1.5LBs681 g,$3.99ea,$0.59/ 100g
produce,,Large Chestnuts,Large Chestnuts,$0.66/50 g,$1.32/ 100g
produce,President's Choice,Mint,President's ChoiceMint28 g,$2.49ea,
produce,,Curly Parsley,Curly Parsley1 bunch,$1.99ea,$1.99/ 1ea
produce,President's Choice,Thyme ,President's ChoiceThyme 28 g,$2.49ea,
produce,President's Choice,Mixed Little Gems,President's ChoiceMixed Little Gems0.68 kg,$2.99ea,$0.44/ 100g
produce,,Honey Pitted Dates,Honey Pitted Dates350 g,$2.99ea,$0.85/ 100g
produce,PC Organics,Organic Cauliflower,PC OrganicsOrganic Cauliflower1 ea,$5.99ea,$5.99/ 1ea
produce,Paramount,"Pistachios, Salt & Pepper","ParamountPistachios, Salt & Pepper200 g",$5.99ea,$3.00/ 100g
produce,PC Blue Menu,Unsalted California Pistachios ,PC Blue MenuUnsalted California Pistachios 454 g,$9.99ea,$2.20/ 100g
produce,,Jalapeno Peppers,Jalapeno Peppers,$0.44(est.)ea,$8.80/ 1kg
produce,PC Blue Menu,Unsalted California Pistachios ,PC Blue MenuUnsalted California Pistachios 454 g,$9.99ea,$2.20/ 100g
produce,President's Choice,Broccoli Slaw,President's ChoiceBroccoli Slaw340 g,$2.99ea,$0.88/ 100g
produce,,Chinese Long Beans (Bodie),Chinese Long Beans (Bodie),$0.44/50 g,$0.88/ 100g
produce,,Italian Parsley,Italian Parsley1 bunch,$1.99ea,$1.99/ 1ea
produce,,SweeTango Apples,SweeTango Apples,$1.15(est.)ea,$5.49/ 1kg
produce,President's Choice,Salad Kit Chopped Sesame Wonton ,President's ChoiceSalad Kit Chopped Sesame Wonton 347 g,$5.49ea,$1.58/ 100g
produce,,Celery Hearts,Celery Hearts2 pack,$3.99ea,$2.00/ 1ea
produce,,Chinese Broccoli (gai lan),Chinese Broccoli (gai lan),$4.02(est.)ea,$6.59/ 1kg
produce,PC Organics,Baby Spinach,PC OrganicsBaby Spinach142 g,$4.49ea,$3.16/ 100g
produce,,Jamaican Sweet Potatoes,Jamaican Sweet Potatoes,$3.52(est.)ea,$8.80/ 1kg
produce,,Romaine Hearts,Romaine Hearts1 ea,$5.29ea,$2.65/ 1ea
produce,PC Organics,Organic King Oyster Sliced Mushrooms,PC OrganicsOrganic King Oyster Sliced Mushrooms200 g,$4.99ea,$2.50/ 100g
produce,,Karela,Karela,$0.86(est.)ea,$6.59/ 1kg
produce,,Clementine Stem & Leaf,Clementine Stem & Leaf,$0.69(est.)ea,$6.59/ 1kg
produce,PC Organics,Organic Cauliflower,PC OrganicsOrganic Cauliflower1 ea,$5.99ea,$5.99/ 1ea
produce,,Dried Turkish Apricots,Dried Turkish Apricots200 g,$2.99ea,$1.50/ 100g
produce,Taylor Farms,Guacamole Crunch Chopped Salad Kit,Taylor FarmsGuacamole Crunch Chopped Salad Kit319 g,$5.49ea,$1.72/ 100g
produce,,Chinese Bitter Melons,Chinese Bitter Melons,$1.45(est.)ea,$6.59/ 1kg
produce,POM Wonderful,100% Pomegranate Juice,POM Wonderful100% Pomegranate Juice1.4 l,$9.99ea,$0.71/ 100ml
produce,,"Fresh Dill, Baby","Fresh Dill, Baby1 bunch",$2.99ea,$2.99/ 1ea
produce,No Name,Brown Mushrooms,No NameBrown Mushrooms680 g,$4.00ea,$0.59/ 100g
produce,Gourmet Garden,Chunky Garlic Stir-In Paste,Gourmet GardenChunky Garlic Stir-In Paste115 g,$4.99ea,$4.34/ 100g
produce,Bolthouse,Blue Goodness,BolthouseBlue Goodness946 ml,$6.49ea,$0.69/ 100ml
produce,President's Choice,Red Grapes 2lb,President's ChoiceRed Grapes 2lb907 g,$6.99ea,$0.77/ 100g
produce,No Name,Naturally Imperfect English Cucumber 3lb Bag,No NameNaturally Imperfect English Cucumber 3lb Bag1.36 kg,$5.00ea,$0.37/ 100g
produce,Bolthouse,"Juice, 100% Pomegranate","BolthouseJuice, 100% Pomegranate1.54 l",$10.99ea,$0.71/ 100ml
produce,,Fuyu Persimmon,Fuyu Persimmon1 ea,$0.75ea,$0.75/ 1ea
produce,,Kiwis,Kiwis1 ea,$0.75ea,$0.75/ 1ea
