category,product_name,price,per_unit_price
seafood,President's ChoicePacific White Shrimp Raw Peeled400 g,$11.99ea,$3.00/ 100g
seafood,"Raw Wild Shrimp, Easy Peel300 g",$12.99ea,$4.33/ 100g
seafood,DOMSmoked Steelhead Salmon50 g,$2.99ea,$5.98/ 100g
seafood,"SeaquestColossal Raw Shrimp, 16/20300 g",$8.99ea,$3.00/ 100g
seafood,"SeaquestScallops, Small454 g",$9.99ea,$2.20/ 100g
seafood,"SeaquestCooked Shrimp, 36/45300 g",$5.99ea,$2.00/ 100g
seafood,SeaquestKing Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting227 g,$2.99ea,$1.32/ 100g
seafood,SeaquestKing Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting227 g,$2.99ea,$1.32/ 100g
seafood,"SeaquestRaw Shrimp, 36/45300 g",$5.99ea,$2.00/ 100g
seafood,SeaquestLobster Flavoured Wild Alaska Pollock Chunks227 g,$2.99ea,$1.32/ 100g
seafood,President's ChoiceSmoked Wild Sockeye Salmon150 g,$11.99ea,$7.99/ 100g
seafood,SeaquestKing Crab Flavoured Wild Alaska Pollock Chunks227 g,$2.99ea,$1.32/ 100g
seafood,"SeaquestSole Fillets, Skinless Boneless400 g",$7.99ea,$2.00/ 100g
seafood,SeaquestSalad Shrimp454 g,$11.99ea,$2.64/ 100g
seafood,SeaquestWild Haddock Fillets Skinless Boneless 400 g,$7.99ea,$2.00/ 100g
seafood,Breaded Popcorn Shrimp908 g,$10.00ea,$1.10/ 100g
seafood,President's ChoiceBreaded Butterflied Shrimp 400 g,$9.99ea,$2.50/ 100g
seafood,President's ChoiceBreaded Coconut Shrimp With Sweet Chili Dipping Sauce454 g,$11.99ea,$2.64/ 100g
seafood,Fresh Salmon,$17.78(est.)ea,$23.99/ 1kg
seafood,SeaquestTilapia Fillets400 g,$6.99ea,$1.75/ 100g
seafood,SeaquestCod Fillets Wild Pacific400 g,$6.99ea,$1.75/ 100g
seafood,"President's ChoiceCandied Salmon, Maple Flavour150 g",$9.99ea,$6.66/ 100g
seafood,Green OceanGo Raw White Shrimp 51/70160 g,$2.99ea,$1.87/ 100g
seafood,SeaquestWild Pollock Fillets400 g,$5.99ea,$1.50/ 100g
seafood,PremierWild Crab Blue Swimming Crab Meat227 g,$15.99ea,$7.04/ 100g
seafood,Salmon700 g,$10.00ea,$1.43/ 100g
seafood,President's ChoiceCrispy Shrimp Fine Hors D'Oeuvre Trio528 g,$14.99ea,$2.84/ 100g
seafood,"Ocean JewelTuna Steak, Frozen Yellow Fin92 g",$2.99ea,$3.25/ 100g
seafood,Premier Seafood Mix340 g,$5.99ea,$1.76/ 100g
seafood,AquastarBreaded Haddock Fillets    500 g,$9.99ea,$2.00/ 100g
seafood,MillionnairesFlat Fillets of Anchovies50 g,$3.99ea,$3.99/ 50g
seafood,Basa Steaks1 kg,$9.99ea,$1.00/ 100g
seafood,Feature FoodsHerring Fillets in Wine Marinade600 g,$8.99ea,$1.50/ 100g
seafood,President's ChoiceTempura Torpedo Shrimp With Sweet Soy Dipping Sauce340 g,$9.99ea,$2.94/ 100g
seafood,President's ChoiceRaw Butterflied Shrimp Garlic & Herb Grilling 12 Pieces Minimum340 g,$10.99ea,$3.23/ 100g
seafood,President's ChoiceBacon-Wrapped Wild Sea Scallops260 g,$15.99ea,$6.15/ 100g
seafood,President's Choice Atlantic Salmon Burger568 g,$11.99ea,$2.11/ 100g
seafood,High LinerPink Salmon400 g,$10.99ea,$2.75/ 100g
seafood,President's ChoiceRaw Shrimp Skewers Lime & Chili Grilling 360 g,$11.99ea,$3.33/ 100g
seafood,SeaquestAtlantic Salmon Fillet    ,$11.63(est.)ea,$34.15/ 1kg
seafood,President's ChoiceRaw Shrimp340 g,$11.99ea,$3.53/ 100g
seafood,"ChelseaBoned Cod Fillets, Salted454 g",$11.99ea,$2.64/ 100g
seafood,Anchor BayMussel Meat340 g,$5.99ea,$1.76/ 100g
seafood,Green OceanGo Cooked White Shrimp 61/90160 g,$2.99ea,$1.87/ 100g
