category,product_name,price,per_unit_price
Dairy,Farmer's MarketYellow Onions3 lb bag,$1.29ea,$0.09/ 100g
Dairy,Tomato On The Vine Red ( 1 Bunch),$3.12(est.)ea,$4.39/ 1kg
Dairy,Avocados Bag1 bag,$1.99ea,$0.40/ 1ea
Dairy,Cilantro1 bunch,$2.49ea,$2.49/ 1ea
Dairy,Farmer's MarketCarrots3 lb bag,$1.29ea,$0.09/ 100g
Dairy,Blueberries 1 pint340 g,$4.99ea,$1.47/ 100g
Dairy,Limes1 ea,$0.99ea,$0.99/ 1ea
Dairy,RoosterGarlic      90 g,$1.49ea,$0.50/ 1ea
Dairy,Farmer's MarketMini Carrots340 g,$1.99ea,$0.59/ 100g
Dairy,SweeTango Apples,$1.15(est.)ea,$5.49/ 1kg
Dairy,Platter Veggie Small850 g,$13.00ea,$1.49/ 100g
Dairy,PC OrganicsOrganic Cauliflower1 ea,$5.99ea,$5.99/ 1ea
Dairy,White Peaches,$1.65(est.)ea,$11.00/ 1kg
Dairy,Fresh Orange Juice1.5 l,$15.00ea,$1.00/ 100ml
Dairy,Lunch Size Veg and Dip 600G1 kg,$8.00ea,$1.33/ 100g
Dairy,WellCold Pressed Juice C Well  333 ml,$5.99ea,$1.80/ 100ml
Dairy,Chick Pea/Artichoke/Sundried Tomato Salad,$7.45(est.)ea,$21.90/ 1kg
Dairy,GreenhouseKombucha Ultraviolet Organic    340 ml,$4.99ea,$1.47/ 100ml
Dairy,PC OrganicsOrganic Clementines2 lb bag,$9.99ea,$1.10/ 100g
Dairy,"Fresh Dill, Baby1 bunch",$3.99ea,$3.99/ 1ea
Dairy,RemedyPeach Kombucha700 ml,$4.99ea,$0.71/ 100ml
Dairy,Pearl Onion250 g,$2.99ea,$1.20/ 100g
Dairy,Premium Taco Salad326 g,$8.00ea,$2.16/ 100g
Dairy,PC OrganicsOrganic Baby King Oyster Mushrooms200 g,$5.99ea,$3.00/ 100g
Dairy,Blueberry Parfait290 g,$5.00ea,$1.92/ 100g
Dairy,POM WonderfulFresh Arils122 g,$4.99ea,$4.09/ 100g
Dairy,President's ChoiceMixed Little Gems Potatoes0.68 kg,$3.99ea,$0.59/ 100g
Dairy,No NameNaturally Imperfect Avocados3 lb bag,$8.99ea,$0.66/ 100g
Dairy,BolthouseBlue Goodness946 ml,$6.99ea,$0.74/ 100ml
Dairy,PC OrganicsOrganic Thyme20 g,$2.99ea,
Dairy,GoodLeafMicro Arugula50 g,$3.99ea,$7.98/ 100g
Dairy,Italian Parsley1 bunch,$2.49ea,$2.49/ 1ea
Dairy,ReneesMighty Caesar Dressing42 g,$0.59ea,$1.40/ 100g
Dairy,"Mushroom Kebab, 4 pack604 g",$9.00ea,$1.49/ 100g
Dairy,Greek Salad Family Size1 kg,$16.00ea,$1.60/ 100g
Dairy,GreenhouseLime Herbal Kombucha340 ml,$4.99ea,$1.47/ 100ml
Dairy,"GreenhouseRaw, Organic Juice Genius300 ml",$7.49ea,$2.50/ 100ml
Dairy,Curly Parsley1 bunch,$2.49ea,$2.49/ 1ea
Dairy,President's ChoiceBroccoli Slaw340 g,$3.99ea,$1.17/ 100g
Dairy,GreenhouseOrganic Booster Lullaby60 ml,$3.99ea,$6.65/ 100ml
Dairy,Organic Sage1 ea,$3.99ea,$3.99/ 1ea
Dairy,"PC OrganicsOrganic Avocados, Bag3 pack",$6.99ea,$2.33/ 1ea
Dairy,Avocado Salad238 g,$8.00ea,$3.36/ 100g
Dairy,PC OrganicsBaby Spinach142 g,$5.99ea,$4.22/ 100g
Dairy,President's ChoiceBay Leaf28 g,$2.50ea,
Dairy,Farmer's MarketGranny Smith Apples4 lb bag,$8.99ea,$0.50/ 100g
Dairy,President's ChoiceMint28 g,$2.50ea,
Dairy,Coloured Carrots454 g,$3.49ea,$0.77/ 100g
Dairy,PC OrganicsOrganics Whole Button Cremini Mushrooms227 g,$3.99ea,$1.76/ 100g
Dairy,Farmer's MarketRed Potatoes 10lb Bag10 lb bag,$6.99ea,$0.15/ 100g
Dairy,"Happy PlanetFruit Smoothie, Coconut & Pineapple900 ml",$6.99ea,$0.78/ 100ml
Dairy,President's ChoiceSalad Kit Chopped Sesame Wonton 347 g,$6.49ea,$1.87/ 100g
Dairy,President's ChoiceGreek Vin Pouch 45Ml45 ml,$0.59ea,$1.31/ 100ml
Dairy,RemedyOrganic Mango Passionfruit Kombucha700 ml,$4.99ea,$0.71/ 100ml
Dairy,Romaine Salad Family Size1 kg,$14.00ea,$1.40/ 100g
Dairy,Lunch Size Veg and Dip 600G1 kg,$8.00ea,$1.33/ 100g
Dairy,WellCold Pressed Juice C Well  333 ml,$5.99ea,$1.80/ 100ml
Dairy,Chick Pea/Artichoke/Sundried Tomato Salad,$7.45(est.)ea,$21.90/ 1kg
Dairy,GreenhouseKombucha Ultraviolet Organic    340 ml,$4.99ea,$1.47/ 100ml
Dairy,PC OrganicsOrganic Clementines2 lb bag,$9.99ea,$1.10/ 100g
Dairy,"Fresh Dill, Baby1 bunch",$3.99ea,$3.99/ 1ea
Dairy,Organic Cantaloupe1 ea,$5.99ea,$5.99/ 1ea
Dairy,PC OrganicsOrganic Bartlett Pears,$1.76(est.)ea,$8.80/ 1kg
Dairy,Happy PlanetClean Protein Smoothie Fair Trade Chocolate & Coconut900 ml,$6.99ea,$0.78/ 100ml
Dairy,PC OrganicsOrganic Granny Smith Apples3 lb bag,$9.99ea,$0.73/ 100g
Dairy,LoopMorning Glory Juice    947 ml,$7.99ea,$0.80/ 100ml
Dairy,President's ChoiceThyme 28 g,$2.50ea,
Dairy,"Red Beets, Bunched1 bunch",$3.99ea,$3.99/ 1ea
Dairy,Chicken Caesar Salad Family Size1.07 kg,$16.00ea,$1.50/ 100g
Dairy,Fresh Orange Juice473 ml,$6.00ea,$1.27/ 100ml
Dairy,Premium Chicken BLT340 g,$8.00ea,$2.35/ 100g
Dairy,Organic Brussel Sprouts227 g,$7.99ea,$3.52/ 100g
Dairy,PC OrganicsOrganic Sweet Potatoes 3lb Bag3 lb bag,$7.99ea,$0.59/ 100g
Dairy,SweeTango Apples,$1.15(est.)ea,$5.49/ 1kg
Dairy,Platter Veggie Small850 g,$13.00ea,$1.49/ 100g
Dairy,PC OrganicsOrganic Cauliflower1 ea,$5.99ea,$5.99/ 1ea
Dairy,White Peaches,$1.65(est.)ea,$11.00/ 1kg
Dairy,Fresh Orange Juice1.5 l,$15.00ea,$1.00/ 100ml
Dairy,RemedyPeach Kombucha700 ml,$4.99ea,$0.71/ 100ml
Dairy,Pearl Onion250 g,$2.99ea,$1.20/ 100g
Dairy,Premium Taco Salad326 g,$8.00ea,$2.16/ 100g
Dairy,PC OrganicsOrganic Baby King Oyster Mushrooms200 g,$5.99ea,$3.00/ 100g
Dairy,Blueberry Parfait290 g,$5.00ea,$1.92/ 100g
Dairy,POM WonderfulFresh Arils122 g,$4.99ea,$4.09/ 100g
Dairy,"Mini Halloween Pumpkins, 6 Pack1 ea",$3.99ea,$0.33/ 100g
Dairy,President's ChoiceBroccoli Slaw340 g,$3.99ea,$1.17/ 100g
Dairy,President's ChoiceCauliflower Florets340 g,$5.49ea,$1.61/ 100g
Dairy,Organic Sage1 ea,$3.99ea,$3.99/ 1ea
Dairy,"PC OrganicsOrganic Avocados, Bag3 pack",$6.99ea,$2.33/ 1ea
Dairy,GreenhouseLime Lemongrass Organic Kombucha1000 ml,$9.99ea,$1.00/ 100ml
Dairy,Papaya,$7.14(est.)ea,$5.49/ 1kg
Dairy,President's ChoiceVegetable Medley340 g,$5.49ea,$1.61/ 100g
Dairy,GreenhouseOrganic Booster Lullaby60 ml,$3.99ea,$6.65/ 100ml
Dairy,SunrichApple Slices280 g,$4.99ea,$1.78/ 100g
Dairy,Organic Raspberries 1/2 pint170 g,$5.99ea,$3.52/ 100g
Dairy,MarzettiSouthwest Ranch Veggie Dip85 g,$1.49ea,$1.75/ 100g
Dairy,President's ChoiceCauliflower Florets340 g,$5.49ea,$1.61/ 100g
Dairy,Avocado Salad238 g,$8.00ea,$3.36/ 100g
Dairy,"Red Beets, Bunched1 bunch",$3.99ea,$3.99/ 1ea
Dairy,PC OrganicsOrganic Granny Smith Apples3 lb bag,$9.99ea,$0.73/ 100g
Dairy,LoopMorning Glory Juice    947 ml,$7.99ea,$0.80/ 100ml
Dairy,President's ChoiceMixed Little Gems Potatoes0.68 kg,$3.99ea,$0.59/ 100g
Dairy,No NameNaturally Imperfect Avocados3 lb bag,$8.99ea,$0.66/ 100g
Dairy,President's ChoiceMixed Greens0.34 kg,$3.49ea,$1.03/ 100g
Dairy,POM Wonderful100% Pomegranate Juice1.4 l,$14.99ea,$1.07/ 100ml
Dairy,"MarzettiVeggie Dip, Ranch340 g",$5.49ea,$1.61/ 100g
Dairy,BolthouseGreen Goodness1.54 l,$9.99ea,$0.65/ 100ml
Dairy,Celery Hearts2 pack,$3.99ea,$2.00/ 1ea
Dairy,"GreenhouseRaw, Organic Juice the Good300 ml",$7.49ea,$2.50/ 100ml
Dairy,President's ChoiceLoads Of Garlic Caesar Salad Kit319 g,$6.49ea,$2.03/ 100g
Dairy,Seedless Watermelon Halves1 ea,$7.00ea,$7.00/ 1ea
Dairy, Strawberry Limeade4x355.0 ml,$10.99ea,$3.10/ 100ml
Dairy,GoodLeafGood Leaf Baby Arugula142 g,$5.99ea,$4.22/ 100g
Dairy,Jamaican Ginger,$4.05(est.)ea,$17.61/ 1kg
Dairy,Santa Claus Melons,$9.60(est.)ea,$5.05/ 1kg
Dairy,Fresh AttitudeSpring Mix Salad with Toppings Single Sized155 g,$5.99ea,$3.86/ 100g
Dairy,President's ChoiceDill28 g,$2.50ea,
Dairy,"Garlic, Peeled250 g",$3.49ea,$1.40/ 100g
Dairy,Premium Baby Spinach With Chicken294 g,$8.00ea,$2.72/ 100g
Dairy,President's ChoiceCaesar Salad Kit282 g,$4.99ea,$1.77/ 100g
Dairy,Farmer's MarketSpartan Apples4 lb bag,$6.99ea,$0.39/ 100g
Dairy,Farmer's MarketHoneycrisp Apples4 lb bag,$10.99ea,$0.61/ 100g
Dairy,MannsSnap Peas227 g,$5.49ea,$2.42/ 100g
Dairy,Farmer's MarketMango Red 3Ct3 ea,$4.99ea,$1.66/ 1ea
Dairy,Radicchio Lettuce,$4.10(est.)ea,$13.21/ 1kg
Dairy,"GreenhouseRaw, Organic Juice Gatsby300 ml",$7.49ea,$2.50/ 100ml
Dairy,Golden Delicious Apples,$1.21(est.)ea,$5.49/ 1kg
Dairy,Mini Greek Salad155 g,$5.00ea,$3.23/ 100g
Dairy,President's ChoiceCauliflower Slaw0.34 kg,$3.99ea,$1.17/ 100g
Dairy,PC OrganicsHand-Picked Gala Apples3 lb bag,$9.99ea,$0.73/ 100g
Dairy,WellCold Pressed Juice Be Well  333 ml,$5.99ea,$1.80/ 100ml
Dairy,President's ChoiceCreamy Greek Pouch 44Ml44 ml,$0.59ea,$1.34/ 100ml
Dairy,"Taylor FarmsChopped Salad Kit, Dill Pickle341 g",$6.49ea,$1.95/ 100g
Dairy,Petite Carrots340 g,$3.49ea,$1.03/ 100g
Dairy,"Red Bananas, Bunch",$2.76(est.)ea,$3.73/ 1kg
Dairy,GreenhouseGinger Tumeric Kombucha340 ml,$4.99ea,$1.47/ 100ml
Dairy,ReneesRanch Refrigerated Dip283 g,$5.99ea,$2.12/ 100g
Dairy,Premium Garden Veg Romaine310 g,$8.00ea,$2.58/ 100g
Dairy,Farmer's MarketRed Onions3 lb bag,$4.99ea,$0.37/ 100g
Dairy,Greenhouse Fiery Ginger60 ml,$3.99ea,$6.65/ 100ml
Dairy,"Pineapple Vegetable Kebab, 4 pack764 g",$9.00ea,$1.18/ 100g
Dairy,Organic Pink Grapefruit Smoothie355 ml,$3.49ea,$0.98/ 100ml
Dairy,Frisee Lettuce 2-pack200 g,$4.99ea,$2.50/ 100g
Dairy,Carnival Squash,$8.96(est.)ea,$4.39/ 1kg
Dairy,President's ChoiceBroccoli Florets340 g,$4.49ea,$1.32/ 100g
Dairy,PC OrganicsRomaine Lettuce Hearts3 ea,$6.49ea,$2.16/ 1ea
Dairy,President's ChoiceLive Lettuce Boston1 ea,$2.99ea,$2.99/ 1ea
Dairy,Avocado Case2 kg case,$11.99ea,$0.60/ 100g
Dairy,Snack  Platter380 g,$7.00ea,$1.84/ 100g
Dairy,Heirloom Ontario Garlic115 g,$3.49ea,$3.03/ 100g
Dairy,PC OrganicsOrganics Portobello Mushroom Caps240 g,$5.99ea,$2.50/ 100g
Dairy,President's ChoiceMini Sweet Potatoes1.5 lb bag,$4.99ea,$0.73/ 100g
Dairy,Cooking Spinach227 g,$3.49ea,$1.54/ 100g
Dairy,BolthouseAmazing Mango946 ml,$6.99ea,$0.74/ 100ml
Dairy,Radishes1 bunch,$1.69ea,$1.69/ 1ea
Dairy,PC OrganicsOrganic Cremini Mushrooms680 g,$7.99ea,$1.18/ 100g
Dairy,BolthouseGreen Goodness450 ml,$5.49ea,$1.22/ 100ml
Dairy,Flavour Burst Sungold Golden Kiwi454 g,$5.99ea,$1.32/ 100g
Dairy,Farmer's MarketCortland Apples4 lb bag,$7.99ea,$0.44/ 100g
Dairy,Hami Melons,$14.75(est.)ea,$5.05/ 1kg
Dairy,President's ChoiceGreen Beans340 g,$4.99ea,$1.47/ 100g
Dairy,BolthouseBerry Boost Juice450 ml,$5.49ea,$1.22/ 100ml
Dairy,Small Cubed Cantaloupe300 g,$6.00ea,$2.00/ 100g
Dairy,Greek Yogurt Parfait290 g,$5.00ea,$1.72/ 100g
Dairy,President's ChoiceSavory28 g,$2.50ea,
Dairy,Collard Greens1 bunch,$3.99ea,$3.99/ 1ea
Dairy,President's ChoiceBacon Caesar Chop Salad Kit326 g,$6.49ea,$1.99/ 100g
Dairy,PC OrganicsOrganics Whole Oyster Mushrooms100 g,$3.99ea,$3.99/ 100g
Dairy,Organic Thyme Potted1 ea,$3.99ea,$3.99/ 1ea
Dairy,PC OrganicsOrganics Whole Cremini Mushrooms227 g,$2.99ea,$1.32/ 100g
Dairy,PC OrganicsHoneycrisp Apples 3Lb Bag1.36 kg,$10.99ea,$0.81/ 100g
Dairy,President's ChoiceChopped Mexican Style Street Corn Salad Kit285 g,$6.49ea,$2.28/ 100g
Dairy,BolthouseStrawberry Banana450 ml,$5.49ea,$1.22/ 100ml
Dairy,President's ChoiceSweet Baby Lettuce142 g,$4.99ea,$3.51/ 100g
Dairy,Fruit Salad Large750 g,$9.00ea,$1.20/ 100g
Dairy,Carrots & Cucumber 255 g,$4.00ea,$1.57/ 100g
Dairy,Pineapple Cubed Large1 kg,$9.00ea,$1.16/ 100g
Dairy,Black Mission Figs227 g,$5.99ea,$2.64/ 100g
Dairy,PC OrganicsBaby Arugula142 g,$5.99ea,$4.22/ 100g
Dairy,BolthouseBerry Boost946 ml,$6.99ea,$0.74/ 100ml
Dairy,President's ChoiceBlsmic Vin Pouch 45Ml45 ml,$0.59ea,$1.31/ 100ml
Dairy,"President's ChoiceLive Lettuce Red/Green, 2-pack1 ea",$4.99ea,$4.99/ 1ea
Dairy,Berry Berry Small295 g,$6.00ea,$0.60/ 100g
Dairy,Gourmet GardenItalian Herbs Stir-In Paste115 g,$5.99ea,$5.21/ 100g
Dairy,Greek Chicken Salad Family Size1.415 kg,$16.00ea,$1.13/ 100g
Dairy,Broccoli Cauli Peas Carrots392 g,$6.00ea,$1.53/ 100g
Dairy,Large House Cheddar Salad648 g,$11.00ea,$1.70/ 100g
Dairy,President's ChoiceTarragon28 g,$2.50ea,
Dairy,Gold Cored Pineapple0.6 kg,$5.99ea,$1.00/ 100g
Dairy,Butternut Squash,$7.07(est.)ea,$4.39/ 1kg
Dairy,"MarzettiVeggie Dip, Light Ranch340 g",$5.49ea,$1.61/ 100g
Dairy,President's ChoiceGarden Salad0.34 kg,$3.49ea,$1.03/ 100g
Dairy,President's ChoiceGarden Salad0.34 kg,$3.49ea,$1.03/ 100g
Dairy,BolthouseBerry Boost946 ml,$6.99ea,$0.74/ 100ml
Dairy,Gold Cored Pineapple0.6 kg,$5.99ea,$1.00/ 100g
Dairy,Butternut Squash,$7.07(est.)ea,$4.39/ 1kg
Dairy,"MarzettiVeggie Dip, Light Ranch340 g",$5.49ea,$1.61/ 100g
Dairy,"MarzettiVeggie Dip, Spinach340 g",$5.49ea,$1.61/ 100g
Dairy,Wholly GuacamoleMinis227 g,$5.99ea,$2.64/ 100g
Dairy,Minneola Tangelos,$1.47(est.)ea,$6.59/ 1kg
Dairy,President's ChoiceFinger Hot Hot Peppers226 g,$5.99ea,$2.65/ 100g
Dairy,Rutabaga,$4.52(est.)ea,$2.84/ 1kg
