product_name,price
DELISSIO Thin Crispy Crust Pizza,2/$7.00 
"Fresh Atlantic Salmon Roasts with Stuffed Imitation Crab, Chipotle, Apple and Seafood Filling",$13.99 /lb 30.84/kg
COMPLIMENTS Fries 1.5 kg or GREEN GIANT Frozen Vegetables 750 g or Valley Selections 400-500 g,$3.49 
SMART ONES Frozen Entrées,2/$5.00 
Wrap Sandwiches,$6.29 
Prepared Fresh Daily Cored Pineapples,$6.29 
COMPLIMENTS Frozen Waffles,$2.79 
Fresh Canadian Medium Ground Chuck Beef Burgers,$6.99 /lb 15.41/kg
SWIFT Pot Pies,$1.00 
QUAKER Dipps or Chewy,$2.49 
,$2.49 
Beef Chuck Short Ribs,starting at$13.99 /lb 30.84/kg
COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Boneless Skinless Chicken Breasts,"$6.99 /lb, 15.41/kg"
Tomatoes on the Vine,$1.99 /lb 4.39/kg
"COMPLIMENTS Traditional Beef, COMPLIMENTS Balance Soy, Chicken or Turkey Burgers",$11.99 
Emmental,$1.89 /100 G
Fresh Atlantic Salmon Portions,2/$8.00 
Broccoli Crowns,$2.49 /lb 5.49/kg
Clementines,$5.44 
DEMPSTER'S Bagels,2/$6.00 
COCA-COLA or PEPSI Soft Drinks,2/$6.00 
KRAFT Dinner,$.97 
COMPLIMENTS Tomatoes,$.99 
COMPLIMENTS Cheese,$4.44 
"SPEND $50 OR MORE, GET 500 PTS That's like $5 toward your groceries in Scene+points",$4.44 
,$4.44 
COMPLIMENTS Fresh AIR-CHILLED Split Chicken Wings,$5.99 /lb 13.21/kg
PANACHE Dinner or Breakfast Pork Sausages,$4.99 
COMPLIMENTS Cooked Shrimp Ring,$9.99 
LAY'S Potato Chips,2/$6.00 
COMPLIMENTS Sour Cream,$2.00 
COCA-COLA Soft Drinks,2/$13.00 
MOTT'S Clamato,2/$7.00 
COMPLIMENTS Shredded Cheese,$5.49 
COMPLIMENTS NATURALLY SIMPLE Raw Pacific White Shrimp,$11.99 with Scene+ Card
Kaiser Buns,$2.99 
Raspberries,$3.49 
DARE Cookies,$1.99 
KRAFT Philadelphia Cream Cheese,2/$7.00 
KRAFT Salad Dressing,$2.49 
FILIPPO BERIO Olive Oil,$5.99 
GENERAL MILLS Family Size Cheerios,$5.99 
"KELLOGG'S Rice Krispies Treats, Pop-Tarts, Nutri-Grain Bars or Special K Pastry Crisps",$2.47 
NATREL Lactose Free or Fine Filtered Milk,$4.49 
CESAR Gourmet Wet Dog Food,4/$5.00 
CASHMERE Bath Tissue Double,$6.44 
"PAMPERS Super Pack Diapers, Training Pants or Ninjamas",$24.99 
FINISH Tabs,$9.99 
KRAFT Peanut Butter,$8.97 
COMPLIMENTS Large White Eggs,$9.47 
DANONE Oikos Greek Yogurt,$9.99 
GATORADE Team Pack,$17.99 
MILLER Light,promo retail$16.25 
HEINEKEN,promo retail$15.95 
SLEEMAN Original Draught,promo retail$14.50 
,promo retail$14.50 
Yams or Sweet Onion,$1.99 /lb 4.39/kg
Bartlett Pears,$2.99 /lb 6.59/kg
Seasonal Holiday Outdoor Arrangements,STARTING AT$30.00 ea when you buy 2 or more
Large Green Kiwi,$3.99 
Limes,$3.99 
Green Onions,$1.49 
Fresh Boughs,$9.00 ea when you buy 2 or more
COMPLIMENTS ORGANIC Stuffing Mushrooms,$5.49 
Decorative Outdoor Accessories,3/$20.00 or 7.99 each
Broccoli Bunches,$3.49 
Leeks,$2.99 /lb 6.59/kg
COMPLIMENTS ORGANIC Salad Blends,$6.99 
Holiday Wreaths or Swags,STARTING AT$16.99 
COMPLIMENTS Mini Potatoes,$3.79 
Mini Sweet Peppers,$4.99 
COMPLIMENTS McIntosh Apples or Spartan Apples,$4.99 
Prepared Fresh Daily Fruit or Vegetable Kabobs,$4.99 
Prepared Daily Chicken Caesar Salad,$4.99 
Seasonal Bouquets in rich Jewel Tones,$14.99 
Assorted Holiday Branches and Pinecones,3/$20.00 or 7.99 each
POM WONDERFUL Pistachios,$9.49 
OCEAN SPRAY Craisins,$2.49 
Rosemary or Lavender Tree,$16.00 
Assorted Poinsettia in Upgrade,$12.99 
Fresh Chicken Legs,$2.99 /lb 6.59/kg
Fresh Pork Tenderloin,$5.99 /lb 13.21/kg
Fresh Pork Hocks,$3.49 /lb 7.69/kg
Fresh Boneless Eye Of Round Oven Roast or Marinating Steak,$6.99 /lb 15.41/kg
STERLING SILVER Fresh Boneless Top Sirloin Grilling Steak or Premium Oven Roast,$9.99 /lb 22.02/kg
SUNGOLD Lamb Tonight,$10.99 
Fresh Canadian Medium Ground Chuck Beef Burgers,$6.99 /lb 15.41/kg
Whole Ducks,$4.99 /lb 11.00/kg
COMPLIMENTS Ground Pork,$5.00 ea when you buy 2 or more
Fresh Boneless Whole Beef Brisket,$5.99 /lb 13.21/kg
MONTANA'S Angus Beef Burgers,$11.99 
COMPLIMENTS Thick Cut Bacon,$12.99 ea when you buy 2 or more
MONTANA'S Texas BBQ Pork Back Ribs,$16.99 
SCHNEIDERS Lunchmate Stackers or Adult Snack Kits or GREENFIELD Kits,$3.50 ea when you buy 3 or more
JOHNSONVILLE Breakfast or Pork Smoked Sausages,STARTING AT$4.99 
SCHNEIDERS Sliced Meats or Olde Fashioned Ham Steaks,$4.99 ea when you buy 2 or more
COMPLIMENTS Cured Boneless Pork Loin rolled in cornmeal,$3.99 /lb 8.80/kg
"PINTY'S Eatwell Chicken Burgers, Strips or Nuggets",$12.99 
BEYOND MEAT Plant-Based Ground Beef,$4.99 
"COMPLIMENTS or PANACHE Meat or Seafood Appetizers, Meatballs, Egg Rolls or Spring Rolls",$4.99 
COMPLIMENTS Crab Flavoured Seafood Flake Style bulk,$4.99 /lb 11.00/kg
Cooked or Raw Garlic Shrimp Griller,$5.99 
"Lobster, Crab or Shrimp & Spinach Cakes",2/$5.00 
Haddock Fillets,$7.99 /lb 17.61/kg with Scene+ Card
THE KEG Bacon Wrapped Scallops,$18.99 
ANCHOR'S BAY Seafood Medley,$4.99 
HIGH LINER Signature Cuts or Pan Sear Breaded or Battered Premium Fish,$12.99 
BEST BUY Shrimp Raw,$5.00 with Scene+ Card
COMPLIMENTS Salads,$2.99 ea when you buy 2 or more
FONTAINE SANTÉ Dips or Hummus,$2.99 ea when you buy 2 or more
California Family Pack Sushi,$2.99 ea when you buy 2 or more
HAPPY PLANET ORGANIC Soups,$7.49 
SUMM! Asian Appetizers,$5.00 ea when you buy 2 or more
OKA or OKA Swiss-style,$5.00 ea when you buy 2 or more
OKA,$7.99 ea when you buy 2 or more
ILCHESTER British Cheese Advent Calendar,$36.99 
BABYBEL Cheese Advent Calendar,$22.99 
PILLER'S Pepperoni Toppings,$10.79 
"MAPLE LEAF Natural Selections Sliced Deli Meats, Shaved or Carved",$13.99 
Winnipeg Style Rye Bread,$3.29 with Scene+Card
Almond Danish Kringle,$5.99 
Single Layer Shortcakes,$15.49 
Croissants,$4.29 
Monte Cristo or Milano Panettone,STARTING AT$9.99 
Panjimi Naan,$4.49 ea when you buy 2 or more
PANACHE Profiteroles or Eclairs,$10.99 
LIBERTÉ Classique,2/$7.00 
TWO GOOD or Oikos Greek Yogurt,$3.99 
STARBUCKS Coffee Creamer,$6.99 
COMPLIMENTS Cottage Cheese,$5.49 with Scene+ Card
GAY LEA Aerosol Whipped Cream,$3.49 ea when you buy 2 or more
COMPLIMENTS Tropical Blends,$2.99 
BREYERS Classic Frozen Dessert,$4.99 
COMPLIMENTS Hashbrown Patties,$4.49 
ARMSTRONG Cheese Block,$6.99 
ARMSTRONG Shredded Cheese,$6.99 
HELUVA GOOD! Sour Cream Dips,$2.49 ea when you buy 2 or more
ARMSTRONG Cheese Slices,$5.99 
RIGHTEOUS Gelato or Sorbetto,$7.99 
MCCAIN Regular Fries,$3.99 
BEST BUY Ice Milk,$5.99 
SIMPLY Lemonade,$4.99 
MARIE CALLENDER'S Frozen Meals,$7.99 
MICHELINA'S Frozen Entrées,3/$5.00 or 1.99 ea
COMPLIMENTS Frozen Entrées,$2.79 ea when you buy 2 or more
QUEST Protein Chips or Bars,$3.79 
WEBBER Vitamins and Supplements,$3.79 
RXBAR,2/$5.00 
DOLE Live Right Bars,$1.49 with Scene+ Card
SENSIBLE PORTIONS,$2.99 
SMARTSWEETS,$2.99 ea when you buy 2 or more
Chickapea Pasta,$5.49 
COMPLIMENTS ORGANIC 100% Cranberry Juice,$6.29 
NATREL ORGANIC Milk,$5.99 
SILK Plant-Based Cheese,$4.99 
EARTH'S OWN Naked ORGANIC Oat Beverage,$5.99 
COMPLIMENTS ORGANIC Large Eggs,$6.99 
,$6.99 
COMPLIMENTS Apple Sauce,$1.99 with scene+ card
PANACHE Maple Syrup Amber Rich,$7.99 
OLD EL PASO Mexican Rice,2/$7.00 
GROUND BEEF OLD EL PASO Dinner kits,$4.99 
COMPLIMENTS Flour,$4.79 
HERSHEY'S Chipits,$3.49 
PANACHE Salad Dressing,$2.99 ea when you buy 2 or more
MRS. CUBBISON'S Croutons or Texas Toast,$3.49 
LIV99 Extra Virgin Olive Oil,$5.99 
DEMPSTER'S White Or 100% Whole Wheat Bread Or Buns,$5.99 
COMPLIMENTS Tortillas,$4.49 
COMPLIMENTS Snacks,2/$7.00 
BEN'S Original Converted Rice,$7.99 
VH Sauces,$3.69 ea when you buy 2 or more
PEPSI Flavour Soft Drinks,$7.49 with Scene+ Card
QUAKER Crispy Minis,$2.69 ea when you buy 3 or more
DORITOS Tortilla Chips,2/$8.00 
COCA-COLA Mini Bottles,$6.00 ea when you buy 2 or more
"COMPLIMENTS Cranberry, Vegetable or Tomato Clam Cocktails",$6.00 ea when you buy 2 or more
"MONSTER, NOS or REIGN Energy Drinks",$2.79 ea when you buy 2 or more
AHA Sparkling Water,$2.79 ea when you buy 2 or more
PANACHE Cookies,$3.99 
CHRISTIE Premium Plus Crackers,$4.49 
DARE Breton or Vinta Crackers,$2.50 ea when you buy 2 or more
SUNKIST Fruit Snacks,$8.99 
HERSHEY'S King Size Bars,$1.99 
HERSHEY'S or NESTLÉ Advent Calendar,$9.99 
