category,product_name,price,per_unit_price
bakery,Country Harvest14 Grains Whole Wheat Bread600 g,$3.99ea,$0.67/ 100g
bakery,President's ChoiceTortillas Original 650 g,$4.29ea,$0.66/ 100g
bakery,President's ChoiceEnglish Muffins Original 6 Fork-Split Muffins342 g,$2.89ea,$0.85/ 100g
bakery,White Baguette255 g,$1.69ea,$0.66/ 100g
bakery,Farmer's MarketButter Croissant270 g,$3.99ea,$1.48/ 100g
bakery,"WonderBread, Sliced White675 g",$3.99ea,$0.59/ 100g
bakery,Old MillWhite Bread675 g,$2.79ea,$0.41/ 100g
bakery,Old Mill100% Whole Wheat Bread675 g,$2.79ea,$0.41/ 100g
bakery,Farmer's MarketBanana Chocolate Chunk Muffins600 g,$6.99ea,$1.17/ 100g
bakery,WonderWhite Hotdog Buns8x44.5 g,$3.99ea,$1.12/ 100g
bakery,Casa MendosaLarge Whole Wheat Tortillas640 g,$4.79ea,$0.75/ 100g
bakery,WonderWhite Hamburger Buns8x47.25 g,$3.99ea,$1.06/ 100g
bakery,"WonderThin Sandwich Bread, White675 g",$3.99ea,$0.59/ 100g
bakery,Farmer's MarketChocolate Chip Muffins600 g,$6.99ea,$1.17/ 100g
bakery,WonderWhite Bread with Fibre675 g,$3.99ea,$0.59/ 100g
bakery,"ACEBread, White Baguette350 g",$3.79ea,$1.08/ 100g
bakery,DItalianoThick Slices Bread675 g,$3.99ea,$0.59/ 100g
bakery,Country HarvestEverything Bagel450 g,$3.99ea,$0.89/ 100g
bakery,Farmer's MarketBlueberry Muffins570 g,$6.99ea,$1.23/ 100g
bakery,"President's ChoiceMini Muffins, Chocolate275 g",$5.29ea,$1.92/ 100g
bakery,No NameBagel Plain 6 Pack510 g,$2.79ea,$0.55/ 100g
bakery,No NameBagel Everthing480 g,$2.79ea,$0.58/ 100g
bakery,Kaiser Rolls Large 6 Pack350 g,$3.99ea,$1.14/ 100g
bakery,Wonder100% Whole Wheat Bread675 g,$3.99ea,$0.59/ 100g
bakery,Farmer's MarketCarrot Muffins600 g,$6.99ea,$1.17/ 100g
bakery,WonderWhite Bread White Texas675 g,$3.99ea,$0.59/ 100g
bakery,Country HarvestEverything Bread600 g,$3.99ea,$0.67/ 100g
bakery,Country HarvestCinnamon Raisin Bread600 g,$3.99ea,$0.67/ 100g
bakery,"Casa Mendosa10 Medium Tortillas, Original340 g",$4.29ea,$1.26/ 100g
bakery,President's ChoiceBanana Chocolate Chip Mini Muffins275 g,$5.29ea,$1.92/ 100g
bakery,Dufflet8'' Harvest Caramel Apple Cake 1.1 kg,$29.99ea,$2.73/ 100g
bakery,Farmer's MarketPecan Butter Tarts6x85.0 g,$7.29ea,$1.43/ 100g
bakery,CadburyCaramilk Dome Cake1.2 kg,$16.99ea,$2.43/ 100g
bakery,Bulk Ts Donut100 g,$1.89ea,$1.89/ 100g
bakery,Sha ShaGinger Snap Cookies300x300.0 g,$7.49ea,$2.50/ 100g
bakery,CharlottesEuropean Spritz Butter Cookies430 g,$7.99ea,$1.86/ 100g
bakery,PC OrganicsOrganic 100% Whole Grain Bread709 g,$4.99ea,$0.70/ 100g
bakery,President's ChoiceMultigrain Flatbread300 g,$2.79ea,$0.93/ 100g
bakery,Farmer's MarketStrawberry Loaf Cake390 g,$4.49ea,$1.15/ 100g
bakery,"Old Mill12"" Thin Pizza Starter Kit700 g",$4.39ea,$0.63/ 100g
bakery,Cheese Swirl Buns 4 Pack400 g,$5.79ea,$1.45/ 100g
bakery,"7 Grain Bread, Sliced570 g",$3.99ea,$0.89/ 100g
bakery,President's ChoicePumpernickel Rye Loaf Bread480 g,$3.59ea,$0.75/ 100g
bakery,PC Dinner Rolls  Whole Wheat12x1.0 ea,$3.79ea,$0.32/ 1ea
bakery,BaxtersVanilla Raspberry Cream6x67.0 g,$5.49ea,$1.37/ 100g
bakery,DItalianoSesame Seed Bread675 g,$3.99ea,$0.59/ 100g
bakery,All Butter Almondine Rolls255 g,$3.99ea,$1.16/ 100g
bakery,"Farmer's MarketTea Biscuits, Cheddar Cheese315 g",$6.29ea,$2.00/ 100g
bakery,"Pumpernickel Bread, Unsliced675 g",$4.79ea,$0.71/ 100g
bakery,Sha ShaCookies Pumpkin Spice Snaps250 g,$5.29ea,$2.12/ 100g
bakery,No NameEnglish Muffin Whole Wheat342 g,$2.89ea,$0.85/ 100g
bakery,Submarine Buns 4 Pack464 g,$2.79ea,$2.15/ 100g
bakery,All Butter Chocolatine 4 pack248 g,$3.99ea,$1.61/ 100g
bakery,Farmer's MarketChocolate Cake490 g,$6.99ea,$1.43/ 100g
bakery,"White Subs, 2 Pack200 g",$1.59ea,$0.80/ 100g
bakery,DempsterFresh White Bread675 g,$3.39ea,$0.50/ 100g
bakery,Farmer's MarketCarrot Cake875 g,$15.99ea,$1.83/ 100g
bakery,Farmer's MarketLemon Curd Cake475 g,$6.99ea,$1.47/ 100g
bakery,two-biteTwo-Bite®  Halloween Vanilla Cupcakes284 g,$5.29ea,$1.86/ 100g
bakery,President's ChoiceThick Pizza Crust300 g,$3.49ea,$1.16/ 100g
bakery,President's ChoiceBrioche Loaf400 g,$3.99ea,$1.00/ 100g
bakery,Buns Kaiser 2 Pack117 g,$1.59ea,$1.36/ 100g
bakery,Farmer's MarketFruitck Dark Pecan Topped500 g,$8.99ea,$1.80/ 100g
bakery,President's ChoiceGluten Free Hot Dog Buns65 g,$4.49ea,$1.73/ 100g
bakery,Macarons Assorted Pk 696 g,$5.99ea,$6.24/ 100g
bakery,DItalianoBrizzolio Bread600 g,$3.99ea,$0.67/ 100g
bakery,Panini Roll 2 Pack107 g,$1.59ea,$1.49/ 100g
bakery,"Casa Mendosa6 Large Tortillas, Tomato Salsa384 g",$4.79ea,$1.25/ 100g
bakery,LA FOURNEE DOREE Croissant Bun300 g,$6.99ea,$2.33/ 100g
