product_name,price
POITRINES DE POULET OU HAUTS DE CUISSE PC SIMPLEMENT BON OU PC MENU BLEU,SALE$5.99 lb
"DEMI-LONGE DE PORC DÉSOSSÉE, BOUT DE CÔTES ET SURLONGE",$2.29 lb
BŒUF HACHÉ MAIGRE,$3.99 lb
"FRAMBOISES, 170 g","2/$5.00 less than 2 2,99$ ea."
FILETS D'AIGLEFIN OU MORUE MSC,$9.99 lb
POMMES DE TERRE RUSSET OU BLANCHES DÉLICES DU MARCHÉ,SALE$3.99 
CROUSTILLES LAY'S 130-235 G,"2/$5.00 less than 2 3,49$ ea."
"MARGARINE BECEL, 637/850 g",SALE$6.99 
PIZZA RISTORANTE OU CASA DI MAMA DR. OETKER 320-410 g,SALE$2.99 
"SOUPE CHUNKY, PRÊTE À DÉGUSTER CAMPBELL'S OU SOUPE HABITANT",$1.99 
EAU PURE LIFE NESTLÉ 24x500 mL,$3.99 
"BOISSONS GAZEUSES COCA-COLA, CANADA DRY OU PEPSI, 12x355 mL","2/$13.00 less than 2 7,49$ ea."
"CROUSTILLES LAY'S OU RUFFLES, 130-235G","2/$5.00 less than 2 3,49$ ea."
"BARRES DE FROMAGE, FROMAGE RÂPÉ OU FICELLO BLACK DIAMOND",$6.99 
PAPIER HYGIÉNIQUE CASHMERE OU ESSUIE-TOUT SPONGE TOWELS,$12.99 
"BOUILLON SANS NOM, 900 ml","2/$3.00 less than 2 1,69$ ea."
"ARACHIDES PC, 700 G",$3.99 
"CRÈME NEILSON, 473 mL/1 L",SALE$3.49 
FILETS EN PÂTE OU PANÉS BLUEWATER OU PLATS CUISINÉS PC OU MENU BLEU,$10.99 
"DÉPENSÉ EN COUCHES, CULOTTES D'ENTRAÎNEMENT ET LINGETTES PAMPERS",$10.99 
JUS D'ORANGE OU YOGOURT PC,SALE$2.49 
"PÂTES SMART, GRAINS ANCIENS, MOISSON SANTÉ OU BISTRO CATELLI",$2.75 
LINGETTES HUGGIES OU CULOTTES D'ENTRAÎNEMENT GOODNITES,$2.75 
VINAIGRETTE KRAFT 475 ML,"2/$7.00 less than 2 4,49$ ea."
CONTENANTS DE CHOCOLAT CHAUD CARNATION 400-450 G,SALE$4.99 
"BARRES GO PURE LECLERC, 140-175 g",$2.79 
ESSENZA SANPELLEGRINO OU PERRIER ET JUS,$7.69 
BOISSONS GAZEUSES COKE OU PEPSI 6X710 ML,"2/$10.00 less than 2 6,49$ ea."
"DÉTERGENT À LESSIVE PUREX, PERSIL OU SUNLIGHT, ASSOUPLISSANT TEXTILE OU FEUILLES SNUGGLE",$5.99 
"PETITS PLEUROTES OU PLEUROTES DU PANICAUT TRANCHÉS PC BIOLOGIQUE, 200 g",$5.99 
"GROSSES CLÉMENTINES, 5 lb",$6.99 
"LAITUE VIVANTE PC, 2's",$4.99 
MINI-CONCOMBRES DÉLICES DU MARCHÉ 11's,$7.99 
"POMMES DE TERRE ASSORTIES, ROUSSES OU DORÉES PC LITTLE GEMS OU BROCCOLINI",$3.99 
GRENADES,"2/$7.00 less than 2 3,99$ ea."
RAISINS SWEET CARNIVAL PC,$4.99 lb
"BOISSONS FRAPPÉES BOLTHOUSE, 946 mL","2/$13.00 less than 2 6,99$ ea."
PLATEAUX DE COLLATIONS POUR UNE PERSONNE 300-380 g,from$5.00 
"PIZZA 12 POUCES, 580-720 G",from$8.00 
"PLATEAUX DE TACO AU POULET OU PORC EFFILOCHÉ, 975 g-1.1 kg",$20.00 
"TRANCHES DE FROMAGE PC, 150-170 g",$7.00 
FROMAGE RÂPÉ ZERTO 140 g,$7.49 
"VIANDES TRANCHÉES PC SPLENDIDO, 100 g",$7.49 
"HUMMUS GARNI PC, 280 g","2/$9.00 less than 2 4,99$ ea."
"SALAMI OU PROSCIUTTO MASTRO OU SAN DANIELE, 100-150 g",from$4.79 
,from$4.79 
RÔTI DE CÔTE DE CHOIX,$14.99 lb
"CÔTELETTES OU RÔTI DE LONGE DE PORC, COUPE DU CENTRE",$3.99 lb
PILONS DE POULET PC SIMPLEMENT BON,$4.49 lb
RÔTI DE PALETTE DÉSOSSÉ,$6.99 lb
AILES DE POULET SÉPARÉES PC SAVEURS DU MONDE,$6.59 lb
SAUCISSES DE POULET L'ULTIME MAPLE LODGE FARMS 500 g,$5.99 
"BACON SANS NOM, 500 g",$5.99 
PÂTÉS ST-HUBERT 715/800 g,$11.49 
CÔTES DE DOS DE PORC BARBECUE OU AILES PC,$13.99 
CREVETTES SAUVAGES D'ARGENTINE MARINA DEL REY 300 g,$8.99 
HORS-D'ŒUVRE DE CREVETTES OU SAUMON FUMÉ PC,$11.99 
FILETS DE TRUITE STEELHEAD FRAÎCHE 12.99 LB 28.64/KG OU CASSEROLE DE FRUITS DE MER AIL ET FINES HERBES PC,$12.99 ea./lb
"GÂTEAU AUX FRUITS DÉLICES DU MARCHÉ, 500 g",$8.99 
"CROQUANTES ACE, 150/180 g",$5.49 
BAGUETTE 255 G,$1.00 
"L'offre Créez votre combinaison s'applique uniquement aux pains, petits pains et bagels, muffins anglais et tortillas pour roulés des marques suivantes : Wonder, Country Harvest, D'Italiano","2/$7.00 or 3,99$ ea."
,"2/$7.00 or 3,99$ ea."
