category,product_name,price,per_unit_price
produce,"Bananas, Bunch",$1.75(est.)ea,$1.52/ 1kg
produce,Green Onion1 bunch,$1.89ea,$1.89/ 1ea
produce,Celery Stalks1 ea,$2.99ea,$2.99/ 1ea
produce,Tomato On The Vine Red ( 1 Bunch),$3.12(est.)ea,$4.39/ 1kg
produce,Avocados Bag1 bag,$1.99ea,$0.40/ 1ea
produce,Cauliflower1 ea,$3.99ea,$3.99/ 1ea
produce,Cantaloupe1 ea,$5.99ea,$5.99/ 1ea
produce,Green Seedless Grapes,$4.48(est.)ea,$4.39/ 1kg
produce,Broccoli Crowns,$2.50(est.)ea,$6.59/ 1kg
produce,Red Onion,$2.44(est.)ea,$6.59/ 1kg
produce,Red Seedless Grapes,$4.35(est.)ea,$4.39/ 1kg
produce,Farmer's MarketCarrots3 lb bag,$1.29ea,$0.09/ 100g
produce,Blueberries 1 pint340 g,$4.99ea,$1.47/ 100g
produce,"PC OrganicsOrganic Bananas, Bunch",$2.88(est.)ea,$2.62/ 1kg
produce,Ginger,$1.85(est.)ea,$8.80/ 1kg
produce,Bartlett Pears,$1.38(est.)ea,$6.59/ 1kg
produce,Farmer's MarketMini Cucumbers6 pack,$4.99ea,$0.83/ 1ea
produce,RoosterGarlic      90 g,$1.49ea,$0.50/ 1ea
produce,Farmer's MarketMini Carrots340 g,$2.49ea,$0.73/ 100g
produce,Sweet Onion,$3.03(est.)ea,$6.59/ 1kg
produce,LoopMorning Glory Juice    947 ml,$7.99ea,$0.80/ 100ml
produce,Premium Chicken BLT340 g,$8.00ea,$2.35/ 100g
produce,BolthouseGreen Goodness1.54 l,$9.99ea,$0.65/ 100ml
produce,President's ChoiceSpring Mix0.142 kg,$4.99ea,$3.51/ 100g
produce,MarzettiMarzetti Chocolate Dip 250g250 g,$5.49ea,$2.20/ 100g
produce,Fresh Orange Juice473 ml,$6.00ea,$1.27/ 100ml
produce,WellCold Pressed Juice C Well  333 ml,$5.99ea,$1.80/ 100ml
produce,Happy PlanetClean Protein Smoothie Fair Trade Chocolate & Coconut900 ml,$6.99ea,$0.78/ 100ml
produce,"Happy PlanetFruit Smoothie, Coconut & Pineapple900 ml",$6.99ea,$0.78/ 100ml
produce,No NameBrown Mushrooms680 g,$6.49ea,$0.95/ 100g
produce,Organic Dried Figs250 g,$5.99ea,$2.40/ 100g
produce,President's ChoiceMini Cucumbers255 g,$3.99ea,$1.56/ 100g
produce,Organic Lime Strawberry Kombucha355 ml,$3.49ea,$0.98/ 100ml
produce,Atemoya1 ea,$4.99ea,$4.99/ 1ea
produce,LoopCold-Pressed Juice Better Together Grapefruit Orange Ginger947 ml,$7.99ea,$0.80/ 100ml
produce,Gourmet GardenLemongrass Stir-In Paste115 g,$5.99ea,$5.21/ 100g
produce,Organic French Beans350 g,$5.99ea,$1.71/ 100g
produce,Platter Veggie Small850 g,$13.00ea,$1.49/ 100g
produce,Chicken Caesar Salad Family Size1.07 kg,$16.00ea,$1.50/ 100g
produce,Gourmet GardenChunky Garlic Stir-In Paste115 g,$5.99ea,$5.21/ 100g
produce,GreenhouseKombucha Ultraviolet Organic    340 ml,$4.99ea,$1.47/ 100ml
produce,MarzettiSouthwest Ranch Veggie Dip85 g,$1.49ea,$1.75/ 100g
produce,President's ChoiceVegetable Medley340 g,$5.49ea,$1.61/ 100g
