category,brand,product,product_name,price,per_unit_price
seafood,DOM,Smoked Steelhead Salmon,DOMSmoked Steelhead Salmon50 g,$3.00ea,$6.00/ 100g
seafood,President's Choice,Pacific White Shrimp Raw Peeled,President's ChoicePacific White Shrimp Raw Peeled400 g,$10.99ea,$2.75/ 100g
seafood,President's Choice,Pacific White Shrimp Cooked Peeled,President's ChoicePacific White Shrimp Cooked Peeled400 g,$11.99ea,$3.00/ 100g
seafood,President's Choice,Crispy Shrimp Fine Hors D'Oeuvre Trio,President's ChoiceCrispy Shrimp Fine Hors D'Oeuvre Trio528 g,$15.99ea,$3.03/ 100g
seafood,President's Choice,Zipperback Pacific White Shrimp Raw,President's ChoiceZipperback Pacific White Shrimp Raw400 g,$9.99ea,$2.50/ 100g
seafood,Seaquest,"Colossal Raw Shrimp, 16/20","SeaquestColossal Raw Shrimp, 16/20300 g",$7.99ea,$2.66/ 100g
seafood,Seaquest,Shrimp Ring,SeaquestShrimp Ring227 g,$8.49ea,$3.74/ 100g
seafood,Seaquest,Wild Haddock Fillets Skinless Boneless ,SeaquestWild Haddock Fillets Skinless Boneless 400 g,$8.99ea,$2.25/ 100g
seafood,,"Raw Wild Shrimp, Easy Peel","Raw Wild Shrimp, Easy Peel300 g",$8.99ea,$3.00/ 100g
seafood,Seaquest,King Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting,SeaquestKing Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting227 g,$3.99ea,$1.76/ 100g
seafood,Seaquest,King Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting,SeaquestKing Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting227 g,$3.99ea,$1.76/ 100g
seafood,President's Choice,Tempura Torpedo Shrimp With Sweet Soy Dipping Sauce,President's ChoiceTempura Torpedo Shrimp With Sweet Soy Dipping Sauce340 g,$11.99ea,$3.53/ 100g
seafood,Seaquest,"Sole Fillets, Skinless Boneless","SeaquestSole Fillets, Skinless Boneless400 g",$8.99ea,$2.25/ 100g
seafood,President's Choice,Breaded Butterflied Shrimp ,President's ChoiceBreaded Butterflied Shrimp 400 g,$11.99ea,$3.00/ 100g
seafood,President's Choice,Breaded Coconut Shrimp With Sweet Chili Dipping Sauce,President's ChoiceBreaded Coconut Shrimp With Sweet Chili Dipping Sauce454 g,$11.99ea,$2.64/ 100g
seafood,President's Choice,Breaded Potato and Wild Salt Cod Croquettes,President's ChoiceBreaded Potato and Wild Salt Cod Croquettes300 g,$8.99ea,$3.00/ 100g
seafood,President's Choice,Scottish Atlantic Salmon Double Smoked ,President's ChoiceScottish Atlantic Salmon Double Smoked 150 g,$11.99ea,$7.99/ 100g
seafood,President's Choice,Pacific White Shrimp Platter with Mild Cocktail Sauce,President's ChoicePacific White Shrimp Platter with Mild Cocktail Sauce568 g,$19.99ea,$3.52/ 100g
seafood,Seaquest,Salad Shrimp,SeaquestSalad Shrimp454 g,$10.99ea,$2.42/ 100g
