category,brand,product,product_name,price,per_unit_price
bakery,Country Harvest,14 Grains Whole Wheat Bread,Country Harvest14 Grains Whole Wheat Bread600 g,$3.99ea,$0.67/ 100g
bakery,DItaliano,Thick Slice Original Bread,DItalianoThick Slice Original Bread675 g,$3.99ea,$0.59/ 100g
bakery,Casa Mendosa,Large Original Tortillas,Casa MendosaLarge Original Tortillas640 g,$4.79ea,$0.75/ 100g
bakery,ACE,"Bread, White Baguette","ACEBread, White Baguette350 g",$2.99ea,$0.85/ 100g
bakery,President's Choice,English Muffins Original 6 Fork-Split Muffins,President's ChoiceEnglish Muffins Original 6 Fork-Split Muffins342 g,$3.09ea,$0.90/ 100g
bakery,Old Mill,White Bread,Old MillWhite Bread675 g,$2.69ea,$0.40/ 100g
bakery,Farmer's Market,Butter Croissant,Farmer's MarketButter Croissant270 g,$5.19ea,$1.92/ 100g
bakery,Country Harvest,Ancient Grains & Red Fife Bread,Country HarvestAncient Grains & Red Fife Bread600 g,$3.99ea,$0.67/ 100g
bakery,,French Bread Unsliced,French Bread Unsliced450 g,$2.99ea,$0.66/ 100g
bakery,Old Mill,100% Whole Wheat Bread,Old Mill100% Whole Wheat Bread675 g,$2.69ea,$0.40/ 100g
bakery,President's Choice,Tortillas Original ,President's ChoiceTortillas Original 650 g,$4.29ea,$0.66/ 100g
bakery,Farmer's Market,Blueberry Muffins,Farmer's MarketBlueberry Muffins570 g,$6.99ea,$1.23/ 100g
bakery,Country Harvest,Everything Bagel,Country HarvestEverything Bagel450 g,$3.99ea,$0.89/ 100g
bakery,No Name,Everything Bagels,No NameEverything Bagels510 g,$2.89ea,$0.57/ 100g
bakery,Wonder,White Hamburger Buns,WonderWhite Hamburger Buns8x47.25 g,$3.99ea,$1.06/ 100g
bakery,DItaliano,Thick Sliced Bread 100% Whole Wheat ,DItalianoThick Sliced Bread 100% Whole Wheat 675 g,$3.99ea,$0.59/ 100g
bakery,No Name,"Bagel Plain, 6 Pack","No NameBagel Plain, 6 Pack510 g",$2.89ea,$0.57/ 100g
bakery,Wonder,White Hotdog Buns,WonderWhite Hotdog Buns8x44.5 g,$3.99ea,$1.12/ 100g
bakery,Wonder,100% Whole Wheat Bread,Wonder100% Whole Wheat Bread675 g,$3.99ea,$0.59/ 100g
bakery,Wonder,White Bread White Texas,WonderWhite Bread White Texas675 g,$3.99ea,$0.59/ 100g
bakery,Suraj,Naan Original 5 Flatbreads,SurajNaan Original 5 Flatbreads500 g,$3.79ea,$0.76/ 100g
bakery,Country Harvest,Everything Bread,Country HarvestEverything Bread600 g,$3.99ea,$0.67/ 100g
bakery,Country Harvest,Cinnamon Raisin Bread,Country HarvestCinnamon Raisin Bread600 g,$3.99ea,$0.67/ 100g
bakery,Farmer's Market,Butter Croissants Mini,Farmer's MarketButter Croissants Mini336 g,$5.19ea,$1.54/ 100g
bakery,Country Harvest,Whole Grains Bread No Sugar Added,Country HarvestWhole Grains Bread No Sugar Added600 g,$3.99ea,$0.67/ 100g
bakery,,Kaiser Rolls Large 6 Pack,Kaiser Rolls Large 6 Pack350 g,$3.99ea,$1.14/ 100g
bakery,Farmer's Market,Muffins Double Chocolate    ,Farmer's MarketMuffins Double Chocolate    570 g,$6.99ea,$1.23/ 100g
bakery,Rubschlager,Bavarian Multigrain Loaf,RubschlagerBavarian Multigrain Loaf454 g,$2.89ea,$0.64/ 100g
bakery,,Rolls 6 Pack,Rolls 6 Pack320 g,$3.99ea,$1.25/ 100g
bakery,Country Harvest,Original Bagels,Country HarvestOriginal Bagels450 g,$3.99ea,$0.89/ 100g
bakery,,"White Single Layer Celebration Cake, 8 in","White Single Layer Celebration Cake, 8 in500 g",$7.99ea,$1.60/ 100g
bakery,Baxters,Swiss Roll Chocolate,BaxtersSwiss Roll Chocolate6x67.0 g,$5.49ea,$1.37/ 100g
bakery,,"8"" Cake, 1 Option or Theme","8"" Cake, 1 Option or Theme1 kg",$28.99ea,$2.23/ 100g
bakery,,Texas Hamburger Buns-Sesame ,Texas Hamburger Buns-Sesame 528 g,$3.79ea,$0.72/ 100g
bakery,President's Choice,Pumpernickel Rye Loaf Bread,President's ChoicePumpernickel Rye Loaf Bread480 g,$3.59ea,$0.75/ 100g
bakery,Rudolphs,Rye Bread,RudolphsRye Bread907 g,$5.99ea,$0.66/ 100g
bakery,,8' Black Forest Cake,8' Black Forest Cake1100 g,$26.99ea,$2.45/ 100g
bakery,,Elite Sweets Milky Way Cake,Elite Sweets Milky Way Cake900 g,$17.49ea,$1.94/ 100g
bakery,Kimberley's Bakeshoppe,Vanilla White & Green Mixed Frosted Cookies Pk 10,Kimberley's BakeshoppeVanilla White & Green Mixed Frosted Cookies Pk 10383 g,$4.99ea,$1.30/ 100g
bakery,Create A Treat,Pre-Built Ginger Bread House Kit,Create A TreatPre-Built Ginger Bread House Kit842 g,$14.99ea,$1.78/ 100g
bakery,,PC Dinner Rolls 60% Whole Wheat,PC Dinner Rolls 60% Whole Wheat12x1.0 ea,$4.29ea,$0.36/ 1ea
bakery,Cadbury,Caramilk Dome Cake,CadburyCaramilk Dome Cake1.2 kg,$16.99ea,$2.43/ 100g
bakery,Farmer's Market,Fruitck Dark Pecan Topped,Farmer's MarketFruitck Dark Pecan Topped500 g,$8.99ea,$1.80/ 100g
bakery,,Buns Kaiser 2 Pack,Buns Kaiser 2 Pack117 g,$1.59ea,$1.36/ 100g
bakery,Farmer's Market,Pecan Butter Tarts,Farmer's MarketPecan Butter Tarts6x85.0 g,$7.29ea,$1.43/ 100g
bakery,Farmer's Market,Carrot Cake,Farmer's MarketCarrot Cake875 g,$15.99ea,$1.83/ 100g
bakery,,Swirl Bun 2 Pack,Swirl Bun 2 Pack153 g,$3.19ea,$2.08/ 100g
bakery,,"7 Grain Bread, Unsliced","7 Grain Bread, Unsliced570 g",$3.99ea,$0.70/ 100g
bakery,LA FOURNEE DOREE,Sesame Brioche Burger Buns,LA FOURNEE DOREESesame Brioche Burger Buns200 g,$4.29ea,$2.15/ 100g
bakery,,Bread 12 Grain Unsliced,Bread 12 Grain Unsliced450 g,$3.99ea,$0.89/ 100g
bakery,ACE,Ciabatta Cluster,ACECiabatta Cluster400 g,$3.79ea,$0.95/ 100g
bakery,,"White Subs, 2 Pack","White Subs, 2 Pack200 g",$1.59ea,$0.80/ 100g
bakery,,"Kaiser, 60% Whole Wheat","Kaiser, 60% Whole Wheat800 g",$5.29ea,$0.66/ 100g
bakery,Promise Gluten Free,Hamburger Buns Authentic Brioche,Promise Gluten FreeHamburger Buns Authentic Brioche260 g,$6.99ea,$2.69/ 100g
bakery,,Berry Strudel,Berry Strudel372 g,$4.99ea,$1.34/ 100g
bakery,Frontier Bakery,Thick Pouch White Bread Pitas,Frontier BakeryThick Pouch White Bread Pitas425 g,$1.59ea,$0.37/ 100g
bakery,Lanthier,Hot Dog Buns,LanthierHot Dog Buns16x385.0 g,$4.29ea,$1.11/ 100g
bakery,,Macarons Assorted Pk 6,Macarons Assorted Pk 696 g,$5.99ea,$6.24/ 100g
bakery,,All Butter Almondine Rolls,All Butter Almondine Rolls255 g,$3.99ea,$1.16/ 100g
bakery,Frontier Bakery,Lebanese Style Whole Wheat Pita,Frontier BakeryLebanese Style Whole Wheat Pita330 g,$1.39ea,$0.42/ 100g
bakery,,"Pumpernickel Bread, Unsliced","Pumpernickel Bread, Unsliced675 g",$4.79ea,$0.71/ 100g
bakery,,Cheese Swirl Buns 4 Pack,Cheese Swirl Buns 4 Pack400 g,$5.79ea,$1.45/ 100g
bakery,Furlani,Frozen Texas Toast Garlic,FurlaniFrozen Texas Toast Garlic16x40.0 g,$4.49ea,$0.70/ 100g
bakery,Oroweat,22 Grains & Seeds Bread,Oroweat22 Grains & Seeds Bread680 g,$6.29ea,$0.93/ 100g
bakery,,Submarine Buns 4 Pack,Submarine Buns 4 Pack464 g,$2.79ea,$2.15/ 100g
bakery,Dempster,Fresh White Bread,DempsterFresh White Bread675 g,$3.49ea,$0.52/ 100g
bakery,President's Choice,Thick Pizza Crust,President's ChoiceThick Pizza Crust300 g,$3.19ea,$1.06/ 100g
bakery,,Apple Fritter Donut 6 pack,Apple Fritter Donut 6 pack870 g,$7.99ea,$0.92/ 100g
bakery,Baxters,Vanilla Raspberry Cream,BaxtersVanilla Raspberry Cream6x67.0 g,$5.49ea,$1.37/ 100g
bakery,,Honey Glazed Donuts 6 pack,Honey Glazed Donuts 6 pack480 g,$7.99ea,$1.66/ 100g
bakery,No Name,"Bagel Cinnamon Raisin, 6 pack","No NameBagel Cinnamon Raisin, 6 pack510 g",$2.89ea,$0.57/ 100g
bakery,,"7 Grain Bread, Unsliced","7 Grain Bread, Unsliced570 g",$3.99ea,$0.70/ 100g
bakery,,"Cookie and Cream Cake, 8 in","Cookie and Cream Cake, 8 in1.5 kg",$20.99ea,$1.40/ 100g
bakery,Hostess,Twinkies Cakes,HostessTwinkies Cakes202 g,$3.59ea,$1.78/ 100g
bakery,,Artisan Rolls,Artisan Rolls65 g,$0.95ea,$1.46/ 100g
bakery,Sha Sha,Ginger Snap Cookies,Sha ShaGinger Snap Cookies300x300.0 g,$6.99ea,$2.33/ 100g
bakery,,"White Bread, Sliced","White Bread, Sliced450 g",$2.99ea,$0.66/ 100g
bakery,,"Sub Roll, Sesame Seed 4 pack","Sub Roll, Sesame Seed 4 pack420 g",$2.79ea,$0.66/ 100g
bakery,President's Choice,Brioche Loaf,President's ChoiceBrioche Loaf400 g,$5.49ea,$1.37/ 100g
