category,product_name,price,per_unit_price
dairy_and_eggs,No NameLarge Grade A Eggs12 eggs,$3.89ea,$0.32/ 1ea
dairy_and_eggs,Gay LeaSalted Butter454 g,$7.79ea,$1.72/ 100g
dairy_and_eggs,"No NameWhite Large Eggs, 30 Pack 30 ea",$8.49ea,$0.28/ 1ea
dairy_and_eggs,Gray RidgePremium Large Eggs18 eggs,$6.89ea,$0.38/ 1ea
dairy_and_eggs,"Gay LeaSour Cream, Regular 14%500 ml",$3.99ea,$0.80/ 100ml
dairy_and_eggs,Cracker BarrelBar Marble Cheddar400 g,$8.99ea,$2.25/ 100g
dairy_and_eggs,Cracker BarrelBar Old Cheddar400 g,$8.99ea,$2.25/ 100g
dairy_and_eggs,No NameFarmer's Marble Cheese700 g,$9.79ea,$1.40/ 100g
dairy_and_eggs,PC Blue MenuEgg Whites1 kg,$6.29ea,$0.63/ 100g
dairy_and_eggs,PC OrganicsOrganic Free-Range Brown Eggs12 eggs,$7.49ea,$0.62/ 1ea
dairy_and_eggs,NestleCoffee Mate Double Double-Mate Liquid Coffee Enhancer Value Size1.89 l,$8.99ea,$0.48/ 100ml
dairy_and_eggs,ViolifeMozzarella Style Shreds 227 g,$6.99ea,$3.08/ 100g
dairy_and_eggs,"Tre StelleGrated Cheese, 100% Parmesan200 g",$8.19ea,$4.10/ 100g
dairy_and_eggs,"OlympicFat Free Organic Yogurt, Plain650 g",$5.49ea,$0.84/ 100g
dairy_and_eggs,PC OrganicsOrganic Homogenized Milk1 l,$4.59ea,$0.46/ 100ml
dairy_and_eggs,WoolwichDairy Old Goat's Milk Cheddar Cheese200 g,$9.49ea,$4.75/ 100g
dairy_and_eggs,Black DiamondPizza Mozzarella Regular Shredded320 g,$4.49ea,$1.40/ 100g
dairy_and_eggs,No Name 75% Vegetable Oil Margarine Squares1.36 kg,$7.99ea,$0.59/ 100g
dairy_and_eggs,Gay LeaLactose Free Cottage Cheese450 g,$5.49ea,$1.22/ 100g
dairy_and_eggs,siggi'sLemon 3.25% M.F. Creamy Skyr650 g,$7.49ea,$1.15/ 100g
dairy_and_eggs,President's ChoiceHavarti Sliced Cheese210 g,$4.99ea,$2.38/ 100g
dairy_and_eggs,"Gay LeaNordica Cottage Cheese, 2%750 g",$7.49ea,$1.00/ 100g
dairy_and_eggs,Rolling MeadowGrass Fed 3.8% Milk2 l,$6.69ea,$0.33/ 100ml
dairy_and_eggs,YoplaitStrawberry Banana Yogurt8x93.0 ml,$6.99ea,$0.94/ 100ml
dairy_and_eggs,"NestleCoffee-Mate, Original1.4 kg",$13.99ea,$1.00/ 100g
dairy_and_eggs,Burnbrae FarmsNaturegg Simply Egg Whites1 ea,$4.29ea,$0.86/ 100ml
dairy_and_eggs,"Gray RidgeBrown Eggs, Large18 eggs",$7.19ea,$0.40/ 1ea
dairy_and_eggs,OlivinaMargarine427 g,$4.49ea,$1.05/ 100g
dairy_and_eggs,"siggi'sYogurt, Strawberry 2% M.F. Simple Ingredient Skyr650 g",$7.49ea,$1.15/ 100g
dairy_and_eggs,Gray RidgeExtra Large Eggs18 eggs,$7.19ea,$0.40/ 1ea
dairy_and_eggs,"Gay LeaButter Sticks, Salted454 g",$8.49ea,$1.87/ 100g
dairy_and_eggs,"PC OrganicsOrganic Cultured Coconut Milk Yogurt, Alternative Vanilla680 g",$5.99ea,$0.88/ 100g
dairy_and_eggs,WesternCottage cheese500 g,$7.69ea,$1.54/ 100g
dairy_and_eggs,LiberteKéfir Organic 1% MF Plain1000 g,$6.29ea,$0.63/ 100g
dairy_and_eggs,"PC Blue MenuFree Run Omega-3 Hard-Boiled Peeled Eggs, Pack of 33x88.0 g",$3.29ea,$3.74/ 100g
dairy_and_eggs,No NameMedium Grade A White Eggs12 eggs,$3.59ea,$0.30/ 1ea
dairy_and_eggs,NeilsonTrutaste Lactose Free 2% Milk1 l,$4.49ea,$0.45/ 100ml
dairy_and_eggs,PhiladelphiaWhipped Jalapeno Cheddar Cream Cheese Product227 g,$4.99ea,$2.20/ 100g
dairy_and_eggs,No NameLight Medium Cheddar Cheese400 g,$5.99ea,$1.50/ 100g
dairy_and_eggs,NeilsonTrutaste Homogenized Milk Lactose Free 3.25% M.F.4 l,$10.79ea,$0.27/ 100ml
dairy_and_eggs,Violife Smoke Flavoured Provolone Style Slices 200 g,$6.99ea,$3.50/ 100g
dairy_and_eggs,NestleCoffee Mate Liquid French Vanilla Value Size1.89 l,$8.99ea,$0.48/ 100ml
dairy_and_eggs,No Name68% Vegetable Oil Margarine 907 g,$4.59ea,$0.51/ 100g
dairy_and_eggs,Golden GateMirage Margarine2.72 kg,$18.49ea,$0.68/ 100g
dairy_and_eggs,President's ChoiceChocolate Chip Cookie Dough468 g,$4.49ea,$0.96/ 100g
dairy_and_eggs,LiberteKéfir 1% MF Plain1000 ml,$5.99ea,$0.60/ 100ml
dairy_and_eggs,"NeilsonFlavoured Milk, Chocolate2 l",$5.79ea,$0.29/ 100ml
dairy_and_eggs,Black DiamondSliced Marble Cheddar Cheese240 g,$6.29ea,$2.62/ 100g
dairy_and_eggs,NestleCoffee Mate Double Double-Mate Liquid Coffee Enhancer Value Size1.89 l,$8.99ea,$0.48/ 100ml
dairy_and_eggs,ViolifeMozzarella Style Shreds 227 g,$6.99ea,$3.08/ 100g
dairy_and_eggs,"Tre StelleGrated Cheese, 100% Parmesan200 g",$8.19ea,$4.10/ 100g
dairy_and_eggs,"OlympicFat Free Organic Yogurt, Plain650 g",$5.49ea,$0.84/ 100g
dairy_and_eggs,OlivinaMargarine427 g,$4.49ea,$1.05/ 100g
dairy_and_eggs,siggi'sLemon 3.25% M.F. Creamy Skyr650 g,$7.49ea,$1.15/ 100g
dairy_and_eggs,President's ChoiceHavarti Sliced Cheese210 g,$4.99ea,$2.38/ 100g
dairy_and_eggs,"Gay LeaNordica Cottage Cheese, 2%750 g",$7.49ea,$1.00/ 100g
dairy_and_eggs,"siggi'sYogurt, Strawberry 2% M.F. Simple Ingredient Skyr650 g",$7.49ea,$1.15/ 100g
dairy_and_eggs,Gray RidgeExtra Large Eggs18 eggs,$7.19ea,$0.40/ 1ea
dairy_and_eggs,"Gay LeaButter Sticks, Salted454 g",$8.49ea,$1.87/ 100g
dairy_and_eggs,"PC OrganicsOrganic Cultured Coconut Milk Yogurt, Alternative Vanilla680 g",$5.99ea,$0.88/ 100g
dairy_and_eggs,WesternCottage cheese500 g,$7.69ea,$1.54/ 100g
dairy_and_eggs,LiberteKéfir Organic 1% MF Plain1000 g,$6.29ea,$0.63/ 100g
dairy_and_eggs,"PC Blue MenuFree Run Omega-3 Hard-Boiled Peeled Eggs, Pack of 33x88.0 g",$3.29ea,$3.74/ 100g
dairy_and_eggs,No NameMedium Grade A White Eggs12 eggs,$3.59ea,$0.30/ 1ea
dairy_and_eggs,NeilsonTrutaste Lactose Free 2% Milk1 l,$4.49ea,$0.45/ 100ml
dairy_and_eggs,Rolling MeadowGrass Fed 3.8% Milk2 l,$6.69ea,$0.33/ 100ml
dairy_and_eggs,YoplaitStrawberry Banana Yogurt8x93.0 ml,$6.99ea,$0.94/ 100ml
dairy_and_eggs,"NestleCoffee-Mate, Original1.4 kg",$13.99ea,$1.00/ 100g
dairy_and_eggs,PC OrganicsOrganic 2% Milk1 l,$4.59ea,$0.46/ 100ml
dairy_and_eggs,"Organic MeadowOrganic Cheese, Old Cheddar340 g",$11.49ea,$3.38/ 100g
dairy_and_eggs,IOGO3.2% Canadian Harvest Blueberry Yogurt650 g,$3.29ea,$0.51/ 100g
dairy_and_eggs,"Gray RidgeGrade A White Eggs, Small12 eggs",$3.19ea,$0.27/ 1ea
dairy_and_eggs,Gay LeaButter 82 Farmhouse 250 g,$7.49ea,$3.00/ 100g
dairy_and_eggs,NeilsonChocolate Milk237 ml,$2.09ea,$0.88/ 100ml
dairy_and_eggs,KraftSingles Mozzarella Processed Cheese Slices410 g,$5.49ea,$1.34/ 100g
dairy_and_eggs,Cracker BarrelShreds Double Ched320 g,$7.49ea,$2.34/ 100g
dairy_and_eggs,NestleCoffee Mate Liquid Hazelnut946 ml,$6.49ea,$0.69/ 100ml
dairy_and_eggs,Black DiamondPizza Mozzarella Cheese Stringable Lactose Free 18% M.F.252 g,$6.99ea,$2.77/ 100g
dairy_and_eggs,AstroBalkan Yogourt Mango Vanilla Cream 6% M.F.500 g,$3.29ea,$0.66/ 100g
dairy_and_eggs,Cracker BarrelSlice Mozz240 g,$4.49ea,$1.87/ 100g
dairy_and_eggs,YoplaitYop Drinkable Yogurt Watermelon Flavour 200 ml,$1.29ea,$0.65/ 100ml
dairy_and_eggs,YoplaitSource Raspberry/Blueberry/Strawberry/Cherry  0% MF Yogurt16x90.0 g,$6.99ea,$0.49/ 100g
dairy_and_eggs,Black DiamondCheestrings Cheddarific 27% M.F.336 g,$6.99ea,$2.08/ 100g
dairy_and_eggs,HansDairy 3.2% Natural Yogurt750 g,$2.69ea,$0.36/ 100g
dairy_and_eggs,YoplaitYop Drinkable Yogurt Blueberry Flavour200 ml,$1.29ea,$0.65/ 100ml
dairy_and_eggs,Cracker BarrelShreds Habanero320 g,$7.49ea,$2.34/ 100g
