category,product_name,price,per_unit_price
produce,"Bananas, Bunch",$1.75(est.)ea,$1.52/ 1kg
produce,Green Onion1 bunch,$1.79ea,$1.79/ 1ea
produce,Celery Stalks1 ea,$2.99ea,$2.99/ 1ea
produce,Tomato On The Vine Red ( 1 Bunch),$3.12(est.)ea,$4.39/ 1kg
produce,Avocados Bag1 bag,$1.99ea,$0.40/ 1ea
produce,Cauliflower1 ea,$4.99ea,$4.99/ 1ea
produce,Farmer's MarketEnglish Cucumber 3Ct    3 pack,$4.49ea,$1.50/ 1ea
produce,"Romaine Heart, 3 Pack3 pack",$6.49ea,$2.16/ 1ea
produce,Green Seedless Grapes,$4.48(est.)ea,$4.39/ 1kg
produce,Red Onion,$2.44(est.)ea,$6.59/ 1kg
produce,Red Seedless Grapes,$4.35(est.)ea,$4.39/ 1kg
produce,Farmer's MarketCarrots3 lb bag,$1.29ea,$0.09/ 100g
produce,Blueberries 1 pint340 g,$4.99ea,$1.47/ 100g
produce,"PC OrganicsOrganic Bananas, Bunch",$2.40(est.)ea,$2.18/ 1kg
produce,Ginger,$1.85(est.)ea,$8.80/ 1kg
produce,Bartlett Pears,$1.15(est.)ea,$5.49/ 1kg
produce,RoosterGarlic      90 g,$1.49ea,$0.50/ 1ea
produce,Farmer's MarketMini Carrots340 g,$1.99ea,$0.59/ 100g
produce,Sweet Onion,$2.53(est.)ea,$5.49/ 1kg
produce,POM WonderfulFresh Arils122 g,$4.99ea,$4.09/ 100g
produce,Premium Chicken BLT340 g,$8.00ea,$2.35/ 100g
produce,PC OrganicsRose Spring Salad Mix142 g,$5.99ea,$4.22/ 100g
produce,Yellow Zucchini,$1.19(est.)ea,$4.39/ 1kg
produce,LoopMorning Glory Juice    947 ml,$7.99ea,$0.80/ 100ml
produce,President's ChoiceDressing Caesar44 ml,$0.59ea,$1.34/ 100ml
produce,Carrots & Celery 240 g,$4.00ea,$1.67/ 100g
produce,Organic Sage1 ea,$3.99ea,$3.99/ 1ea
produce,Avocado Salad238 g,$8.00ea,$3.36/ 100g
produce,President's ChoiceMini Mixed Potatoes5 lb bag,$9.99ea,$0.44/ 100g
produce,RemedyOrganic Mango Passionfruit Kombucha700 ml,$4.99ea,$0.71/ 100ml
produce,"Mushroom Kebab, 4 pack604 g",$9.00ea,$1.49/ 100g
produce,PC Blue MenuUnsalted California Pistachios 454 g,$9.99ea,$2.20/ 100g
produce,Romaine Salad Family Size1 kg,$14.00ea,$1.40/ 100g
produce,Fresh Orange Juice1.5 l,$15.00ea,$1.00/ 100ml
produce,Baby Bok Choy Jr,$3.95(est.)ea,$5.90/ 1kg
produce,President's ChoiceMixed Greens0.34 kg,$3.49ea,$1.03/ 100g
produce,BolthouseBlue Goodness946 ml,$6.99ea,$0.74/ 100ml
produce,President's ChoiceGreek Vin Pouch 45Ml45 ml,$0.59ea,$1.31/ 100ml
produce,President's ChoiceSalad Kit Chopped Sesame Wonton 347 g,$6.49ea,$1.87/ 100g
produce,Organic Dried Figs250 g,$5.99ea,$2.40/ 100g
produce,Organic Dill Potted1 ea,$3.99ea,$3.99/ 1ea
produce,President's ChoiceMini Cucumbers255 g,$3.99ea,$1.56/ 100g
produce,Chick Pea/Artichoke/Sundried Tomato Salad,$7.45(est.)ea,$21.90/ 1kg
produce,RemedyPeach Kombucha700 ml,$4.99ea,$0.71/ 100ml
produce,Gourmet GardenStir-In Paste Thai Seasoning115 g,$5.99ea,$5.21/ 100g
produce,Lunch Size Veg and Dip 600G1 kg,$8.00ea,$1.33/ 100g
produce,"BolthouseJuice, 100% Pomegranate1.54 l",$12.99ea,$0.84/ 100ml
produce,Organic English Cucumber1 ea,$2.99ea,$2.99/ 1ea
produce,Organic Raspberry Lemon Kombucha355 ml,$3.49ea,$0.98/ 100ml
produce,Fresh Orange Juice473 ml,$6.00ea,$1.27/ 100ml
produce,MarzettiSouthwest Ranch Veggie Dip85 g,$1.49ea,$1.75/ 100g
produce,LoopCold-Pressed Juice Magic Sip1000 ml,$7.99ea,$7.99/ 100ml
produce,Organic Brussel Sprouts227 g,$7.99ea,$3.52/ 100g
produce,GreenhouseUltraviolet Organic Kombucha1000 ml,$9.99ea,$1.00/ 100ml
produce,Orange1 ea,$0.35ea,$0.35/ 1ea
produce,GreenhouseOrganic Booster Lullaby60 ml,$3.99ea,$6.65/ 100ml
produce,Greek Salad Family Size1 kg,$16.00ea,$1.60/ 100g
produce,"GreenhouseRaw, Organic Juice Genius300 ml",$7.49ea,$2.50/ 100ml
produce,"Organic, Red Kale1 bunch",$4.49ea,$0.99/ 100g
produce,Honey Pitted Dates350 g,$4.99ea,$1.43/ 100g
produce,Cantaloupe Slices1 kg,$5.00ea,$0.50/ 100g
produce,POM Wonderful100% Pomegranate Juice1.4 l,$14.99ea,$1.07/ 100ml
produce,No NameBrown Mushrooms680 g,$6.49ea,$0.95/ 100g
produce,Fresh AttitudeCaesar Salad with Toppings Single Sized175 g,$5.99ea,$3.42/ 100g
produce,"GreenhouseRaw, Organic Juice the Good300 ml",$7.49ea,$2.50/ 100ml
produce,Organic Lime Strawberry Kombucha355 ml,$3.49ea,$0.98/ 100ml
produce,LoopCold-Pressed Juice Better Together Grapefruit Orange Ginger947 ml,$7.99ea,$0.80/ 100ml
produce,Organic Chives Potted1 ea,$3.99ea,$3.99/ 1ea
produce,Gourmet GardenLemongrass Stir-In Paste115 g,$5.99ea,$5.21/ 100g
produce,Organic French Beans350 g,$5.99ea,$1.71/ 100g
produce,Sweet Kale290 g,$8.00ea,$2.76/ 100g
produce,Platter Veggie Small850 g,$13.00ea,$1.49/ 100g
produce,Chicken Caesar Salad Family Size1.07 kg,$16.00ea,$1.50/ 100g
produce,PC OrganicsOrganic Baby King Oyster Mushrooms200 g,$5.99ea,$3.00/ 100g
produce,GoodLeafMicro Arugula50 g,$3.99ea,$7.98/ 100g
produce,PC OrganicsOrganics Whole Button Cremini Mushrooms227 g,$3.99ea,$1.76/ 100g
produce,WellCold Pressed Juice C Well  333 ml,$5.99ea,$1.80/ 100ml
produce,Happy PlanetClean Protein Smoothie Fair Trade Chocolate & Coconut900 ml,$6.99ea,$0.78/ 100ml
produce,"Happy PlanetFruit Smoothie, Coconut & Pineapple900 ml",$6.99ea,$0.78/ 100ml
produce,BolthouseGreen Goodness1.54 l,$9.99ea,$0.65/ 100ml
produce,President's ChoiceSpring Mix0.142 kg,$4.99ea,$3.51/ 100g
produce,MarzettiMarzetti Chocolate Dip 250g250 g,$5.49ea,$2.20/ 100g
produce,SunrichApple Slices280 g,$4.99ea,$1.78/ 100g
produce,GreenhouseKombucha Ultraviolet Organic    340 ml,$4.99ea,$1.47/ 100ml
produce,Golden Figs227 g,$4.99ea,$2.20/ 100g
produce,PC OrganicsOrganic Bartlett Pears,$1.76(est.)ea,$8.80/ 1kg
produce,President's ChoiceLive Red Leaf Lettuce - 1 Unit350 g,$3.99ea,$3.99/ 1ea
produce,Organic Grapefruit907 ea,$6.99ea,$0.77/ 100g
produce,President's ChoiceMint28 g,$2.50ea,
