Item,Sobeys,FreshCo,Food Basics,Walmart,zehrs (found online),sobeys % difference,freshco % difference,food_basics % difference,walmart % difference,department
bananas,0.69,0.59,0.59,0.58,0.69,1,0.855072463768,0.855072463768,0.840579710145,produce
ambrosia apple,2.99,2.49,2.48,1.97,2.99,1,0.832775919732,0.829431438127,0.658862876254,produce
broccoli,3.99,2.49,2.88,2.97,2.99,1.334448160535,0.832775919732,0.963210702341,0.993311036789,produce
regular tomatoes,2.49,1.99,3.48,2.97,2.49,1,0.799196787149,1.397590361446,1.192771084337,produce
romaine lettuce (single),1.99,1.79,1.99,2.33,3.49,0.570200573066,0.512893982808,0.570200573066,0.667621776504,produce
chicken breast,22.69,15.89,22.02,13.4,27.09,0.83757844223,0.586563307494,0.81284606866,0.494647471392,meat + seafood
ground beef,16.51,13,12.76,10.96,13.21,1.249810749432,0.984102952309,0.965934897805,0.829674489023,meat + seafood
salmon,35.25,31.5,35.25,34.98,24.23,1.454808089146,1.300041271151,1.454808089146,1.44366487825,meat + seafood
bacon (maple leaf foods),7.99,7.49,7.99,7.97,8.79,0.908987485779,0.852104664391,0.908987485779,0.906712172924,meat + seafood
steak (round),19.79,18.72,24.23,36.31,19.82,0.998486377397,0.944500504541,1.222502522704,1.831987891019,meat + seafood
dempster white bread,3.96,2.99,3.39,3.37,3.79,1.044854881266,0.788918205805,0.894459102902,0.889182058047,bakery
hotdog buns (villaggio),3.99,3.49,3.69,4.17,3.99,1,0.874686716792,0.924812030075,1.045112781955,bakery
tortillas (dempster 10 pack original),5.29,3.99,4.49,3.57,4.29,1.2331002331,0.93006993007,1.04662004662,0.832167832168,bakery
eggs (store brand large 12),3.79,3.59,5.39,4.18,3.89,0.974293059126,0.922879177378,1.385604113111,1.074550128535,dairy
natrel 2% mik 2L,5.29,4.99,5.19,5.18,6.49,0.815100154083,0.768875192604,0.79969183359,0.798151001541,dairy
oikos greek yogurt (plain 750 g),7.49,6.99,6.99,6.28,6.49,1.154083204931,1.077041602465,1.077041602465,0.967642526965,dairy
half & half sealtest 473 ml,3.69,2.74,3.99,3.98,3.69,1,0.742547425474,1.081300813008,1.078590785908,dairy
cheese (cracker barrel old cheddar 400g),8.69,6.99,7.49,8.77,8.99,0.966629588432,0.777530589544,0.833147942158,0.97552836485,dairy
kraft dinner,1.89,2.49,1.99,1.97,1.99,0.949748743719,1.251256281407,1,0.989949748744,dry goods
canned tomatoes 796 ml,1.49,0.97,2.49,2.47,1.49,1,0.651006711409,1.671140939597,1.657718120805,dry goods
tortilla chips (tostitos restaurant style),4.49,3.69,3.99,3.47,4.99,0.899799599198,0.739478957916,0.799599198397,0.695390781563,dry goods
peanut butter (kraft smooth 1kg),5.99,5.99,5.99,5.77,7.49,0.799732977303,0.799732977303,0.799732977303,0.770360480641,dry goods
sugar (white 2kg),2.79,2.77,2.77,2.77,2.99,0.933110367893,0.926421404682,0.926421404682,0.926421404682,dry goods
cereal (fruit loops family pack),8.99,8.99,9.49,8.47,11.99,0.749791492911,0.749791492911,0.791492910759,0.706422018349,dry goods
dish soap (dawn green 3.49ml),3.49,3.19,2.99,2.99,4.99,0.699398797595,0.639278557114,0.599198396794,0.599198396794,home goods
toilet paper (charmin utrastrong 12 rolls 2ply),23.99,19.49,21.99,12.73,18.99,1.263296471827,1.026329647183,1.157977883096,0.670352817272,home goods
garbage bags (glad 74L 40 bags),12.99,11.49,11.99,10.97,14.99,0.866577718479,0.766511007338,0.799866577718,0.731821214143,home goods
paper towels (royals 6 double rolls),22.99,17.49,19.89,23.47,17.98,1.278642936596,0.972747497219,1.106229143493,1.305339265851,home goods
laundry detergent (downy april fresh 1.53L),8.99,7.49,7.99,5.99,10.49,0.857006673022,0.714013346044,0.76167778837,0.571020019066,home goods
windex yellow,6.29,4.99,5.99,5.97,6.49,0.969183359014,0.768875192604,0.922958397535,0.919876733436,home goods
lysol wipes (yellow),6.49,6.99,5.99,5.97,5.99,1.08347245409,1.16694490818,1,0.996661101836,home goods
