merchant,brand,name,description,current_price,pre_price_text,price_text,sku,flyer_valid_from,flyer_valid_to,image_url
Food Basics,MAPLE LEAF,MAPLE LEAF VIENNA SAUSAGE,"113 G
SELECTED VARIETIES",1.48,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/29fda0a4-8df8-11ed-b0e8-0ec6e2beadde/x_large
Food Basics,,HAO OR ANN TEA,"20 - 100'S
SELECTED VARIETIES",3.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/28e8354e-8df8-11ed-b0e8-0ec6e2beadde/x_large
Food Basics,,ASIAN YELLOW PEARS,"PRODUCT OF CHINA EXTRA FANCY GRADE

4.37/KG",1.98,,/LB,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269662/30ca1fb6-8df8-11ed-97cf-0e7faade0358/x_large
Food Basics,,FRESH SLICED PORK BELLIES 15.17/KG,,6.88,,/LB,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269662/3060d510-8df8-11ed-97cf-0e7faade0358/x_large
Food Basics,,DAINTY ISLAND PARBOILED OR ROYAL ORCHID THAI HOM MALI RICE,"6 - 7 KG
SELECTED VARIETIES",12.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269662/2fcb1d04-8df8-11ed-97cf-0e7faade0358/x_large
Food Basics,SAPORITO,SAPORITO CANOLA OIL,3 L,9.98,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686283/1673467614/extra_large.jpg
Food Basics,KJ,KJ DUMPLINGS,"280 - 450 G, FROZEN
SELECTED VARIETIES",3.48,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686284/1673467615/extra_large.jpg
Food Basics,MAPLE LEAF,MAPLE LEAF FLAKED MEAT,"156 G
SELECTED VARIETIES",1.98,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269662/300cba52-8df8-11ed-97cf-0e7faade0358/x_large
Food Basics,PH FOOD,PH FOOD DUMPLINGS,"500 G, FROZEN
SELECTED VARIETIES",4.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/2746a7a2-8df8-11ed-b0e8-0ec6e2beadde/x_large
Food Basics,MAPLE LEAF,MAPLE LEAF VIENNA SAUSAGE,"113 G
SELECTED VARIETIES",1.48,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/29fda0a4-8df8-11ed-b0e8-0ec6e2beadde/x_large
Food Basics,,"SPAM LUNCHEON MEAT OR HEREFORD, GRACE OR COOL RUNNINGS CORNED BEEF","340 G

340 G
SELECTED VARIETIES",3.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686289/1673467615/extra_large.jpg
Food Basics,,HAO OR ANN TEA,"20 - 100'S
SELECTED VARIETIES",3.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/28e8354e-8df8-11ed-b0e8-0ec6e2beadde/x_large
Food Basics,TYJ,TYJ SPRING ROLL PASTRY,"250 - 275 G, FROZEN
SELECTED VARIETIES",1.98,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/27c8d092-8df8-11ed-b0e8-0ec6e2beadde/x_large
Food Basics,CASABLANCA,CASABLANCA BUTTER COOKIES,"454 G
SELECTED VARIETIES",3.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/2a4e6458-8df8-11ed-b0e8-0ec6e2beadde/x_large
Food Basics,MAE PLOY,MAE PLOY SWEET CHILI SAUCE,"730 ML
SELECTED VARIETIES",6.98,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686295/1673467620/extra_large.jpg
Food Basics,CP,CP MEALS,"250 - 350 G, FROZEN",5.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/273ad3a0-8df8-11ed-b0e8-0ec6e2beadde/x_large
Food Basics,LEE KUM KEE,LEE KUM KEE HOISIN SAUCE,"443 ML
SELECTED VARIETIES",2.98,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269663/297ca792-8df8-11ed-b0e8-0ec6e2beadde/x_large
Food Basics,,"GOLD SEAL, BRUNSWICK OR ADRIATIC QUEEN SARDINES OR FILLETS","92 - 125 G
SELECTED VARIETIES",1.48,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686297/1673467621/extra_large.jpg
Food Basics,Y&Y,Y&Y BAMBOO SHOOTS OR WATER CHESTNUTS,"227 ML
SELECTED VARIETIES",5.0,4/,,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686346/1673467611/extra_large.jpg
Food Basics,HANAMARUKI,HANAMARUKI SOYBEAN PASTE,"500 G
SELECTED VARIETIES",4.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269660/2ba90fce-8df8-11ed-bd7a-0e7faade0358/x_large
Food Basics,,MILI OR MEKONG JASMINE RICE,"8 KG
SELECTED VARIETIES",18.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686348/1673467613/extra_large.jpg
Food Basics,COOL,COOL RUNNINGS COCONUT MILK,"400 ML
SELECTED VARIETIES",5.0,4/,,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686350/1673467614/extra_large.jpg
