merchant,brand,name,description,current_price,pre_price_text,price_text,sku,flyer_valid_from,flyer_valid_to,image_url
FreshCo,,Mother's Magic Momos Duo Pack 700 g Tastie Spring Rolls 2.8 kg,,10.0,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016671/1675792690/extra_large.jpg
FreshCo,,Red Seedless Grapes Product of Peru No. 1 Grade 4.39/kg,,1.99,,/lb,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400022/bf125f54-a31a-11ed-831e-0e1ba86a8db4/x_large
FreshCo,,Best Buy Ground Beef Chicken or Turkey Frozen 1.2-1.81kg,,10.0,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400022/c1134a0c-a31a-11ed-831e-0e1ba86a8db4/x_large
FreshCo,,Dr. Oetker Casa Di Mama or Ristorante Pizza 320-410 g Dr. Oetker Giuseppe Garlic Fingers 317 g,,3.49,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400022/c0180516-a31a-11ed-831e-0e1ba86a8db4/x_large
FreshCo,,Coca-Cola or Pepsi Soft Drinks 12x355 mL Selected Varieties,,6.29,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400022/bf4f3622-a31a-11ed-831e-0e1ba86a8db4/x_large
FreshCo,,One Dozen 50 cm Long Stem Roses with Greens & Baby's Breath,,19.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400022/bf920524-a31a-11ed-831e-0e1ba86a8db4/x_large
FreshCo,,Ferrero Rocher T16 Chocolate Gift Box 200 g,,7.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400022/c00392ca-a31a-11ed-831e-0e1ba86a8db4/x_large
FreshCo,,Janes Ultimates Chicken Wings Frozen 695-745 g,,6.99,,with Scene+ Card,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400022/c0a2febe-a31a-11ed-831e-0e1ba86a8db4/x_large
FreshCo,,Compliments Medium Eggs 30 pk,,5.99,,with Scene+ Card,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400022/c0c90b68-a31a-11ed-831e-0e1ba86a8db4/x_large
FreshCo,,Avocados 5 pk Product of Mexico,,1.99,,with Scene+ Card,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400022/c04fd446-a31a-11ed-831e-0e1ba86a8db4/x_large
FreshCo,,"OKA Original, Aged and Mushrooms & Truffle",190 g,6.29,,each,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286345955/1675792714/extra_large.jpg
FreshCo,,FOLIO Cheese Wraps,170 g,7.29,,each,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286345956/1675792715/extra_large.jpg
FreshCo,,AGROPUR Grand Cheddar,200 g,7.99,From 6.49 to,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286345957/1675792716/extra_large.jpg
