category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
bakery,DItaliano,Thick Slice Original Bread,DItalianoThick Slice Original Bread675 g,$3.79ea,,$0.56/ 100g,False,1.0,
bakery,Country Harvest,14 Grains Whole Wheat Bread,Country Harvest14 Grains Whole Wheat Bread600 g,$3.99ea,,$0.67/ 100g,False,2.0,
bakery,Casa Mendosa,Large Original Tortillas,Casa MendosaLarge Original Tortillas640 g,$3.89ea,,$0.61/ 100g,False,3.0,
bakery,,White Baguette,White Baguette255 g,$0.88ea,,$0.35/ 100g,False,4.0,
bakery,Country Harvest,Ancient Grains & Red Fife Bread,Country HarvestAncient Grains & Red Fife Bread600 g,$3.99ea,,$0.67/ 100g,False,5.0,
bakery,Farmer's Market,Butter Croissant,Farmer's MarketButter Croissant270 g,$5.00ea,,$1.85/ 100g,False,6.0,
bakery,Wonder,"Bread, Sliced White","WonderBread, Sliced White675 g",$2.99ea,,$0.44/ 100g,False,7.0,
bakery,President's Choice,Original English Muffins,President's ChoiceOriginal English Muffins342 g,$2.49ea,,$0.73/ 100g,False,8.0,
bakery,Farmer's Market,Banana Chocolate Chunk Muffins,Farmer's MarketBanana Chocolate Chunk Muffins600 g,$6.00ea,,$1.00/ 100g,False,9.0,
bakery,Farmer's Market,Chocolate Chip Muffins,Farmer's MarketChocolate Chip Muffins600 g,$6.00ea,,$1.00/ 100g,False,10.0,
bakery,Casa Mendosa,Large Whole Wheat Tortillas,Casa MendosaLarge Whole Wheat Tortillas640 g,$3.89ea,,$0.61/ 100g,False,11.0,
bakery,No Name,Original English Muffins,No NameOriginal English Muffins342 g,$1.89ea,,$0.55/ 100g,False,12.0,
bakery,Wonder,"Thin Sandwich Bread, White","WonderThin Sandwich Bread, White675 g",$2.99ea,,$0.44/ 100g,False,13.0,
bakery,Farmer's Market,Blueberry Muffins,Farmer's MarketBlueberry Muffins570 g,$6.00ea,,$1.05/ 100g,False,14.0,
bakery,No Name,Everything Bagels,No NameEverything Bagels510 g,$2.00ea,,$0.39/ 100g,False,15.0,
bakery,Wonder,White Hamburger Buns,WonderWhite Hamburger Buns8x47.25 g,$2.99ea,,$0.79/ 100g,False,16.0,
bakery,DItaliano,Brioche-Style Hamburger Buns,DItalianoBrioche-Style Hamburger Buns560 g,$3.79ea,,$0.68/ 100g,False,17.0,
bakery,Wonder,White Bread with Fibre,WonderWhite Bread with Fibre675 g,$2.99ea,,$0.44/ 100g,False,18.0,
bakery,Wonder,100% Whole Wheat Bread,Wonder100% Whole Wheat Bread675 g,$2.99ea,,$0.44/ 100g,False,19.0,
bakery,DItaliano,Thick Sliced Bread 100% Whole Wheat ,DItalianoThick Sliced Bread 100% Whole Wheat 675 g,$3.79ea,,$0.56/ 100g,False,20.0,
bakery,No Name,Original Bread,No NameOriginal Bread675 g,$1.99ea,,$0.29/ 100g,False,21.0,
bakery,Country Harvest,Everything Bagel,Country HarvestEverything Bagel450 g,$4.49ea,,$1.00/ 100g,False,22.0,
bakery,Wonder,White Hotdog Buns,WonderWhite Hotdog Buns8x44.5 g,$2.99ea,,$0.84/ 100g,False,23.0,
bakery,Suraj,Naan Original 5 Flatbreads,SurajNaan Original 5 Flatbreads500 g,$2.29ea,,$0.46/ 100g,False,24.0,
bakery,No Name,100% Whole Wheat Bread,No Name100% Whole Wheat Bread675 g,$1.99ea,,$0.29/ 100g,False,25.0,
bakery,President's Choice,Chocolate Chip Mini Muffins,President's ChoiceChocolate Chip Mini Muffins336 g,$4.50ea,,$1.34/ 100g,False,26.0,
bakery,Suraj,Naan Garlic 5 Flatbreads,SurajNaan Garlic 5 Flatbreads500 g,$2.29ea,,$0.46/ 100g,False,27.0,
bakery,Farmer's Market,Carrot Muffins,Farmer's MarketCarrot Muffins600 g,$6.00ea,,$1.00/ 100g,False,28.0,
bakery,Country Harvest,Cinnamon Raisin Bread,Country HarvestCinnamon Raisin Bread600 g,$3.99ea,,$0.67/ 100g,False,29.0,
bakery,Wonder,White Bread White Texas,WonderWhite Bread White Texas675 g,$2.99ea,,$0.44/ 100g,False,30.0,
bakery,Country Harvest,Quinoa Flax Bread,Country HarvestQuinoa Flax Bread600 g,$3.99ea,,$0.67/ 100g,False,31.0,
