category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
drinks,Maxwell House,Original Roast Ground Coffee,Maxwell HouseOriginal Roast Ground Coffee925 g,$9.99ea,,$1.08/ 100g,False,1.0,
drinks,MiO,Lemonade Liquid Water Enhancer,MiOLemonade Liquid Water Enhancer48 ml,$2.99ea,,$6.23/ 100ml,False,2.0,
drinks,Maxwell House,Original Roast Coffee 100% Compostable K Cup Coffee Pods,Maxwell HouseOriginal Roast Coffee 100% Compostable K Cup Coffee Pods285 g,$19.99ea,,$7.01/ 100g,False,3.0,
drinks,Maxwell House,Pure Ground Coffee Rich Dark Roast,Maxwell HousePure Ground Coffee Rich Dark Roast900 g,$9.99ea,,$1.11/ 100g,False,4.0,
drinks,Real Canadian,Natural Spring Water,Real CanadianNatural Spring Water24x500.0 ml,$2.29c24,,$0.02/ 100ml,False,5.0,
drinks,MiO,Fruit Punch Flavoured Liquid Water Enhancer,MiOFruit Punch Flavoured Liquid Water Enhancer48 ml,$2.99ea,,$6.23/ 100ml,False,6.0,
drinks,President's Choice,Orange Juice No Pulp,President's ChoiceOrange Juice No Pulp2.63 l,$5.49ea,,$0.21/ 100ml,False,7.0,
drinks,Coca-Cola,Soda ,Coca-ColaSoda 6x710.0 ml,$5.29pack of 6,,$0.12/ 100ml,False,8.0,
drinks,Tassimo,Nabob Café Crema Coffee Single Serve T-Discs,TassimoNabob Café Crema Coffee Single Serve T-Discs14 ea,$10.49ea,,$9.54/ 100g,False,9.0,
drinks,Earths Own, Oat Milk Original,Earths Own Oat Milk Original1.75 l,$3.99ea,,$0.23/ 100ml,False,10.0,
drinks,Oasis,"Orange Juice No Pulp, Not from Concentrate","OasisOrange Juice No Pulp, Not from Concentrate1.5 l",$3.79ea,,$0.25/ 100ml,False,11.0,
drinks,Pepsi,Soda      ,PepsiSoda      6x710.0 ml,$4.99pack of 6,,$0.12/ 100ml,False,12.0,
drinks,Coca-Cola,Zero Sugar     ,Coca-ColaZero Sugar     6x710.0 ml,$5.29pack of 6,,$0.12/ 100ml,False,13.0,
drinks,Canada Dry,"Ginger Ale, 6 Pack","Canada DryGinger Ale, 6 Pack6x710.0 ml",$5.29pack of 6,,$0.12/ 100ml,False,14.0,
drinks,PC Blue Menu,Lime Sparkling Water,PC Blue MenuLime Sparkling Water12x355.0 ml,$4.79ea,,$0.11/ 100ml,False,15.0,
drinks,Oasis,Orange Pure Breakfast Juice,OasisOrange Pure Breakfast Juice960 ml,$2.19ea,,$0.23/ 100ml,False,16.0,
drinks,Fruitopia,Strawberry Passion Awareness Fruit Beverage,FruitopiaStrawberry Passion Awareness Fruit Beverage1.75 l,$1.99ea,,$0.11/ 100ml,False,17.0,
drinks,Coca-Cola,Diet Coke  ,Coca-ColaDiet Coke  6x710.0 ml,$5.29pack of 6,,$0.12/ 100ml,False,18.0,
drinks,Tropicana,Orange Juice No Pulp ,TropicanaOrange Juice No Pulp 1.54 l,$5.49ea,,$0.36/ 100ml,False,19.0,
