category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
frozen,President's Choice,Broccoli Florets,President's ChoiceBroccoli Florets500 g,$4.29ea,,$0.86/ 100g,False,1.0,
frozen,No Name,Chopped Spinach,No NameChopped Spinach300 g,$1.89ea,,$0.63/ 100g,False,2.0,
frozen,No Name,Whole Kernel Corn,No NameWhole Kernel Corn750 g,$2.49ea,,$0.33/ 100g,False,3.0,
frozen,Kelloggs,"Eggo Original Waffles, 8 waffles","KelloggsEggo Original Waffles, 8 waffles280 g",$4.29ea,,$1.53/ 100g,False,4.0,
frozen,No Name,Mixed Vegetables,No NameMixed Vegetables750 g,$2.49ea,,$0.33/ 100g,False,5.0,
frozen,Seaquest,"Cooked Shrimp, 36/45","SeaquestCooked Shrimp, 36/45300 g",$8.99ea,,$3.00/ 100g,False,6.0,
frozen,No Name,Blueberries,No NameBlueberries2 kg,$13.99ea,,$0.70/ 100g,False,7.0,
frozen,Seaquest,"Colossal Raw Shrimp, 16/20","SeaquestColossal Raw Shrimp, 16/20300 g",$9.99ea,,$3.33/ 100g,False,8.0,
frozen,President's Choice,Peaches & Cream Corn ,President's ChoicePeaches & Cream Corn 750 g,$4.29ea,,$0.57/ 100g,False,9.0,
frozen,President's Choice,Edamame,President's ChoiceEdamame500 g,$4.29ea,,$0.86/ 100g,False,10.0,
frozen,President's Choice,Extra Fine Whole Green Beans ,President's ChoiceExtra Fine Whole Green Beans 500 g,$4.29ea,,$0.86/ 100g,False,11.0,
frozen,Mccain,Straight Cut French Fries,MccainStraight Cut French Fries900 g,$2.49ea,,$0.28/ 100g,False,12.0,
frozen,President's Choice,Petite Pois,President's ChoicePetite Pois750 g,$4.29ea,,$0.57/ 100g,False,13.0,
frozen,President's Choice,Cauliflower Florets,President's ChoiceCauliflower Florets500 g,$4.29ea,,$0.86/ 100g,False,14.0,
frozen,No Name,Concentrated Fruit Punch,No NameConcentrated Fruit Punch283 ml,$1.39ea,,$0.49/ 100ml,False,15.0,
frozen,President's Choice,Australian Lamb Frozen Short Cut Leg Of Lamb,President's ChoiceAustralian Lamb Frozen Short Cut Leg Of Lamb,$48.63(est.)ea,,$17.62/ 1kg,False,16.0,
frozen,PC Organics,Organic Four Cheese Pizza,PC OrganicsOrganic Four Cheese Pizza346 g,$9.29ea,,$2.68/ 100g,False,17.0,
frozen,Delissio,Crispy Pan Hawaiian Pizza,DelissioCrispy Pan Hawaiian Pizza572 g,$8.99ea,,$1.57/ 100g,False,18.0,
frozen,President's Choice,Vegetable Medley ,President's ChoiceVegetable Medley 750 g,$4.29ea,,$0.57/ 100g,False,19.0,
frozen,Brar's,Gulab Jamun,Brar'sGulab Jamun1 kg,$8.49ea,$7.99ea,$0.94/ 100g,True,20.0,saleEnds 03/15
frozen,St Hubert,Montana's Texan BBQ Ribs,St HubertMontana's Texan BBQ Ribs650 g,$14.99ea,,$2.31/ 100g,False,21.0,
frozen,President's Choice,Loads Of Mango Fruit Bars,President's ChoiceLoads Of Mango Fruit Bars480 ml,$6.99ea,$5.49ea,$1.14/ 100ml,True,22.0,saleEnds 03/15
frozen,Delcato,Mac N' Cheese Butter Chicken,DelcatoMac N' Cheese Butter Chicken454 g,$9.49ea,,$2.09/ 100g,False,23.0,
frozen,Green Giant,Riced Veggies Asian Stir Fry Style,Green GiantRiced Veggies Asian Stir Fry Style283 g,$4.99ea,,$1.76/ 100g,False,24.0,
frozen,Maple Leaf,Oktoberfest Dinner Sausage,Maple LeafOktoberfest Dinner Sausage375 g,$6.99ea,,$1.86/ 100g,False,25.0,
frozen,President's Choice,Grilled Ready Veggie Eggplant,President's ChoiceGrilled Ready Veggie Eggplant500 g,$5.79ea,,$1.16/ 100g,False,26.0,
frozen,Haagen Dazs,Chocolate Ice Cream,Haagen DazsChocolate Ice Cream450 ml,$6.49ea,,$1.44/ 100ml,False,27.0,
frozen,Maple Leaf,Mini-Sizzlers Breakfast Sausages,Maple LeafMini-Sizzlers Breakfast Sausages375 g,$6.99ea,,$1.86/ 100g,False,28.0,
frozen,Waterview Market,Crispy Calamari,Waterview MarketCrispy Calamari300 g,$5.99ea,,$2.00/ 100g,False,29.0,
frozen,Pogo,Smoky Bacon Sausage,PogoSmoky Bacon Sausage544 g,$9.49ea,,$1.74/ 100g,False,30.0,
frozen,High Liner,Pan Sear Garlic & Herb Shrimp Butterflied,High LinerPan Sear Garlic & Herb Shrimp Butterflied454 g,$16.99ea,,$3.74/ 100g,False,31.0,
frozen,Kelloggs,"Eggo Waffles, Chocolatey Chip","KelloggsEggo Waffles, Chocolatey Chip280 g",$4.29ea,,$1.53/ 100g,False,32.0,
frozen,Fruitopia,Strawberry Passion Awareness Fruit Beverage,FruitopiaStrawberry Passion Awareness Fruit Beverage295 ml,$1.99ea,,$0.67/ 100ml,False,33.0,
frozen,Kelloggs,Eggo Waffles Buttermilk,KelloggsEggo Waffles Buttermilk280 g,$4.29ea,,$1.53/ 100g,False,34.0,
frozen,Sufra,Halal Chicken Strips,SufraHalal Chicken Strips840 g,$11.00ea,,$1.31/ 100g,False,35.0,
frozen,Chapmans,Super Premium Plus Ice Cream Chocolate Lover,ChapmansSuper Premium Plus Ice Cream Chocolate Lover500 ml,$6.49ea,,$1.30/ 100ml,False,36.0,
frozen,Sol Cuisine,Mushroom Rice Burger,Sol CuisineMushroom Rice Burger284 g,$7.49ea,,$2.64/ 100g,False,37.0,
frozen,President's Choice,Gluten Free Homestyle Waffles,President's ChoiceGluten Free Homestyle Waffles320 g,$3.59ea,,$1.12/ 100g,False,38.0,
frozen,Dr Oetker,Giuseppe Pizzeria Panini Bruschetta ,Dr OetkerGiuseppe Pizzeria Panini Bruschetta 250 g,$4.49ea,,$1.80/ 100g,False,39.0,
frozen,Swanson,Oven Roasters Seasoned Brussels Sprouts & Carrots,SwansonOven Roasters Seasoned Brussels Sprouts & Carrots425 g,$4.99ea,,$1.17/ 100g,False,40.0,
frozen,Minute Maid,"Berry Punch Frozen Concentrate Juice Beverage, Can","Minute MaidBerry Punch Frozen Concentrate Juice Beverage, Can295 ml",$1.69ea,,$0.57/ 100ml,False,41.0,
