category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
meat,Schneider,Hickory Smoked Classic Cut Bacon,SchneiderHickory Smoked Classic Cut Bacon375 g,$7.99ea,,$2.13/ 100g,False,
meat,President's Choice,Bacon,President's ChoiceBacon500 g,$8.29ea,,$1.66/ 100g,False,
meat,Schneider,Hickory Smoked 50% Less Salt Bacon,SchneiderHickory Smoked 50% Less Salt Bacon375 g,$7.99ea,,$2.13/ 100g,False,
meat,,"Chicken Leg with Bone, Club Pack","Chicken Leg with Bone, Club Pack",$12.55(est.)ea,,$9.90/ 1kg,False,
meat,,Lean Ground Beef,Lean Ground Beef500 g,$7.00ea,,$1.40/ 100g,False,
meat,President's Choice,Reduced Salt Bacon  ,President's ChoiceReduced Salt Bacon  500 g,$8.29ea,,$1.66/ 100g,False,
meat,,"Medium Ground Beef, Club Pack","Medium Ground Beef, Club Pack",$14.83(est.)ea,,$11.44/ 1kg,False,
meat,,"Split Chicken Wings, Club Pack","Split Chicken Wings, Club Pack",$12.29(est.)ea,,$13.21/ 1kg,False,
meat,,Extra Lean Ground Beef,Extra Lean Ground Beef500 g,$8.00ea,,$1.60/ 100g,False,
meat,Maple Leaf,Original Natural Bacon,Maple LeafOriginal Natural Bacon375 g,$7.99ea,,$2.13/ 100g,False,
meat,,Medium Ground Beef,Medium Ground Beef500 g,$6.00ea,,$1.20/ 100g,False,
meat,President's Choice,Old-Fashioned Style Bacon,President's ChoiceOld-Fashioned Style Bacon1 kg,$19.99ea,,$2.00/ 100g,False,
meat,President's Choice,"Free From Chicken Breast, Boneless, Skinless, Club Pack","President's ChoiceFree From Chicken Breast, Boneless, Skinless, Club Pack",$22.18(est.)ea,,$20.92/ 1kg,False,
meat,President's Choice,"Free From Chicken Breast, Boneless, Skinless","President's ChoiceFree From Chicken Breast, Boneless, Skinless",$11.11(est.)ea,,$21.36/ 1kg,False,
meat,No Name,Original Hot Dogs    ,No NameOriginal Hot Dogs    450 g,$3.00ea,,$0.67/ 100g,False,
meat,No Name,Chicken Hot Dogs,No NameChicken Hot Dogs450 g,$2.00ea,,$0.44/ 100g,False,
meat,No Name,Mild Sugar-Cured Bacon,No NameMild Sugar-Cured Bacon500 g,$7.00ea,,$1.40/ 100g,False,
meat,President's Choice,Free From Bacon Naturally Smoked,President's ChoiceFree From Bacon Naturally Smoked0.375 kg,$8.29ea,,$2.21/ 100g,False,
meat,Swiss Chalet,BBQ Pork Ribs,Swiss ChaletBBQ Pork Ribs600 g,$14.99ea,,$2.50/ 100g,False,
meat,President's Choice,Free From Mild Italian Pork Sausages,President's ChoiceFree From Mild Italian Pork Sausages500 g,$7.99ea,,$1.60/ 100g,False,
meat,President's Choice,"Pub Recipe Chicken Strips, Fully Cooked","President's ChoicePub Recipe Chicken Strips, Fully Cooked700 g",$7.49ea,,$1.07/ 100g,False,
meat,Maple Leaf,Natural Top Dogs Original Hot Dogs,Maple LeafNatural Top Dogs Original Hot Dogs375 g,$6.99ea,,$1.86/ 100g,False,
meat,Maple Leaf,"Chicken Breast, Boneless, Skinless","Maple LeafChicken Breast, Boneless, Skinless1 ea",$12.00ea,,$12.00/ 1ea,False,
meat,,Pork Half Loin,Pork Half Loin,$26.40(est.)ea,,$8.80/ 1kg,False,
meat,Sufra,Halal Chicken Nuggets,SufraHalal Chicken Nuggets840 g,$11.00ea,,$1.31/ 100g,False,
meat,Sufra,Chicken Legs,SufraChicken Legs1.6 kg,$11.00ea,,$0.69/ 100g,False,
meat,,"Chicken Breast Bone-in Skinless, Club Pack","Chicken Breast Bone-in Skinless, Club Pack",$9.70(est.)ea,,$7.58/ 1kg,False,
meat,Sufra,Halal Chicken Strips,SufraHalal Chicken Strips840 g,$11.00ea,,$1.31/ 100g,False,
meat,Maple Leaf,Prime Chicken Breast Thin Slice,Maple LeafPrime Chicken Breast Thin Slice1 ea,$12.00ea,,$12.00/ 1ea,False,
meat,President's Choice,Free From Original Breakfast Pork Sausages,President's ChoiceFree From Original Breakfast Pork Sausages375 g,$7.49ea,,$2.00/ 100g,False,
meat,Butcher's Choice,Hot Italian Pork Sausages,Butcher's ChoiceHot Italian Pork Sausages1.45 kg,$15.49ea,$14.99ea,$1.03/ 100g,True,saleEnds 03/01
meat,Maple Leaf,Mini-Sizzlers Breakfast Sausages,Maple LeafMini-Sizzlers Breakfast Sausages375 g,$6.99ea,,$1.86/ 100g,False,
meat,Marcangelo,"Chicken Souvlaki, Value Pack","MarcangeloChicken Souvlaki, Value Pack480 g",$12.99ea,,$2.71/ 100g,False,
meat,,Extra Lean Ground Beef,Extra Lean Ground Beef454 g,$7.00ea,,$1.54/ 100g,False,
meat,Beyond Meat,Beyond Sausage Hot Italian,Beyond MeatBeyond Sausage Hot Italian400 g,$9.49ea,,$2.37/ 100g,False,
meat,,Beef Rib Finger Meat Boneless,Beef Rib Finger Meat Boneless,$23.70(est.)ea,,$19.82/ 1kg,False,
meat,Maple Leaf,Oktoberfest Dinner Sausage,Maple LeafOktoberfest Dinner Sausage375 g,$6.99ea,,$1.86/ 100g,False,
meat,No Name,Breaded Chicken Cutlettes Chicken Nuggets Club Size,No NameBreaded Chicken Cutlettes Chicken Nuggets Club Size1810 g,$10.49ea,,$0.58/ 100g,False,
meat,Zabiha Halal,Spicy Supreme Chicken Frankfurters,Zabiha HalalSpicy Supreme Chicken Frankfurters900 g,$6.49ea,,$0.72/ 100g,False,
meat,President's Choice,Australian Lamb Frozen Short Cut Leg Of Lamb,President's ChoiceAustralian Lamb Frozen Short Cut Leg Of Lamb,$54.70(est.)ea,,$19.82/ 1kg,False,
meat,,"Boneless Pork Chop Center & Rib, Club Pack","Boneless Pork Chop Center & Rib, Club Pack",$8.09(est.)ea,,$10.56/ 1kg,False,
meat,President's Choice,"Free From Boneless Pork Center Chop, Tray Pack","President's ChoiceFree From Boneless Pork Center Chop, Tray Pack",$7.55(est.)ea,,$16.51/ 1kg,False,
