category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
pantry,Lantic,Granulated Sugar,LanticGranulated Sugar2 kg,$2.99ea,,$0.15/ 100g,False,1.0,
pantry,No Name,Tomato Paste,No NameTomato Paste156 ml,$0.99ea,,$0.63/ 100ml,False,2.0,
pantry,No Name,Black Beans,No NameBlack Beans540 ml,$1.49ea,,$0.28/ 100ml,False,3.0,
pantry,Green Giant,Peaches & Cream Corn,Green GiantPeaches & Cream Corn341 ml,$1.99ea,,$0.58/ 100ml,False,4.0,
pantry,No Name,Diced Tomatoes with Herbs and Spices,No NameDiced Tomatoes with Herbs and Spices796 ml,$1.49ea,,$0.19/ 100ml,False,5.0,
pantry,Unico,Tomato Paste,UnicoTomato Paste156 ml,$1.19ea,,$0.76/ 100ml,False,6.0,
pantry,No Name,Flaked Light Tuna,No NameFlaked Light Tuna170 g,$1.29ea,,$0.76/ 100g,False,7.0,
pantry,Arm & Hammer,Baking Soda,Arm & HammerBaking Soda500 g,$1.99ea,,$0.40/ 100g,False,8.0,
pantry,Post,With Almonds Cereal,PostWith Almonds Cereal340 g,$4.99ea,,$1.47/ 100g,False,9.0,
pantry,Dainty,Kimora Calrose Rice,DaintyKimora Calrose Rice1.6 kg,$9.59ea,,$0.60/ 100g,False,10.0,
pantry,Shah,Parboiled Rice,ShahParboiled Rice4 kg,$8.99ea,,$0.22/ 100g,False,11.0,
pantry,Suraj,Aged Basmati Rice,SurajAged Basmati Rice1.81 kg,$6.99ea,,$0.39/ 100g,False,12.0,
pantry,Unico,Sunflower Oil,UnicoSunflower Oil1 l,$10.99ea,,$1.10/ 100ml,False,13.0,
pantry,Unico,Broad Beans,UnicoBroad Beans540 ml,$3.19ea,,$0.59/ 100ml,False,14.0,
pantry,PC Blue Menu,Italian Farro,PC Blue MenuItalian Farro225 g,$2.99ea,,$1.33/ 100g,False,15.0,
pantry,Primo,"Pasta, Spaghettini Whole Grain","PrimoPasta, Spaghettini Whole Grain375 g",$2.39ea,,$0.64/ 100g,False,16.0,
pantry,Dainty,Rice Basmati Format Maxi,DaintyRice Basmati Format Maxi1.6 kg,$15.79ea,,$0.99/ 100g,False,17.0,
pantry,Unico,Crushed Tomatoes. No Salt Added,UnicoCrushed Tomatoes. No Salt Added796 ml,$1.99ea,,$0.25/ 100ml,False,18.0,
pantry,Organically Yours,"Cashews, Roasted & Salted","Organically YoursCashews, Roasted & Salted200 g",$10.00ea,,$5.00/ 100g,False,19.0,
pantry,Betty Crocker,Creamy Scalloped Potatoes,Betty CrockerCreamy Scalloped Potatoes141 g,$2.79ea,,$1.98/ 100g,False,20.0,
pantry,Suraj,Ground Coriander ,SurajGround Coriander 300 g,$2.79ea,,$0.93/ 100g,False,21.0,
pantry,Marca Pina,Fish Sauce,Marca PinaFish Sauce1 l,$2.99ea,,$0.30/ 100ml,False,22.0,
pantry,No Name,Unbleached All-Purpose Flour,No NameUnbleached All-Purpose Flour5 kg,$6.99ea,,$0.14/ 100g,False,23.0,
pantry,President's Choice,Quinoa,President's ChoiceQuinoa1.8 kg,$14.99ea,,$0.83/ 100g,False,24.0,
pantry,No Name,Whole Almonds,No NameWhole Almonds1 kg,$21.49ea,,$2.15/ 100g,False,25.0,
pantry,Bens,Roasted Chicken Flavour & Wild Rice,BensRoasted Chicken Flavour & Wild Rice365 g,$4.99ea,,$1.37/ 100g,False,26.0,
