category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
produce,,"Bananas, Bunch","Bananas, Bunch",$1.50(est.)ea,,$1.30/ 1kg,False,1.0,
produce,,Strawberries 1LB,Strawberries 1LB454 g,$5.99ea,$3.99ea,$0.88/ 100g,True,2.0,saleEnds 03/15
produce,,English Cucumber,English Cucumber1 ea,$1.49ea,$0.79ea,$0.79/ 1ea,True,3.0,saleEnds 03/15
produce,,Green Onion,Green Onion1 bunch,$1.49ea,$0.99ea,$0.99/ 1ea,True,4.0,saleEnds 03/15
produce,,Green Seedless Grapes,Green Seedless Grapes,$6.72(est.)ea,,$6.59/ 1kg,False,5.0,
produce,Farmer's Market,Yellow Onions,Farmer's MarketYellow Onions3 lb bag,$2.49ea,,$0.18/ 100g,False,6.0,
produce,,Avocados Bag,Avocados Bag1 bag,$3.99ea,,$0.80/ 1ea,False,7.0,
produce,,Celery Stalks,Celery Stalks1 ea,$3.99ea,,$3.99/ 1ea,False,8.0,
produce,,Roma Tomatoes,Roma Tomatoes,$0.53(est.)ea,$0.26(est.)ea,$2.18/ 1kg,True,9.0,saleEnds 03/15
produce,,Lemon,Lemon1 ea,$0.99ea,,$0.99/ 1ea,False,10.0,
produce,,Blueberries 1 pint,Blueberries 1 pint340 g,$5.99ea,,$1.76/ 100g,False,11.0,
produce,,Red Seedless Grapes,Red Seedless Grapes,$6.52(est.)ea,,$6.59/ 1kg,False,12.0,
produce,,Tomato On The Vine Red (1 Bunch),Tomato On The Vine Red (1 Bunch),$5.46(est.)ea,,$7.69/ 1kg,False,13.0,
produce,,Broccoli Crown,Broccoli Crown1 ea,$1.99ea,,$1.99/ 1ea,False,14.0,
produce,,Lettuce Iceberg,Lettuce Iceberg1 ea,$2.99ea,$1.99ea,$1.99/ 1ea,True,15.0,saleEnds 03/15
produce,Farmer's Market,Sweet Baby Peppers,Farmer's MarketSweet Baby Peppers4 pack,$4.99ea,,$1.25/ 1ea,False,16.0,
produce,,Cantaloupe,Cantaloupe1 ea,$2.99ea,$2.49ea,$2.49/ 1ea,True,17.0,saleEnds 03/15
produce,,Tomato Beefsteak  Red,Tomato Beefsteak  Red,$1.77(est.)ea,,$6.59/ 1kg,False,18.0,
produce,,Broccoli,Broccoli1 ea,$3.99ea,,$3.99/ 1ea,False,19.0,
produce,,Cilantro,Cilantro1 bunch,$0.99ea,,$0.99/ 1ea,False,20.0,
produce,,Red Peppers    ,Red Peppers    ,$2.11(est.)ea,,$8.80/ 1kg,False,21.0,
produce,Farmer's Market,Grape Tomatoes,Farmer's MarketGrape Tomatoes283 g,$2.99ea,$2.49ea,$0.88/ 100g,True,22.0,saleEnds 03/15
produce,,Red Onion,Red Onion,$1.62(est.)ea,,$4.39/ 1kg,False,23.0,
produce,,Mandarin,Mandarin4 lb,$6.99ea,$5.99ea,$0.33/ 100g,True,24.0,saleEnds 03/15
produce,,Sweet Green Peppers,Sweet Green Peppers,$2.15(est.)ea,,$7.69/ 1kg,False,25.0,
produce,,Sweet Potato,Sweet Potato,$2.07(est.)ea,,$3.28/ 1kg,False,26.0,
produce,Farmer's Market,Carrots,Farmer's MarketCarrots3 lb bag,$3.49ea,,$0.26/ 100g,False,27.0,
produce,PC Organics,"Organic Bananas, Bunch","PC OrganicsOrganic Bananas, Bunch",$2.40(est.)ea,,$2.18/ 1kg,False,28.0,
produce,,Pineapple,Pineapple1 ea,$2.99ea,,$2.99/ 1ea,False,29.0,
produce,Farmer's Market,Russet Potatoes,Farmer's MarketRusset Potatoes10 lb bag,$3.99ea,,$0.09/ 100g,False,30.0,
produce,,Avocado,Avocado1 ea,$1.69ea,,$1.69/ 1ea,False,31.0,
