category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
seafood,President's Choice,Pacific White Shrimp Raw Peeled,President's ChoicePacific White Shrimp Raw Peeled400 g,$10.99ea,,$2.75/ 100g,False,1.0,
seafood,Seaquest,"Cooked Shrimp, 36/45","SeaquestCooked Shrimp, 36/45300 g",$8.99ea,,$3.00/ 100g,False,2.0,
seafood,Seaquest,"Colossal Raw Shrimp, 16/20","SeaquestColossal Raw Shrimp, 16/20300 g",$9.99ea,,$3.33/ 100g,False,3.0,
seafood,President's Choice,Pacific White Shrimp Cooked Peeled,President's ChoicePacific White Shrimp Cooked Peeled400 g,$11.99ea,,$3.00/ 100g,False,4.0,
seafood,DOM,Smoked Steelhead Salmon,DOMSmoked Steelhead Salmon50 g,$3.49ea,,$6.98/ 100g,False,5.0,
seafood,Seaquest,"Scallops, Small","SeaquestScallops, Small454 g",$9.99ea,,$2.20/ 100g,False,6.0,
seafood,Seaquest,"Raw Shrimp, 36/45","SeaquestRaw Shrimp, 36/45300 g",$7.99ea,,$2.66/ 100g,False,7.0,
seafood,,Salmon,Salmon700 g,$10.00ea,,$1.43/ 100g,False,8.0,
seafood,Seaquest,King Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting,SeaquestKing Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting227 g,$3.49ea,,$1.54/ 100g,False,9.0,
seafood,Seaquest,Leg-style King Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting,SeaquestLeg-style King Crab Flavoured Wild Alaska Pollock & Wild Pacific Whiting227 g,$3.49ea,,$1.54/ 100g,False,10.0,
seafood,,"Golden Pompano Fish, Frozen","Golden Pompano Fish, Frozen",$6.70(est.)ea,,$8.83/ 1kg,False,11.0,
seafood,Seaquest,Wild Haddock Fillets Skinless Boneless ,SeaquestWild Haddock Fillets Skinless Boneless 400 g,$9.99ea,,$2.50/ 100g,False,12.0,
seafood,Seaquest,Green-Lipped Mussels in the Half Shell New Zealand ,SeaquestGreen-Lipped Mussels in the Half Shell New Zealand 454 g,$10.49ea,,$2.31/ 100g,False,13.0,
seafood,President's Choice,Smoked Wild Sockeye Salmon,President's ChoiceSmoked Wild Sockeye Salmon150 g,$12.99ea,,$8.66/ 100g,False,14.0,
seafood,Seaquest,Pink Salmon Fillets,SeaquestPink Salmon Fillets400 g,$9.29ea,,$2.32/ 100g,False,15.0,
seafood,High Liner,Pink Salmon,High LinerPink Salmon400 g,$10.99ea,$8.88ea,$2.22/ 100g,True,16.0,saleEnds 03/15
seafood,Seaquest,Salad Shrimp,SeaquestSalad Shrimp454 g,$11.99ea,$8.88ea,$1.96/ 100g,True,17.0,saleEnds 03/15
seafood,Seaquest,"Sole Fillets, Skinless Boneless","SeaquestSole Fillets, Skinless Boneless400 g",$8.99ea,,$2.25/ 100g,False,18.0,
seafood,Seaquest,Lobster Flavoured Wild Alaska Pollock Chunks,SeaquestLobster Flavoured Wild Alaska Pollock Chunks227 g,$3.49ea,,$1.54/ 100g,False,19.0,
seafood,Seaquest,Cooked Shrimp,SeaquestCooked Shrimp300 g,$8.99ea,,$3.00/ 100g,False,20.0,
seafood,Seaquest,Tilapia Fillets,SeaquestTilapia Fillets400 g,$7.99ea,,$2.00/ 100g,False,21.0,
seafood,Seaquest,Cod Fillets Wild Pacific,SeaquestCod Fillets Wild Pacific400 g,$9.99ea,,$2.50/ 100g,False,22.0,
seafood,Seaquest,Wild Haddock Fillets Club Size ,SeaquestWild Haddock Fillets Club Size 1 kg,$17.99ea,,$1.80/ 100g,False,23.0,
seafood,President's Choice,Breaded Butterflied Shrimp ,President's ChoiceBreaded Butterflied Shrimp 400 g,$12.99ea,,$3.25/ 100g,False,24.0,
seafood,President's Choice,Breaded Coconut Shrimp With Sweet Chili Dipping Sauce,President's ChoiceBreaded Coconut Shrimp With Sweet Chili Dipping Sauce454 g,$12.99ea,,$2.86/ 100g,False,25.0,
seafood,President's Choice,Raw Shrimp,President's ChoiceRaw Shrimp340 g,$12.99ea,,$3.82/ 100g,False,26.0,
seafood,Anchor Bay,Basa Fillets,Anchor BayBasa Fillets400 g,$4.79ea,,$1.20/ 100g,False,27.0,
seafood,,Wild Smoked Salmon,Wild Smoked Salmon255 g,$10.00ea,,$3.92/ 100g,False,28.0,
seafood,Green Ocean,Go Raw White Shrimp 51/70,Green OceanGo Raw White Shrimp 51/70160 g,$3.99ea,,$2.49/ 100g,False,29.0,
seafood,Waterview Market,Crispy Calamari,Waterview MarketCrispy Calamari300 g,$5.99ea,,$2.00/ 100g,False,30.0,
seafood,Premier, Tilapia,Premier Tilapia1.36 kg,$11.99ea,,$0.88/ 100g,False,31.0,
seafood,President's Choice,Crispy Shrimp Fine Hors D'Oeuvre Trio,President's ChoiceCrispy Shrimp Fine Hors D'Oeuvre Trio528 g,$16.29ea,,$3.09/ 100g,False,32.0,
seafood,Seaquest,"Basa fillets, skinless & boneless","SeaquestBasa fillets, skinless & boneless1 kg",$14.99ea,,$1.50/ 100g,False,33.0,
seafood,President's Choice,Sea Salt and Malt Vinegar Haddock Bites,President's ChoiceSea Salt and Malt Vinegar Haddock Bites454 g,$10.99ea,,$2.42/ 100g,False,34.0,
seafood,Premier, Seafood Mix,Premier Seafood Mix340 g,$6.99ea,,$2.06/ 100g,False,35.0,
seafood,Aquastar,Breaded Haddock Fillets    ,AquastarBreaded Haddock Fillets    500 g,$10.99ea,,$2.20/ 100g,False,36.0,
seafood,,Peeled and Cooked Shrimp,Peeled and Cooked Shrimp340 g,$9.97ea,$8.88ea,$2.61/ 100g,True,37.0,saleEnds 03/15
seafood,President's Choice, Atlantic Salmon Burger,President's Choice Atlantic Salmon Burger568 g,$13.99ea,,$2.46/ 100g,False,38.0,
seafood,Millionnaires,Flat Fillets of Anchovies,MillionnairesFlat Fillets of Anchovies50 g,$3.99ea,,$3.99/ 50g,False,39.0,
seafood,President's Choice,Tempura Torpedo Shrimp With Sweet Soy Dipping Sauce,President's ChoiceTempura Torpedo Shrimp With Sweet Soy Dipping Sauce340 g,$12.99ea,,$3.82/ 100g,False,40.0,
seafood,Sardo,Herb & Garlic Marinated Mussels ,SardoHerb & Garlic Marinated Mussels 250 ml,$4.49ea,,$1.80/ 100g,False,41.0,
seafood,President's Choice,Bacon-Wrapped Wild Sea Scallops,President's ChoiceBacon-Wrapped Wild Sea Scallops260 g,$15.99ea,,$6.15/ 100g,False,42.0,
seafood,Green Ocean,Go Cooked White Shrimp 61/90,Green OceanGo Cooked White Shrimp 61/90160 g,$3.99ea,,$2.49/ 100g,False,43.0,
seafood,Seaquest,Basa Fillets,SeaquestBasa Fillets400 g,$7.99ea,,$2.00/ 100g,False,44.0,
seafood,,Steelhead Trout Fillet Frozen,Steelhead Trout Fillet Frozen,$6.39(est.)ea,,$22.02/ 1kg,False,45.0,
seafood,Foppen,Smoked Salmon Toast Trio,FoppenSmoked Salmon Toast Trio248 g,$15.99ea,,$6.45/ 100g,False,46.0,
seafood,President's Choice,Butter & Lemon Grilling Lobster Tail Skewers,President's ChoiceButter & Lemon Grilling Lobster Tail Skewers200 g,$19.99ea,,$10.00/ 100g,False,47.0,
seafood,President's Choice,Melt In The Middle Sustainably Sourced Cod Fish Cakes,President's ChoiceMelt In The Middle Sustainably Sourced Cod Fish Cakes290 g,$7.99ea,,$2.76/ 100g,False,48.0,
seafood,Sardo,Select Seafood Salad Marinated   ,SardoSelect Seafood Salad Marinated   212 g,$7.99ea,,$3.20/ 100ml,False,49.0,
seafood,Seaquest,Tilapia Fillets Club Size ,SeaquestTilapia Fillets Club Size 1 kg,$15.99ea,,$1.60/ 100g,False,50.0,
seafood,Seaquest,"Calamari Rings, Uncooked","SeaquestCalamari Rings, Uncooked340 g",$9.49ea,,$2.79/ 100g,False,51.0,
seafood,,"Raw Wild Shrimp, Easy Peel","Raw Wild Shrimp, Easy Peel300 g",$11.99ea,,$4.00/ 100g,False,52.0,
seafood,Seaquest,Shrimp Ring,SeaquestShrimp Ring454 g,$13.49ea,,$2.97/ 100g,False,53.0,
seafood,Green Ocean,Go Flake Style Crab Flavoured Seafood,Green OceanGo Flake Style Crab Flavoured Seafood200 g,$2.00ea,,$1.00/ 100g,False,54.0,
seafood,PC Organics,Organic Smoked Atlantic Salmon,PC OrganicsOrganic Smoked Atlantic Salmon100 g,$11.99ea,,$11.99/ 100g,False,55.0,
seafood,PC Organics,Organics Peeled Raw Black Tiger Shrimp,PC OrganicsOrganics Peeled Raw Black Tiger Shrimp300 g,$13.99ea,,$4.66/ 100g,False,56.0,
seafood,Unico,Fillets of Anchovies,UnicoFillets of Anchovies50 g,$2.49ea,,$4.98/ 100g,False,57.0,
seafood,,Tuna Steak ,Tuna Steak 113 g,$3.79ea,,$3.35/ 100g,False,58.0,
seafood,Aquastar,Breaded Alaskan Cod,AquastarBreaded Alaskan Cod500 g,$10.99ea,,$2.20/ 100g,False,59.0,
seafood,DOM,Organics Live Mussels,DOMOrganics Live Mussels907 g,$7.99ea,,$0.88/ 100g,False,60.0,
