category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
snacks,No Name,Regular Ripple Cut Potato Chips,No NameRegular Ripple Cut Potato Chips200 g,$1.49ea,,$0.75/ 100g,False,1.0,
snacks,No Name, Lightly Salted Rippled Potato Chips ,No Name Lightly Salted Rippled Potato Chips 200 g,$1.49ea,,$0.75/ 100g,False,2.0,
snacks,No Name,Regular Potato Chips ,No NameRegular Potato Chips 200 g,$1.49ea,,$0.75/ 100g,False,3.0,
snacks,No Name,Ketchup Potato Chips,No NameKetchup Potato Chips200 g,$1.49ea,,$0.75/ 100g,False,4.0,
snacks,No Name,Sesame Rice Crackers,No NameSesame Rice Crackers100 g,$1.25ea,$1.00ea,$1.00/ 100g,True,5.0,saleEnds 03/15
snacks,President's Choice,Unsweetened Apple Sauce,President's ChoiceUnsweetened Apple Sauce6x100.0 ml,$2.29ea,,$0.38/ 100ml,False,6.0,
snacks,Doritos,Sweet Chili Heat! flavoured tortilla chips,DoritosSweet Chili Heat! flavoured tortilla chips235 g,$4.29ea,,$1.83/ 100g,False,7.0,
snacks,Tostitos,Multigrain Rounds Tortilla Chips 270g,TostitosMultigrain Rounds Tortilla Chips 270g270 g,$3.99ea,,$1.48/ 100g,False,8.0,
snacks,Ruffles,Sour Cream 'n Onion Flavoured Potato Chips,RufflesSour Cream 'n Onion Flavoured Potato Chips200 g,$4.49ea,$3.99ea,$2.00/ 100g,True,9.0,saleEnds 03/22
snacks,No Name,Cheese Rice Crackers,No NameCheese Rice Crackers100 g,$1.25ea,$1.00ea,$1.00/ 100g,True,10.0,saleEnds 03/15
snacks,Vicenzi,Millefoglie Mini Snack,VicenziMillefoglie Mini Snack125 g,$2.99ea,,$2.39/ 100g,False,11.0,
snacks,Crispers,Bits & Bites Original Snacks,CrispersBits & Bites Original Snacks145 g,$2.69ea,,$1.86/ 100g,False,12.0,
snacks,President's Choice,Tropical Fruits Squeeze Fruit Snacks,President's ChoiceTropical Fruits Squeeze Fruit Snacks4x90.0 g,$2.49ea,,$0.69/ 100g,False,13.0,
snacks,President's Choice,Garlic Crackers,President's ChoiceGarlic Crackers185 g,$3.49ea,,$1.89/ 100g,False,14.0,
snacks,No Name,Cheese Sandwich Crackers,No NameCheese Sandwich Crackers180 g,$3.29ea,,$1.83/ 100g,False,15.0,
snacks,No Name,Vanilla Pudding Cups 4 Pack,No NameVanilla Pudding Cups 4 Pack4x99.0 g,$1.39ea,,$0.35/ 100g,False,16.0,
snacks,LA IDA,Large Sugar Taralli,LA IDALarge Sugar Taralli360 g,$3.79ea,,$1.05/ 100g,False,17.0,
snacks,Maynards,Sour Patch Kids  Soft Candy,MaynardsSour Patch Kids  Soft Candy185 g,$2.49ea,,$1.35/ 100g,False,18.0,
snacks,Snyders,"Pretzel Pieces, Honey Mustard & Onion","SnydersPretzel Pieces, Honey Mustard & Onion240 g",$3.99ea,,$1.66/ 100g,False,19.0,
snacks,Cadbury,Mini Eggs Assorted Chocolate Eggs Mini,CadburyMini Eggs Assorted Chocolate Eggs Mini33 g,$1.49ea,,$4.52/ 100g,False,20.0,
snacks,Hershey's,Eggies Milk Chocolate,Hershey'sEggies Milk Chocolate400 g,$8.99ea,,$2.25/ 100g,False,21.0,
snacks,T&T,Ready-to-Eat Organic Chestnuts,T&TReady-to-Eat Organic Chestnuts100 g,$1.29ea,,$1.29/ 100g,False,22.0,
snacks,GoGo squeez, Fruit Sauce 16 Pouches,GoGo squeez Fruit Sauce 16 Pouches16x90.0 g,$12.99ea,,$0.90/ 100g,False,23.0,
snacks,FERRERO ROCHER,"Hollow Hazelnut Milk Chocolate Squirrel, Easter Gift","FERRERO ROCHERHollow Hazelnut Milk Chocolate Squirrel, Easter Gift90 g",$5.99ea,,$6.66/ 100g,False,24.0,
snacks,No Name,Microwave Butter Flavour Popcorn,No NameMicrowave Butter Flavour Popcorn493 g,$3.29ea,,$0.67/ 100g,False,25.0,
snacks,Christie,Ritz Original Crackers,ChristieRitz Original Crackers900 g,$9.49ea,,$1.05/ 100g,False,26.0,
snacks,No Name,Regular Potato Crisps,No NameRegular Potato Crisps150 g,$1.49ea,,$0.99/ 100g,False,27.0,
snacks,Podravka,Cokolino Cereal,PodravkaCokolino Cereal200 g,$3.29ea,,$1.65/ 100g,False,28.0,
snacks,Cineplex, Butter Microwave Popcorn - 3 Pack,Cineplex Butter Microwave Popcorn - 3 Pack255 g,$3.19ea,,$1.25/ 100g,False,29.0,
snacks,Reese's, Peanut Butter Cups Candy,Reese's Peanut Butter Cups Candy46 g,$1.49ea,,$3.24/ 100g,False,30.0,
snacks,Voortman,Coconut Cookies,VoortmanCoconut Cookies350 g,$3.29ea,,$0.94/ 100g,False,31.0,
snacks,Finn Crisp,"Crispbread, Multigrain","Finn CrispCrispbread, Multigrain175 g",$3.89ea,,$2.22/ 100g,False,32.0,
snacks,Pringles,Cheddar & Sour Cream Flavour Potato Chips,PringlesCheddar & Sour Cream Flavour Potato Chips156 g,$2.99ea,,$1.92/ 100g,False,33.0,
snacks,Tremarie, Milk Chocolate And Almonds Cream Filled Wafers,Tremarie Milk Chocolate And Almonds Cream Filled Wafers140 g,$2.99ea,,$2.14/ 100g,False,34.0,
snacks,SS Frutas,Spicy Plantain Crunchy Crisps,SS FrutasSpicy Plantain Crunchy Crisps85 g,$1.79ea,,$2.11/ 100g,False,35.0,
snacks,Predilecta,Creamy Guava Paste,PredilectaCreamy Guava Paste320 g,$3.29ea,,$1.03/ 100g,False,36.0,
snacks,Salzburg,Hazelnut Mignon,SalzburgHazelnut Mignon350 g,$4.79ea,,$1.37/ 100g,False,37.0,
snacks,Skittles,"Original Chewy Candy, Bowl Size Bag","SkittlesOriginal Chewy Candy, Bowl Size Bag320 g",$5.79ea,,$1.81/ 100g,False,38.0,
snacks,GoGo squeez,"Squeeze, Apple Blueberry","GoGo squeezSqueeze, Apple Blueberry90 g",$3.99ea,,$1.11/ 100g,False,39.0,
