category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
bakery,Country Harvest,14 Grains Whole Wheat Bread,Country Harvest14 Grains Whole Wheat Bread600 g,$4.49ea,,$0.75/ 100g,False,1.0,
bakery,Casa Mendosa,Large Original Tortillas,Casa MendosaLarge Original Tortillas640 g,$4.79ea,,$0.75/ 100g,False,2.0,
bakery,,White Baguette,White Baguette255 g,$1.69ea,,$0.66/ 100g,False,3.0,
bakery,President's Choice,Tortillas Original ,President's ChoiceTortillas Original 650 g,$4.29ea,,$0.66/ 100g,False,4.0,
bakery,Country Harvest,Ancient Grains & Red Fife Bread,Country HarvestAncient Grains & Red Fife Bread600 g,$4.49ea,,$0.75/ 100g,False,5.0,
bakery,Farmer's Market,Butter Croissant,Farmer's MarketButter Croissant270 g,$5.99ea,,$2.22/ 100g,False,6.0,
bakery,Wonder,"Bread, Sliced White","WonderBread, Sliced White675 g",$3.99ea,,$0.59/ 100g,False,7.0,
bakery,President's Choice,Original English Muffins,President's ChoiceOriginal English Muffins342 g,$3.29ea,,$0.96/ 100g,False,8.0,
bakery,ACE,White Baguette,ACEWhite Baguette350 g,$3.99ea,,$1.14/ 100g,False,9.0,
bakery,Farmer's Market,Banana Chocolate Chunk Muffins,Farmer's MarketBanana Chocolate Chunk Muffins600 g,$6.99ea,,$1.17/ 100g,False,10.0,
bakery,Farmer's Market,Chocolate Chip Muffins,Farmer's MarketChocolate Chip Muffins600 g,$6.99ea,,$1.17/ 100g,False,11.0,
bakery,Casa Mendosa,Large Whole Wheat Tortillas,Casa MendosaLarge Whole Wheat Tortillas640 g,$4.79ea,,$0.75/ 100g,False,12.0,
bakery,Wonder,"Thin Sandwich Bread, White","WonderThin Sandwich Bread, White675 g",$3.99ea,,$0.59/ 100g,False,13.0,
bakery,Farmer's Market,Blueberry Muffins,Farmer's MarketBlueberry Muffins570 g,$6.99ea,,$1.23/ 100g,False,14.0,
bakery,Wonder,White Hamburger Buns,WonderWhite Hamburger Buns8x47.25 g,$3.99ea,,$1.06/ 100g,False,15.0,
bakery,DItaliano,Brioche-Style Hamburger Buns,DItalianoBrioche-Style Hamburger Buns560 g,$3.99ea,,$0.71/ 100g,False,16.0,
bakery,No Name,Bagel Plain 6 Pack,No NameBagel Plain 6 Pack510 g,$2.99ea,,$0.59/ 100g,False,17.0,
bakery,Wonder,White Bread with Fibre,WonderWhite Bread with Fibre675 g,$3.99ea,,$0.59/ 100g,False,18.0,
bakery,Wonder,100% Whole Wheat Bread,Wonder100% Whole Wheat Bread675 g,$3.99ea,,$0.59/ 100g,False,19.0,
bakery,No Name,Original Bread,No NameOriginal Bread675 g,$2.79ea,,$0.41/ 100g,False,20.0,
bakery,Country Harvest,Everything Bagel,Country HarvestEverything Bagel450 g,$4.49ea,,$1.00/ 100g,False,21.0,
bakery,Wonder,White Hotdog Buns,WonderWhite Hotdog Buns8x44.5 g,$3.99ea,,$1.12/ 100g,False,22.0,
bakery,No Name,Original English Muffins,No NameOriginal English Muffins342 g,$2.99ea,,$0.87/ 100g,False,23.0,
bakery,No Name,Bagel Everthing,No NameBagel Everthing480 g,$2.99ea,,$0.62/ 100g,False,24.0,
bakery,DItaliano,Thick Slices Bread,DItalianoThick Slices Bread675 g,$3.99ea,,$0.59/ 100g,False,25.0,
bakery,Suraj,Naan Original 5 Flatbreads,SurajNaan Original 5 Flatbreads500 g,$3.99ea,,$0.80/ 100g,False,26.0,
bakery,President's Choice,Chocolate Chip Mini Muffins,President's ChoiceChocolate Chip Mini Muffins336 g,$5.69ea,,$1.69/ 100g,False,27.0,
bakery,Suraj,Naan Garlic 5 Flatbreads,SurajNaan Garlic 5 Flatbreads500 g,$3.99ea,,$0.80/ 100g,False,28.0,
bakery,Farmer's Market,Carrot Muffins,Farmer's MarketCarrot Muffins600 g,$6.99ea,,$1.17/ 100g,False,29.0,
bakery,Country Harvest,Cinnamon Raisin Bread,Country HarvestCinnamon Raisin Bread600 g,$4.49ea,,$0.75/ 100g,False,30.0,
bakery,Wonder,White Bread White Texas,WonderWhite Bread White Texas675 g,$3.99ea,,$0.59/ 100g,False,31.0,
bakery,Country Harvest,Quinoa Flax Bread,Country HarvestQuinoa Flax Bread600 g,$4.49ea,,$0.75/ 100g,False,32.0,
bakery,Casa Mendosa,"10 Medium Tortillas, Original","Casa Mendosa10 Medium Tortillas, Original340 g",$4.29ea,,$1.26/ 100g,False,33.0,
bakery,Country Harvest,Protein Bread,Country HarvestProtein Bread600 g,$4.49ea,,$0.75/ 100g,False,34.0,
bakery,Farmer's Market,Butter Croissants Mini,Farmer's MarketButter Croissants Mini336 g,$5.99ea,,$1.78/ 100g,False,35.0,
bakery,Baxters,Swiss Roll Chocolate,BaxtersSwiss Roll Chocolate6x67.0 g,$5.49ea,,$1.37/ 100g,False,36.0,
bakery,President's Choice,Mini Naan Garlic 4 Flatbreads,President's ChoiceMini Naan Garlic 4 Flatbreads180 g,$3.49ea,,$1.94/ 100g,False,37.0,
bakery,,PC Dinner Rolls 60% Whole Wheat,PC Dinner Rolls 60% Whole Wheat12x1.0 ea,$4.29ea,,$0.36/ 1ea,False,38.0,
bakery,,Bulk Ts Donut,Bulk Ts Donut100 g,$1.89ea,,$1.89/ 100g,False,39.0,
bakery,Farmer's Market,Cinnamon Coffee Cake,Farmer's MarketCinnamon Coffee Cake500 g,$6.00ea,,$1.20/ 100g,False,40.0,
bakery,PC Organics,Organic 100% Whole Grain Bread,PC OrganicsOrganic 100% Whole Grain Bread709 g,$5.29ea,,$0.75/ 100g,False,41.0,
bakery,,Hot Cross Buns,Hot Cross Buns480 g,$4.29ea,,$0.89/ 100g,False,42.0,
bakery,,Panini Roll 2 Pack,Panini Roll 2 Pack107 g,$1.59ea,,$1.49/ 100g,False,43.0,
bakery,,Swirl Bun 2 Pack,Swirl Bun 2 Pack153 g,$3.19ea,,$2.08/ 100g,False,44.0,
bakery,Casa Mendosa,"10 Medium Tortillas, Whole Wheat","Casa Mendosa10 Medium Tortillas, Whole Wheat340 g",$4.29ea,,$1.26/ 100g,False,45.0,
bakery,,"White Subs, 2 Pack","White Subs, 2 Pack200 g",$1.59ea,,$0.80/ 100g,False,46.0,
bakery,Farmer's Market,Chocolate Cake,Farmer's MarketChocolate Cake490 g,$6.99ea,,$1.43/ 100g,False,47.0,
bakery,Dimpflmeier,100% Rye Bread With Flaxseeds,Dimpflmeier100% Rye Bread With Flaxseeds454 g,$4.99ea,,$1.10/ 100g,False,48.0,
bakery,,"Bagel, Plain, 6-pack","Bagel, Plain, 6-pack6x108.0 g",$4.79ea,,$0.74/ 100g,False,49.0,
bakery,Poppers,Popped Grains Corn Minis,PoppersPopped Grains Corn Minis45 g,$3.99ea,,$8.87/ 100g,False,50.0,
bakery,Cadbury,Caramilk Dome Cake,CadburyCaramilk Dome Cake1.2 kg,$18.99ea,,$2.71/ 100g,False,51.0,
bakery,Farmer's Market,Cinnamon Swirl Iced Loaf Cake,Farmer's MarketCinnamon Swirl Iced Loaf Cake400 g,$6.29ea,,$1.57/ 100g,False,52.0,
bakery,,All Butter Almondine Rolls,All Butter Almondine Rolls255 g,$4.99ea,,$1.45/ 100g,False,53.0,
bakery,,Submarine Buns 4 Pack,Submarine Buns 4 Pack464 g,$3.29ea,,$2.53/ 100g,False,54.0,
bakery,,Bagels,Bagels113 g,$0.79ea,,$0.70/ 100g,False,55.0,
bakery,ACE,Ciabatta Cluster,ACECiabatta Cluster400 g,$3.99ea,,$1.00/ 100g,False,56.0,
bakery,Paneriso,Banana Loaf Cake,PanerisoBanana Loaf Cake454 g,$8.49ea,,$1.87/ 100g,False,57.0,
bakery,Rubschlager,Sesame Multigrain Loaf,RubschlagerSesame Multigrain Loaf454 g,$3.99ea,,$0.88/ 100g,False,58.0,
bakery,Farmer's Market,"Tea Biscuits, Cheddar Cheese","Farmer's MarketTea Biscuits, Cheddar Cheese315 g",$6.29ea,,$2.00/ 100g,False,59.0,
bakery,,"Plain Croissant, 6 Pack","Plain Croissant, 6 Pack300 g",$4.79ea,,$1.60/ 100g,False,60.0,
bakery,Farmer's Market,Lemon Curd Cake,Farmer's MarketLemon Curd Cake475 g,$6.99ea,,$1.47/ 100g,False,61.0,
bakery,President's Choice,Multigrain Flatbread,President's ChoiceMultigrain Flatbread300 g,$3.09ea,,$1.03/ 100g,False,62.0,
bakery,Poppers,Wheat Popped Grains,PoppersWheat Popped Grains120 g,$5.49ea,,$4.58/ 100g,False,63.0,
bakery,President's Choice,Sourdough Loaf,President's ChoiceSourdough Loaf500 g,$3.99ea,,$0.80/ 100g,False,64.0,
bakery,Farmer's Market,Cake Chocolate,Farmer's MarketCake Chocolate1.5 kg,$24.99ea,,$1.67/ 100g,False,65.0,
bakery,,Cheese Swirl Buns 4 Pack,Cheese Swirl Buns 4 Pack400 g,$5.79ea,,$1.45/ 100g,False,66.0,
bakery,President's Choice,Thick Pizza Crust,President's ChoiceThick Pizza Crust300 g,$3.79ea,,$1.26/ 100g,False,67.0,
bakery,Farmer's Market,Pecan Butter Tarts,Farmer's MarketPecan Butter Tarts6x85.0 g,$7.99ea,$6.99ea,$1.37/ 100g,True,68.0,saleEnds 03/15
bakery,,"7 Grain Bread, Sliced","7 Grain Bread, Sliced570 g",$3.99ea,,$0.89/ 100g,False,69.0,
bakery,Sha Sha,Ginger Snap Cookies,Sha ShaGinger Snap Cookies300x300.0 g,$7.49ea,,$2.50/ 100g,False,70.0,
bakery,,Panini Rolls 6 Pack,Panini Rolls 6 Pack320 g,$4.49ea,,$1.40/ 100g,False,71.0,
bakery,ACE,Olive Oil & Sea Salt Mini Crisps ,ACEOlive Oil & Sea Salt Mini Crisps 180 g,$6.49ea,,$3.61/ 100g,False,72.0,
bakery,Frontier Bakery,Lebanese Style Whole Wheat Pita,Frontier BakeryLebanese Style Whole Wheat Pita330 g,$1.69ea,,$0.51/ 100g,False,73.0,
bakery,,"Blueberry Pie, 8 Inch","Blueberry Pie, 8 Inch680 g",$6.79ea,,$1.00/ 100g,False,74.0,
bakery,,Buns Kaiser 2 Pack,Buns Kaiser 2 Pack117 g,$1.59ea,,$1.36/ 100g,False,75.0,
bakery,PC Blue Menu,100% Whole Grain Tortillas,PC Blue Menu100% Whole Grain Tortillas6x65.0 g,$4.29ea,,$1.10/ 100g,False,76.0,
bakery,,"Strawberry Rhubarb Pie, 8 Inch","Strawberry Rhubarb Pie, 8 Inch680 g",$6.79ea,,$1.00/ 100g,False,77.0,
bakery,Baxters,Quinn's Vanilla Raspberry Cream,BaxtersQuinn's Vanilla Raspberry Cream6x67.0 g,$5.49ea,,$1.37/ 100g,False,78.0,
bakery,Farmer's Market,Carrot Cake,Farmer's MarketCarrot Cake875 g,$15.99ea,,$1.83/ 100g,False,79.0,
bakery,,Mini Donuts,Mini Donuts204 g,$5.99ea,$4.99ea,$2.45/ 100g,True,80.0,saleEnds 03/29
bakery,,Old Fashioned Cherry Pie,Old Fashioned Cherry Pie114 g,$1.79ea,,$1.57/ 100g,False,81.0,
bakery,Elite Sweets,Bacio ,Elite SweetsBacio 900 g,$18.99ea,,$2.11/ 100g,False,82.0,
