category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
drinks,Maxwell House,Original Roast Ground Coffee,Maxwell HouseOriginal Roast Ground Coffee925 g,$12.99ea,,$1.40/ 100g,False,1.0,
drinks,Maxwell House,Original Roast Coffee 100% Compostable K Cup Coffee Pods,Maxwell HouseOriginal Roast Coffee 100% Compostable K Cup Coffee Pods285 g,$17.99ea,,$6.31/ 100g,False,2.0,
drinks,MiO,Fruit Punch Flavoured Liquid Water Enhancer,MiOFruit Punch Flavoured Liquid Water Enhancer48 ml,$4.29ea,,$8.94/ 100ml,False,3.0,
drinks,President's Choice,Orange Juice No Pulp,President's ChoiceOrange Juice No Pulp2.63 l,$5.99ea,,$0.23/ 100ml,False,4.0,
drinks,President's Choice,Natural Spring Water 24 Pack,President's ChoiceNatural Spring Water 24 Pack24x500.0 ml,$3.99pack of 24,,$0.03/ 100ml,False,5.0,
drinks,Coca-Cola,Soda ,Coca-ColaSoda 6x710.0 ml,$6.99pack of 6,,$0.16/ 100ml,False,6.0,
drinks,Pepsi,Soda      ,PepsiSoda      6x710.0 ml,$6.99pack of 6,,$0.16/ 100ml,False,7.0,
drinks,President's Choice,Gourmet West Coast Dark Roast Coffee,President's ChoiceGourmet West Coast Dark Roast Coffee875 g,$14.99ea,$12.99ea,$1.48/ 100g,True,8.0,saleEnds 03/15
drinks,Coca-Cola,Zero Sugar     ,Coca-ColaZero Sugar     6x710.0 ml,$6.99pack of 6,,$0.16/ 100ml,False,9.0,
drinks,Canada Dry,"Ginger Ale, 6 Pack","Canada DryGinger Ale, 6 Pack6x710.0 ml",$6.99pack of 6,,$0.16/ 100ml,False,10.0,
drinks,Coca-Cola,Cola  ,Coca-ColaCola  24x355.0 ml,$14.99pack of 24,,$0.18/ 100ml,False,11.0,
drinks,PC Blue Menu,Lime Sparkling Water,PC Blue MenuLime Sparkling Water12x355.0 ml,$5.99ea,,$0.14/ 100ml,False,12.0,
drinks,Pepsi,Diet Soda,PepsiDiet Soda6x710.0 ml,$6.99c06,,$0.16/ 100ml,False,13.0,
drinks,Oasis,Orange Pure Breakfast Juice,OasisOrange Pure Breakfast Juice960 ml,$1.79ea,$1.25ea,$0.13/ 100ml,True,14.0,saleEnds 03/15
drinks,Simply,Pulp Free Orange Juice,SimplyPulp Free Orange Juice2.63 l,$9.49ea,,$0.36/ 100ml,False,15.0,
drinks,Coca-Cola,Diet Coke  ,Coca-ColaDiet Coke  6x710.0 ml,$6.99pack of 6,,$0.16/ 100ml,False,16.0,
drinks,Tropicana,Orange Juice No Pulp ,TropicanaOrange Juice No Pulp 1.54 l,$6.99ea,,$0.45/ 100ml,False,17.0,
drinks,Bubly Sparkling Water,"Lime Sparkling Water Beverage, 12 Pack ","Bubly Sparkling WaterLime Sparkling Water Beverage, 12 Pack 12x355.0 ml",$7.49c12,,$0.18/ 100ml,False,18.0,
drinks,Pepsi,Pespi Cans  ,PepsiPespi Cans  24x355.0 ml,$14.99pack of 24,,$0.18/ 100ml,False,19.0,
drinks,President's Choice,Natural Spring Water,President's ChoiceNatural Spring Water4 l,$1.99ea,,$0.05/ 100ml,False,20.0,
drinks,San Pellegrino,Original Sparkling Natural Mineral Water,San PellegrinoOriginal Sparkling Natural Mineral Water8x330.0 ml,$11.49pack of 8,,$0.44/ 100ml,False,21.0,
drinks,President's Choice,Medium Roast Colombian Coffee,President's ChoiceMedium Roast Colombian Coffee340 g,$8.49ea,,$2.50/ 100g,False,22.0,
drinks,Whistler,Glacial Spring Water,WhistlerGlacial Spring Water4 l,$4.29ea,,$0.11/ 100ml,False,23.0,
drinks,Canada Dry,Premium Ginger Beer,Canada DryPremium Ginger Beer4x237.0 ml,$9.49pack of 4,,$1.00/ 100ml,False,24.0,
drinks,Corona,Sunbrew Alcohol-Free Beer with Natural Flavour and Vitamin D,CoronaSunbrew Alcohol-Free Beer with Natural Flavour and Vitamin D12x355.0 ml,$34.99c12,,$0.82/ 100ml,False,25.0,
drinks,Starbucks,Caramel Flavoured Ground Coffee Bag,StarbucksCaramel Flavoured Ground Coffee Bag311 g,$12.99ea,,$4.18/ 100g,False,26.0,
drinks,Starbucks,Ground Coffee Starbucks Blonde Espresso Roast,StarbucksGround Coffee Starbucks Blonde Espresso Roast68 g,$11.49ea,,$16.90/ 100g,False,27.0,
drinks,Tim Hortons,"K-Cup Coffee, Hazelnut","Tim HortonsK-Cup Coffee, Hazelnut120 g",$12.99ea,$9.99ea,$8.33/ 100g,True,28.0,saleEnds 03/15
drinks,No Name,Cherry Drink Mix Club Size,No NameCherry Drink Mix Club Size2 kg,$7.49ea,,$0.33/ 100g,False,29.0,
drinks,Bai,Clementine Costa Rica,BaiClementine Costa Rica530 ml,$2.99ea,,$0.56/ 100ml,False,30.0,
drinks,Grace,"Island Soda, Cream Soda","GraceIsland Soda, Cream Soda355 ml",$1.29ea,$1.09ea,$0.31/ 100ml,True,31.0,saleEnds 03/22
drinks,Vin(zero),Alcohol Free Cabernet Sauvignon   ,Vin(zero)Alcohol Free Cabernet Sauvignon   750 ml,$11.50ea,$9.99ea,$1.33/ 100ml,True,32.0,saleEnds 03/15
drinks,Lavazza,Qualità Oro Ground Coffee Medium Roast,LavazzaQualità Oro Ground Coffee Medium Roast55 g,$8.99ea,,$16.35/ 100g,False,33.0,
drinks,President's Choice,Espresso Perfetto,President's ChoiceEspresso Perfetto250 g,$7.99ea,,$3.20/ 100g,False,34.0,
drinks,President's Choice,Diet Ginger Ale,President's ChoiceDiet Ginger Ale2 l,$1.99ea,,$0.10/ 100ml,False,35.0,
drinks,President's Choice,Espresso 100% Arabica Coffee,President's ChoiceEspresso 100% Arabica Coffee907 g,$14.99ea,,$1.65/ 100g,False,36.0,
