category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale
household_items,,Nellie's WOW Stick,Nellie's WOW Stick,$14.00ea,,,False
household_items,,Kalorik Home Cyclone Vacuum Cleaner with Pet Brush,Kalorik Home Cyclone Vacuum Cleaner with Pet Brush,$129.99ea,,,False
household_items,,Airstream AS200 Corded Lightweight Canister Vacuum Cleaner with HEPA Filtration & Accessories,Airstream AS200 Corded Lightweight Canister Vacuum Cleaner with HEPA Filtration & Accessories,$289.95ea,,,False
household_items,,Little Tree Car Air Freshener Peachy Peach,Little Tree Car Air Freshener Peachy Peach,$23.20ea,,,False
household_items,,Gravitti Stick And Handheld Multi-Cyclone Vacuum,Gravitti Stick And Handheld Multi-Cyclone Vacuum,$220.00ea,,,False
household_items,,VPC Central Vacuum Accessory Kit | Premium Hose | SEBO ET-1 German Made Electric Power Nozzle | Telescopic Wand with Deluxe Tool Set | Handle with 3 Way Button,VPC Central Vacuum Accessory Kit | Premium Hose | SEBO ET-1 German Made Electric Power Nozzle | Telescopic Wand with Deluxe Tool Set | Handle with 3 Way Button,$599.98ea,,,False
household_items,,Shark Plus Replacement Vacuum Bags,Shark Plus Replacement Vacuum Bags,$48.99ea,,,False
household_items,,Microfilter Bag for Commercial Canister Vacuum Perfect C105 - Pack of 9 Bags,Microfilter Bag for Commercial Canister Vacuum Perfect C105 - Pack of 9 Bags,$39.99ea,,,False
household_items,,"CanaVac LS790 Signature Series Central Vacuum Cleaner | Tangential Bypass Motor Up to 10,000 sq ft | with the LS Deluxe Electric Package","CanaVac LS790 Signature Series Central Vacuum Cleaner | Tangential Bypass Motor Up to 10,000 sq ft | with the LS Deluxe Electric Package",$979.00ea,,,False
household_items,,"Riccar/ Simplicity OEM HEPA Bag Type ""H""","Riccar/ Simplicity OEM HEPA Bag Type ""H""",$34.99ea,,,False
household_items,,Karcher WVP10 Window Vacuum #16335510,Karcher WVP10 Window Vacuum #16335510,$292.00ea,,,False
household_items,,"Simplicity/ Riccar OEM HEPA Bag Type ""A""","Simplicity/ Riccar OEM HEPA Bag Type ""A""",$32.99ea,,,False
household_items,,Original Liquid Bleach - 2.4L,Original Liquid Bleach - 2.4L,$39.39ea,,,False
household_items,,Shop-Vac 15-22 US Gallon 3 Pack Filter Bags Type G,Shop-Vac 15-22 US Gallon 3 Pack Filter Bags Type G,$29.99ea,,,False
household_items,,Persil Color Gel Laundry Detergent - 20 Wash Loads,Persil Color Gel Laundry Detergent - 20 Wash Loads,$24.99ea,,,False
household_items,,Wooden Mallet 3 Pocket Glove and Tissue Box Holder in Mahogany,Wooden Mallet 3 Pocket Glove and Tissue Box Holder in Mahogany,$134.13ea,,,False
household_items,,Esteam Degreaser / Cleaner 1 Gallon-Case of 4,Esteam Degreaser / Cleaner 1 Gallon-Case of 4,$129.99ea,,,False
household_items,,Little Tree Air Freshener Summer Linen,Little Tree Air Freshener Summer Linen,$23.20ea,,,False
household_items,,VPC Central Vacuum Accessory Kit | Premium Hose | SEBO ET-1 German Made Electric Power Nozzle | Telescopic Wand with Deluxe Tool Set | Handle with 3 Way Button with Bonus Tools,VPC Central Vacuum Accessory Kit | Premium Hose | SEBO ET-1 German Made Electric Power Nozzle | Telescopic Wand with Deluxe Tool Set | Handle with 3 Way Button with Bonus Tools,$639.98ea,,,False
household_items,,Miele UltraWhite Detergent (2.5 kg ),Miele UltraWhite Detergent (2.5 kg ),$34.99ea,,,False
household_items,,"Bosch Canister Paper Bag Type ""G""","Bosch Canister Paper Bag Type ""G""",$20.99ea,,,False
household_items,,"Royal OEM Paper Bag Type ""Y""","Royal OEM Paper Bag Type ""Y""",$32.99ea,,,False
household_items,,Leather Magic Leather & Vinyl Stain Remover 16 Ounce,Leather Magic Leather & Vinyl Stain Remover 16 Ounce,$22.00ea,,,False
