category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
pantry,Lantic,Granulated Sugar,LanticGranulated Sugar2 kg,$3.29ea,$2.44ea,$0.12/ 100g,True,1.0,saleEnds 03/15
pantry,No Name,Diced Tomatoes,No NameDiced Tomatoes796 ml,$1.99ea,,$0.25/ 100ml,False,2.0,
pantry,Lantic,Natural Old Fashioned Brown Sugar,LanticNatural Old Fashioned Brown Sugar1 kg,$3.49ea,$2.44ea,$0.24/ 100g,True,3.0,saleEnds 03/15
pantry,Green Giant,Peaches & Cream Corn,Green GiantPeaches & Cream Corn341 ml,$2.29ea,,$0.67/ 100ml,False,4.0,
pantry,No Name,100% Pure Canola Oil,No Name100% Pure Canola Oil3 l,$12.49ea,,$0.42/ 100ml,False,5.0,
pantry,No Name,Crushed Tomatoes,No NameCrushed Tomatoes796 ml,$1.99ea,,$0.25/ 100ml,False,6.0,
pantry,President's Choice,100% Pure Maple Syrup (Amber),President's Choice100% Pure Maple Syrup (Amber)500 ml,$14.99ea,,$3.00/ 100ml,False,7.0,
pantry,No Name,Chunk Light Tuna,No NameChunk Light Tuna170 g,$1.99ea,,$1.17/ 100g,False,8.0,
pantry,Knorr,Bouillon Powder Roasted Garlic ,KnorrBouillon Powder Roasted Garlic 160 g,$11.99ea,,$7.49/ 100g,False,9.0,
pantry,Unico,Sunflower Oil,UnicoSunflower Oil1 l,$8.99ea,,$0.90/ 100ml,False,10.0,
pantry,Betty Crocker,Butter & Herb Mashed Potatoes ,Betty CrockerButter & Herb Mashed Potatoes 215 g,$2.99ea,,$1.39/ 100g,False,11.0,
pantry,General Mills,Oats and Dark Chocolate Protein Bar,General MillsOats and Dark Chocolate Protein Bar311.84 g,$5.49ea,,$1.76/ 100g,False,12.0,
pantry,Dainty,Rice Basmati Format Maxi,DaintyRice Basmati Format Maxi1.6 kg,$15.99ea,,$1.00/ 100g,False,13.0,
pantry,Betty Crocker,Creamy Scalloped Potatoes,Betty CrockerCreamy Scalloped Potatoes141 g,$2.99ea,,$2.12/ 100g,False,14.0,
pantry,President's Choice,The Decadent White Chocolate Chips,President's ChoiceThe Decadent White Chocolate Chips226 g,$4.49ea,,$1.99/ 100g,False,15.0,
pantry,Swiss Chalet,Chicken Noodle  Soup,Swiss ChaletChicken Noodle  Soup540 ml,$4.29ea,$3.49ea,$0.65/ 100ml,True,16.0,saleEnds 03/15
pantry,Campbell's,Herbed Chicken & Spices Rich & Thick Stock,Campbell'sHerbed Chicken & Spices Rich & Thick Stock500 ml,$3.49ea,$2.49ea,$0.50/ 100ml,True,17.0,saleEnds 03/29
pantry,Robin Hood,Organic Coconut Flour,Robin HoodOrganic Coconut Flour500 g,$8.49ea,,$1.70/ 100g,False,18.0,
pantry,Cake Mate,"Scribblers, Fashion Colours","Cake MateScribblers, Fashion Colours4x19.0 g",$6.49ea,,$8.54/ 100g,False,19.0,
pantry,President's Choice,Roasted Garlic Olive Oil,President's ChoiceRoasted Garlic Olive Oil250 ml,$7.99ea,,$3.20/ 100ml,False,20.0,
pantry,Jell-O,"Lime Jelly Powder Light, Gelatin Mix","Jell-OLime Jelly Powder Light, Gelatin Mix10.3 g",$1.49ea,,$14.47/ 100g,False,21.0,
pantry,Aylmer,Original Diced Tomatoes,AylmerOriginal Diced Tomatoes796 ml,$2.49ea,,$0.31/ 100ml,False,22.0,
pantry,Unico,"Diced Tomatoes, Herbs & Spices","UnicoDiced Tomatoes, Herbs & Spices796 ml",$2.29ea,,$0.29/ 100ml,False,23.0,
pantry,Rufus Teague,Touch O' Heat Bbq Sauce,Rufus TeagueTouch O' Heat Bbq Sauce330 ml,$8.99ea,,$2.72/ 100ml,False,24.0,
pantry,Campbell's,Franco American Chicken Gravy,Campbell'sFranco American Chicken Gravy284 ml,$2.29ea,,$0.81/ 100ml,False,25.0,
pantry,Wilton,Unicorn Horn Sprinkles,WiltonUnicorn Horn Sprinkles28 g,$4.49ea,,$16.04/ 100g,False,26.0,
pantry,Post,With Almonds Cereal,PostWith Almonds Cereal340 g,$5.49ea,$2.99ea,$0.88/ 100g,True,27.0,saleEnds 03/15
pantry,President's Choice,White Melting Wafers,President's ChoiceWhite Melting Wafers340 g,$4.99ea,,$1.47/ 100g,False,28.0,
pantry,KODIAK CAKES,"Power Cakes Flapjack & Waffle Mix, Chocolate Chip","KODIAK CAKESPower Cakes Flapjack & Waffle Mix, Chocolate Chip621 g",$6.99ea,,$1.13/ 100g,False,29.0,
pantry,Club House,Chicken Parmesan Seasoning Mix,Club HouseChicken Parmesan Seasoning Mix32 g,$2.49ea,,$7.78/ 100g,False,30.0,
pantry,Club House,"Marinade Mix, Meat","Club HouseMarinade Mix, Meat32 g",$2.49ea,,$7.78/ 100g,False,31.0,
pantry,No Name,Lemon Jelly Powder,No NameLemon Jelly Powder85 g,$1.29ea,,$1.52/ 100g,False,32.0,
pantry,President's Choice,Original Table Syrup,President's ChoiceOriginal Table Syrup750 ml,$5.49ea,,$0.73/ 100ml,False,33.0,
pantry,No Name,Southern Fried-Style Coating Mix ,No NameSouthern Fried-Style Coating Mix 142 g,$2.99ea,,$2.11/ 100g,False,34.0,
pantry,Campbell's,Franco American Turkey Gravy,Campbell'sFranco American Turkey Gravy284 ml,$2.29ea,,$0.81/ 100ml,False,35.0,
pantry,President's Choice,Basmati Rice,President's ChoiceBasmati Rice750 g,$4.79ea,,$0.64/ 100g,False,36.0,
pantry,Quaker,Harvest Crunch Apple Crumble Granola Cereal,QuakerHarvest Crunch Apple Crumble Granola Cereal470 g,$6.49ea,,$1.38/ 100g,False,37.0,
pantry,A Spice Affair,Smoked BBQ Seasoning,A Spice AffairSmoked BBQ Seasoning100 g,$11.99ea,,$11.99/ 100g,False,38.0,
pantry,Unico,"Olives, Jumbo","UnicoOlives, Jumbo750 ml",$6.99ea,,$0.93/ 100ml,False,39.0,
pantry,Club House,Fries Seasoning Mix Loaded,Club HouseFries Seasoning Mix Loaded27 g,$2.49ea,,$9.22/ 100g,False,40.0,
pantry,Fry's Cocoa,Premium Cocoa,Fry's CocoaPremium Cocoa227 g,$5.49ea,,$2.42/ 100g,False,41.0,
pantry,Betty Crocker,Bisquick Gluten Free Variety Baking Mix,Betty CrockerBisquick Gluten Free Variety Baking Mix454 g,$7.49ea,,$1.65/ 100g,False,42.0,
pantry,Quaker,One Minute Oats,QuakerOne Minute Oats900 g,$4.99ea,$4.00ea,$0.44/ 100g,True,43.0,saleEnds 03/15
pantry,Kuehne,Barrel Dill Pickles Sweet & Sour,KuehneBarrel Dill Pickles Sweet & Sour1 l,$8.99ea,$7.99ea,$0.80/ 100ml,True,44.0,saleEnds 03/15
pantry,President's Choice,Black Fondant,President's ChoiceBlack Fondant680 g,$8.99ea,,$1.32/ 100g,False,45.0,
pantry,Club House,"Slow Cooker Mix, Beef Stew","Club HouseSlow Cooker Mix, Beef Stew42 g",$2.49ea,,$5.93/ 100g,False,46.0,
pantry,Bens,Garden Vegetable Style Rice,BensGarden Vegetable Style Rice132 g,$2.99ea,,$2.27/ 100g,False,47.0,
pantry,Spam,Classic Fully Cooked Luncheon Meat,SpamClassic Fully Cooked Luncheon Meat340 g,$5.49ea,,$1.61/ 100g,False,48.0,
pantry,President's Choice,White Fondant,President's ChoiceWhite Fondant680 g,$8.99ea,,$1.32/ 100g,False,49.0,
pantry,Quaker,Quick Cook Steel Cut Oats,QuakerQuick Cook Steel Cut Oats709 g,$5.99ea,,$0.84/ 100g,False,50.0,
pantry,No Name,Chocolate Baking Crumbs,No NameChocolate Baking Crumbs400 g,$3.29ea,,$0.82/ 100g,False,51.0,
pantry,No Name,Semi-Sweet Chocolate Chips,No NameSemi-Sweet Chocolate Chips300 g,$3.99ea,,$1.33/ 100g,False,52.0,
pantry,M'Lord,Whole Hearts Of Palm,M'LordWhole Hearts Of Palm398 ml,$5.49ea,,$1.38/ 100ml,False,53.0,
pantry,Rufus Teague,Touch O' Heat Bbq Sauce,Rufus TeagueTouch O' Heat Bbq Sauce330 ml,$8.99ea,,$2.72/ 100ml,False,54.0,
pantry,Campbell's,Franco American Chicken Gravy,Campbell'sFranco American Chicken Gravy284 ml,$2.29ea,,$0.81/ 100ml,False,55.0,
pantry,Wilton,Unicorn Horn Sprinkles,WiltonUnicorn Horn Sprinkles28 g,$4.49ea,,$16.04/ 100g,False,56.0,
pantry,Frontera,Original Guacamole Mix    ,FronteraOriginal Guacamole Mix    127 g,$4.89ea,,$3.98/ 100ml,False,57.0,
pantry,PC Blue Menu,Banana Nut Omega 3 Granola Boost Cereal,PC Blue MenuBanana Nut Omega 3 Granola Boost Cereal325 g,$3.99ea,,$1.23/ 100g,False,58.0,
pantry,Flourish,Protein Pancake & Waffle Mix Chocolate,FlourishProtein Pancake & Waffle Mix Chocolate430 g,$9.49ea,,$2.21/ 100g,False,59.0,
pantry,Jell-O,Cooked Vanilla Pudding & Pie Filling,Jell-OCooked Vanilla Pudding & Pie Filling135 g,$4.99ea,,$3.70/ 100g,False,60.0,
pantry,No Name,Large Marshmallows,No NameLarge Marshmallows400 g,$3.99ea,,$1.00/ 100g,False,61.0,
pantry,Ocean's Halo,Solid White Tuna,Ocean's HaloSolid White Tuna170 g,$4.29ea,,$2.52/ 100g,False,62.0,
pantry,President's Choice,Plant Based Pea Crumbs,President's ChoicePlant Based Pea Crumbs250 g,$2.99ea,,$1.20/ 100g,False,63.0,
pantry,A Spice Affair,Meat Rub,A Spice AffairMeat Rub100 g,$11.99ea,,$11.99/ 100g,False,64.0,
pantry,Dr Oetker,"Shirriff Filling and Dessert Mix, Lemon Pie","Dr OetkerShirriff Filling and Dessert Mix, Lemon Pie425 g",$4.99ea,,$1.17/ 100g,False,65.0,
pantry,PC Blue Menu,Green Split Peas,PC Blue MenuGreen Split Peas900 g,$3.49ea,,$0.39/ 100g,False,66.0,
pantry,Club House,"Pork Gravy Mix, Gluten-Free","Club HousePork Gravy Mix, Gluten-Free24 g",$2.49ea,,$10.37/ 100g,False,67.0,
pantry,Nupak,Long Grain White Rice,NupakLong Grain White Rice2 kg,$5.49ea,,$0.27/ 100g,False,68.0,
pantry,Kraft,Baker's 100% Pure Semi-Sweet Chocolate Baking Bar,KraftBaker's 100% Pure Semi-Sweet Chocolate Baking Bar225 g,$6.49ea,,$2.88/ 100g,False,69.0,
pantry,PC Blue Menu,Black Beans,PC Blue MenuBlack Beans540 ml,$1.89ea,,$0.35/ 100ml,False,70.0,
pantry,Quaker,High Fibre Wild Berry Medley Instant Oatmeal,QuakerHigh Fibre Wild Berry Medley Instant Oatmeal300 g,$6.49ea,,$2.16/ 100g,False,71.0,
pantry,Knorr,Bouillon Cubes for Rich Deep Chicken Flavour Chicken,KnorrBouillon Cubes for Rich Deep Chicken Flavour Chicken69 g,$3.99ea,,$5.78/ 100g,False,72.0,
pantry,H and H,Royal Figs,H and HRoyal Figs454 g,$8.99ea,,$1.98/ 100g,False,73.0,
pantry,Robin Hood,00 Style Pizza Flour,Robin Hood00 Style Pizza Flour2000 g,$7.99ea,,$0.40/ 100g,False,74.0,
pantry,Kuehne,Barrel Dill Pickles Sweet & Sour,KuehneBarrel Dill Pickles Sweet & Sour1 l,$8.99ea,$7.99ea,$0.80/ 100ml,True,75.0,saleEnds 03/15
pantry,Club House,"Slow Cooker Mix, Beef Stew","Club HouseSlow Cooker Mix, Beef Stew42 g",$2.49ea,,$5.93/ 100g,False,76.0,
pantry,Frontera,"Enchilada Green Chili, Medium","FronteraEnchilada Green Chili, Medium226 g",$4.89ea,,$2.16/ 100g,False,77.0,
pantry,Post,Tim Hortons Naturally Flavoured Cereal Apple Fritter,PostTim Hortons Naturally Flavoured Cereal Apple Fritter354 g,$2.99ea,,$0.84/ 100g,False,78.0,
pantry,Swiss Chalet,Dipping Sauce Mix,Swiss ChaletDipping Sauce Mix36 g,$2.99ea,,$8.31/ 100g,False,79.0,
pantry,Knorr,Concentrated Bouillon Taste Of Thailand No Added Msg,KnorrConcentrated Bouillon Taste Of Thailand No Added Msg250 ml,$7.99ea,,$3.20/ 100ml,False,80.0,
pantry,Cake Mate,"Décors, Imitation Chocolate","Cake MateDécors, Imitation Chocolate113 g",$3.59ea,,$3.18/ 100g,False,81.0,
