category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
produce,,Green Seedless Grapes,Green Seedless Grapes,$11.22(est.)ea,,$11.00/ 1kg,False,
produce,,Avocados Bag,Avocados Bag1 bag,$4.99ea,,$1.00/ 1ea,False,
produce,,Blueberries 1 pint,Blueberries 1 pint340 g,$5.99ea,,$1.76/ 100g,False,
produce,Farmer's Market,Grape Tomatoes,Farmer's MarketGrape Tomatoes283 g,$4.99ea,,$1.76/ 100g,False,
produce,,Red Seedless Grapes,Red Seedless Grapes,$10.89(est.)ea,,$11.00/ 1kg,False,
produce,Farmer's Market,Russet Potatoes,Farmer's MarketRusset Potatoes10 lb bag,$5.99ea,,$0.13/ 100g,False,
produce,,Tomato On The Vine Red (1 Bunch),Tomato On The Vine Red (1 Bunch),$5.46(est.)ea,$4.68(est.)ea,$6.59/ 1kg,True,saleEnds 03/01
produce,,Sweet Potato,Sweet Potato,$2.49(est.)ea,,$3.95/ 1kg,False,
produce,Farmer's Market,English Cucumber 3Ct    ,Farmer's MarketEnglish Cucumber 3Ct    3 pack,$6.99ea,,$2.33/ 1ea,False,
produce,PC Organics,"Organic Bananas, Bunch","PC OrganicsOrganic Bananas, Bunch",$2.88(est.)ea,,$2.62/ 1kg,False,
produce,,Strawberries 2LB,Strawberries 2LB907 g,$9.99ea,,$1.10/ 100g,False,
produce,Rooster,"Garlic Bulbs, 3-count","RoosterGarlic Bulbs, 3-count90 g",$1.49ea,,$0.50/ 1ea,False,
produce,,Raspberries 1/2 pint,Raspberries 1/2 pint170 g,$5.99ea,,$3.52/ 100g,False,
produce,Farmer's Market,Mini Carrots,Farmer's MarketMini Carrots340 g,$2.69ea,,$0.79/ 100g,False,
produce,,Colossal Garlic,Colossal Garlic,$1.98(est.)ea,,$19.82/ 1kg,False,
produce,No Name,Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,No NameNaturally Imperfect Mixed Sweet Peppers 2.5lb Bag1.113 kg,$8.99ea,,$0.81/ 100g,False,
produce,,Carrots & Celery ,Carrots & Celery 240 g,$5.00ea,,$2.08/ 100g,False,
produce,President's Choice,Dressing Caesar,President's ChoiceDressing Caesar44 ml,$0.49ea,,$1.11/ 100ml,False,
produce,,"Organic, Red Kale","Organic, Red Kale1 bunch",$4.99ea,,$1.10/ 100g,False,
produce,President's Choice,Mint,President's ChoiceMint28 g,$2.99ea,,,False,
produce,,Mini Cobb Salad,Mini Cobb Salad155 g,$5.00ea,,$3.23/ 100g,False,
produce,,Large Steak & Egg Salad,Large Steak & Egg Salad698 g,$13.00ea,,$1.86/ 100g,False,
produce,,Greek Salad Family Size,Greek Salad Family Size1 kg,$17.00ea,,$1.70/ 100g,False,
produce,Well,Ink. Lemonade Charcoal    ,WellInk. Lemonade Charcoal    333 ml,$5.99ea,,$1.80/ 100ml,False,
produce,,Taiwanese Flat Cabbage,Taiwanese Flat Cabbage,$4.96(est.)ea,,$4.39/ 1kg,False,
produce,Remedy,Organic Mango Passionfruit Kombucha,RemedyOrganic Mango Passionfruit Kombucha700 ml,$4.99ea,,$0.71/ 100ml,False,
produce,,"Fresh Apple, Lemon, Ginger, Turmeric Juice","Fresh Apple, Lemon, Ginger, Turmeric Juice1 l",$13.00ea,,$1.30/ 100ml,False,
produce,PC Organics,Organic Baby King Oyster Mushrooms,PC OrganicsOrganic Baby King Oyster Mushrooms200 g,$5.99ea,,$3.00/ 100g,False,
produce,,Cubed Butternut Squash,Cubed Butternut Squash602 g,$7.00ea,,$1.16/ 100g,False,
produce,Loop,Cold-Pressed Juice Better Together Grapefruit Orange Ginger,LoopCold-Pressed Juice Better Together Grapefruit Orange Ginger947 ml,$8.99ea,,$0.90/ 100ml,False,
produce,COVE,Organic Lime Strawberry Kombucha,COVEOrganic Lime Strawberry Kombucha355 ml,$3.99ea,,$1.12/ 100ml,False,
produce,President's Choice,Mixed Little Gems,President's ChoiceMixed Little Gems0.68 kg,$3.99ea,,$0.59/ 100g,False,
produce,PC Organics,Organic Cauliflower,PC OrganicsOrganic Cauliflower1 ea,$6.99ea,,$6.99/ 1ea,False,
produce,President's Choice,Thyme ,President's ChoiceThyme 28 g,$2.99ea,,,False,
produce,,Honey Pitted Dates,Honey Pitted Dates350 g,$4.99ea,,$1.43/ 100g,False,
produce,,Kiwis,Kiwis1 ea,$1.09ea,,$1.09/ 1ea,False,
produce,COVE,Organic Raspberry Lemon Kombucha,COVEOrganic Raspberry Lemon Kombucha355 ml,$3.99ea,,$1.12/ 100ml,False,
produce,President's Choice,Bay Leaf,President's ChoiceBay Leaf28 g,$2.99ea,,,False,
produce,,Pearl Onion,Pearl Onion250 g,$2.99ea,,$1.20/ 100g,False,
produce,PC Organics,Organic Grape Tomatoes,PC OrganicsOrganic Grape Tomatoes255 g,$5.99ea,,$2.35/ 100g,False,
produce,Well,Cold Pressed Juice C Well  ,WellCold Pressed Juice C Well  333 ml,$5.99ea,,$1.80/ 100ml,False,
produce,,Organic Raspberries 1/2 pint,Organic Raspberries 1/2 pint170 g,$6.49ea,,$3.82/ 100g,False,
produce,,Lunch Size Veg and Dip 600G,Lunch Size Veg and Dip 600G1 kg,$8.00ea,,$1.33/ 100g,False,
produce,,Atemoya,Atemoya1 ea,$5.49ea,,$5.49/ 1ea,False,
produce,,Platter Veggie Small,Platter Veggie Small850 g,$14.00ea,,$1.61/ 100g,False,
produce,President's Choice,Cocktail Tomatoes,President's ChoiceCocktail Tomatoes340 g,$5.99ea,,$1.76/ 100g,False,
produce,,Mini Steak and Egg Cobb Salad,Mini Steak and Egg Cobb Salad170 g,$5.00ea,,$2.94/ 100g,False,
produce,,Chicken Caesar Salad Family Size,Chicken Caesar Salad Family Size0.95 kg,$17.00ea,,$1.79/ 100g,False,
produce,President's Choice,Thyme ,President's ChoiceThyme 28 g,$2.99ea,,,False,
produce,,Honey Pitted Dates,Honey Pitted Dates350 g,$4.99ea,,$1.43/ 100g,False,
produce,PC Organics,Granny Smith Apples 3Lb Bag,PC OrganicsGranny Smith Apples 3Lb Bag3 lb bag,$11.99ea,,$0.88/ 100g,False,
produce,President's Choice,Ruby and Golden Little Gems,President's ChoiceRuby and Golden Little Gems5 lb bag,$9.99ea,,$0.44/ 100g,False,
produce,PC Blue Menu,Unsalted California Pistachios ,PC Blue MenuUnsalted California Pistachios 454 g,$11.99ea,,$2.64/ 100g,False,
produce,Farmer's Market,Ambrosia Apples,Farmer's MarketAmbrosia Apples1.814 kg,$8.99ea,,$0.50/ 100g,False,
produce,President's Choice,Bay Leaf,President's ChoiceBay Leaf28 g,$2.99ea,,,False,
produce,,Organic French Beans,Organic French Beans350 g,$6.99ea,,$2.00/ 100g,False,
produce,Paramount,"Pistachios, Salt & Pepper","ParamountPistachios, Salt & Pepper200 g",$6.99ea,,$3.50/ 100g,False,
produce,Bolthouse,Green Goodness,BolthouseGreen Goodness1.54 l,$9.99ea,,$0.65/ 100ml,False,
produce,,Winter Peppers,Winter Peppers2 ea,$4.99ea,,$2.50/ 1ea,False,
produce,,"Chicken Ceasar Salad, Mini No Bacon","Chicken Ceasar Salad, Mini No Bacon135 g",$5.00ea,,$4.17/ 100g,False,
produce,,Avocado Salad,Avocado Salad238 g,$9.00ea,,$3.78/ 100g,False,
produce,President's Choice,Cocktail Tomatoes,President's ChoiceCocktail Tomatoes340 g,$5.99ea,,$1.76/ 100g,False,
produce,,Mini Steak and Egg Cobb Salad,Mini Steak and Egg Cobb Salad170 g,$5.00ea,,$2.94/ 100g,False,
produce,,Chicken Caesar Salad Family Size,Chicken Caesar Salad Family Size0.95 kg,$17.00ea,,$1.79/ 100g,False,
produce,Greenhouse,Kombucha Ultraviolet Organic    ,GreenhouseKombucha Ultraviolet Organic    340 ml,$4.99ea,,$1.47/ 100ml,False,
produce,Greenhouse,Lime Lemongrass Organic Kombucha,GreenhouseLime Lemongrass Organic Kombucha1000 ml,$9.99ea,,$1.00/ 100ml,False,
produce,,Premium Chicken BLT,Premium Chicken BLT340 g,$9.00ea,,$2.69/ 100g,False,
produce,,Pearl Onion,Pearl Onion250 g,$2.99ea,,$1.20/ 100g,False,
produce,PC Organics,Organic Grape Tomatoes,PC OrganicsOrganic Grape Tomatoes255 g,$5.99ea,,$2.35/ 100g,False,
produce,Renees,Mighty Caesar Dressing,ReneesMighty Caesar Dressing42 g,$0.59ea,,$1.40/ 100g,False,
