category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
bakery,,White Baguette,White Baguette255 g,$1.69ea,,$0.66/ 100g,False,1.0,
bakery,President's Choice,Tortillas Original ,President's ChoiceTortillas Original 650 g,$4.29ea,,$0.66/ 100g,False,2.0,
bakery,Farmer's Market,Butter Croissant,Farmer's MarketButter Croissant270 g,$6.29ea,,$2.33/ 100g,False,3.0,
bakery,Wonder,"Bread, Sliced White","WonderBread, Sliced White675 g",$3.99ea,,$0.59/ 100g,False,4.0,
bakery,President's Choice,Original English Muffins,President's ChoiceOriginal English Muffins342 g,$3.29ea,,$0.96/ 100g,False,5.0,
bakery,ACE,White Baguette,ACEWhite Baguette350 g,$3.99ea,,$1.14/ 100g,False,6.0,
bakery,Farmer's Market,Banana Chocolate Chunk Muffins,Farmer's MarketBanana Chocolate Chunk Muffins600 g,$6.99ea,,$1.17/ 100g,False,7.0,
bakery,Farmer's Market,Chocolate Chip Muffins,Farmer's MarketChocolate Chip Muffins600 g,$6.99ea,,$1.17/ 100g,False,8.0,
bakery,Casa Mendosa,Large Whole Wheat Tortillas,Casa MendosaLarge Whole Wheat Tortillas640 g,$4.79ea,,$0.75/ 100g,False,9.0,
bakery,Farmer's Market,Blueberry Muffins,Farmer's MarketBlueberry Muffins570 g,$6.99ea,,$1.23/ 100g,False,10.0,
bakery,No Name,Everything Bagels,No NameEverything Bagels510 g,$2.99ea,,$0.59/ 100g,False,11.0,
bakery,DItaliano,Brioche-Style Hamburger Buns,DItalianoBrioche-Style Hamburger Buns560 g,$3.99ea,,$0.71/ 100g,False,12.0,
bakery,Wonder,White Bread with Fibre,WonderWhite Bread with Fibre675 g,$3.99ea,,$0.59/ 100g,False,13.0,
bakery,No Name,"Bagel Plain, 6 Pack","No NameBagel Plain, 6 Pack510 g",$2.99ea,,$0.59/ 100g,False,14.0,
bakery,DItaliano,Thick Sliced Bread 100% Whole Wheat ,DItalianoThick Sliced Bread 100% Whole Wheat 675 g,$3.99ea,,$0.59/ 100g,False,15.0,
bakery,Country Harvest,Everything Bagel,Country HarvestEverything Bagel450 g,$4.49ea,,$1.00/ 100g,False,16.0,
bakery,Wonder,White Hotdog Buns,WonderWhite Hotdog Buns8x44.5 g,$3.99ea,,$1.12/ 100g,False,17.0,
bakery,President's Choice,Chocolate Chip Mini Muffins,President's ChoiceChocolate Chip Mini Muffins336 g,$6.29ea,,$1.87/ 100g,False,18.0,
bakery,Farmer's Market,Carrot Muffins,Farmer's MarketCarrot Muffins600 g,$6.99ea,,$1.17/ 100g,False,19.0,
bakery,Country Harvest,Cinnamon Raisin Bread,Country HarvestCinnamon Raisin Bread600 g,$4.49ea,,$0.75/ 100g,False,20.0,
bakery,Wonder,White Bread White Texas,WonderWhite Bread White Texas675 g,$3.99ea,,$0.59/ 100g,False,21.0,
bakery,Country Harvest,Quinoa Flax Bread,Country HarvestQuinoa Flax Bread600 g,$4.49ea,,$0.75/ 100g,False,22.0,
bakery,Casa Mendosa,"10 Medium Tortillas, Original","Casa Mendosa10 Medium Tortillas, Original340 g",$4.29ea,,$1.26/ 100g,False,23.0,
bakery,Country Harvest,Protein Bread,Country HarvestProtein Bread600 g,$4.49ea,,$0.75/ 100g,False,24.0,
bakery,Paneriso,Banana Loaf Cake,PanerisoBanana Loaf Cake454 g,$8.49ea,,$1.87/ 100g,False,25.0,
bakery,La Tortilla Factory,Tortillas Ancient Grain Ivory Teff Wraps,La Tortilla FactoryTortillas Ancient Grain Ivory Teff Wraps396 g,$7.49ea,,$1.89/ 100g,False,26.0,
bakery,Rubschlager,Sesame Multigrain Loaf,RubschlagerSesame Multigrain Loaf454 g,$3.99ea,,$0.88/ 100g,False,27.0,
bakery,Poppers,Wheat Popped Grains,PoppersWheat Popped Grains120 g,$5.49ea,,$4.58/ 100g,False,28.0,
bakery,Ozery's,Broiche Buns Bakery Soft and Fluffy Pre-Sliced Thin Buns,Ozery'sBroiche Buns Bakery Soft and Fluffy Pre-Sliced Thin Buns6x378.0 g,$4.49ea,,$1.19/ 100g,False,29.0,
bakery,Cadbury,Caramilk Dome Cake,CadburyCaramilk Dome Cake1.2 kg,$18.99ea,,$2.71/ 100g,False,30.0,
bakery,,All Butter Almondine Rolls,All Butter Almondine Rolls255 g,$4.99ea,,$1.45/ 100g,False,31.0,
bakery,,Submarine Buns 4 Pack,Submarine Buns 4 Pack464 g,$3.29ea,,$2.53/ 100g,False,32.0,
bakery,,Bagels,Bagels113 g,$0.89ea,,$0.79/ 100g,False,33.0,
bakery,,8' Black Forest Cake,8' Black Forest Cake1100 g,$27.99ea,,$2.54/ 100g,False,34.0,
bakery,Baxters,Swiss Roll Chocolate,BaxtersSwiss Roll Chocolate6x67.0 g,$5.49ea,,$1.37/ 100g,False,35.0,
bakery,,Elite Sweets Milky Way Cake,Elite Sweets Milky Way Cake900 g,$18.99ea,,$2.11/ 100g,False,36.0,
bakery,,"Small Cannoli, 6 Pack","Small Cannoli, 6 Pack6x30.0 g",$5.99ea,,$3.33/ 100g,False,37.0,
bakery,Dimpflmeier,7 Grains Bread,Dimpflmeier7 Grains Bread454 g,$4.99ea,$4.59ea,$1.01/ 100g,True,38.0,saleEnds 03/22
bakery,,"Sub Roll, Sesame Seed 4 pack","Sub Roll, Sesame Seed 4 pack420 g",$3.29ea,,$0.78/ 100g,False,39.0,
bakery,,"White Celebration Cake, 5 in","White Celebration Cake, 5 in0.65 kg",$12.99ea,,$2.00/ 100g,False,40.0,
bakery,President's Choice,Sourdough Loaf,President's ChoiceSourdough Loaf500 g,$3.99ea,,$0.80/ 100g,False,41.0,
bakery,Stonemill,Wholesome Bread Loaf Quinoa & Flax  ,StonemillWholesome Bread Loaf Quinoa & Flax  600 g,$5.69ea,,$0.95/ 100g,False,42.0,
bakery,Farmer's Market,Cinnamon Swirl Iced Loaf Cake,Farmer's MarketCinnamon Swirl Iced Loaf Cake400 g,$6.29ea,,$1.57/ 100g,False,43.0,
bakery,,"Pumpernickel Bread, Unsliced","Pumpernickel Bread, Unsliced675 g",$4.79ea,,$0.71/ 100g,False,44.0,
bakery,,Cheese Swirl Buns 4 Pack,Cheese Swirl Buns 4 Pack400 g,$5.79ea,,$1.45/ 100g,False,45.0,
bakery,,Croissant Cheese Mini 10 Pack,Croissant Cheese Mini 10 Pack280 g,$4.29ea,,$1.53/ 100g,False,46.0,
bakery,President's Choice,Mini Naan Garlic 4 Flatbreads,President's ChoiceMini Naan Garlic 4 Flatbreads180 g,$3.49ea,,$1.94/ 100g,False,47.0,
bakery,,PC Dinner Rolls 60% Whole Wheat,PC Dinner Rolls 60% Whole Wheat12x1.0 ea,$4.29ea,,$0.36/ 1ea,False,48.0,
bakery,,Croissant Cheese Mini 10 Pack,Croissant Cheese Mini 10 Pack280 g,$4.29ea,,$1.53/ 100g,False,49.0,
bakery,Paneriso,Banana Loaf Cake,PanerisoBanana Loaf Cake454 g,$8.49ea,,$1.87/ 100g,False,50.0,
bakery,La Tortilla Factory,Tortillas Ancient Grain Ivory Teff Wraps,La Tortilla FactoryTortillas Ancient Grain Ivory Teff Wraps396 g,$7.49ea,,$1.89/ 100g,False,51.0,
bakery,Rubschlager,Sesame Multigrain Loaf,RubschlagerSesame Multigrain Loaf454 g,$3.99ea,,$0.88/ 100g,False,52.0,
bakery,Farmer's Market,"Tea Biscuits, Cheddar Cheese","Farmer's MarketTea Biscuits, Cheddar Cheese315 g",$6.29ea,,$2.00/ 100g,False,53.0,
bakery,,"Cookie and Cream Cake, 8 in","Cookie and Cream Cake, 8 in1.5 kg",$20.99ea,,$1.40/ 100g,False,54.0,
bakery,Farmer's Market,Lemon Curd Cake,Farmer's MarketLemon Curd Cake475 g,$6.99ea,,$1.47/ 100g,False,55.0,
bakery,President's Choice,Multigrain Flatbread,President's ChoiceMultigrain Flatbread300 g,$3.09ea,,$1.03/ 100g,False,56.0,
bakery,Poppers,Wheat Popped Grains,PoppersWheat Popped Grains120 g,$5.49ea,,$4.58/ 100g,False,57.0,
bakery,Ozery's,Broiche Buns Bakery Soft and Fluffy Pre-Sliced Thin Buns,Ozery'sBroiche Buns Bakery Soft and Fluffy Pre-Sliced Thin Buns6x378.0 g,$4.49ea,,$1.19/ 100g,False,58.0,
bakery,,"Sub Roll, Sesame Seed 4 pack","Sub Roll, Sesame Seed 4 pack420 g",$3.29ea,,$0.78/ 100g,False,59.0,
bakery,,"White Celebration Cake, 5 in","White Celebration Cake, 5 in0.65 kg",$12.99ea,,$2.00/ 100g,False,60.0,
bakery,President's Choice,Sourdough Loaf,President's ChoiceSourdough Loaf500 g,$3.99ea,,$0.80/ 100g,False,61.0,
bakery,Stonemill,Wholesome Bread Loaf Quinoa & Flax  ,StonemillWholesome Bread Loaf Quinoa & Flax  600 g,$5.69ea,,$0.95/ 100g,False,62.0,
bakery,,Cheese Swirl Buns 4 Pack,Cheese Swirl Buns 4 Pack400 g,$5.79ea,,$1.45/ 100g,False,63.0,
bakery,,8' Black Forest Cake,8' Black Forest Cake1100 g,$27.99ea,,$2.54/ 100g,False,64.0,
bakery,President's Choice,Thick Pizza Crust,President's ChoiceThick Pizza Crust300 g,$3.79ea,,$1.26/ 100g,False,65.0,
bakery,Farmer's Market,Pecan Butter Tarts,Farmer's MarketPecan Butter Tarts6x85.0 g,$7.99ea,$6.99ea,$1.37/ 100g,True,66.0,saleEnds 03/15
bakery,Rudolphs,Rye Bread,RudolphsRye Bread907 g,$5.99ea,,$0.66/ 100g,False,67.0,
bakery,,Macarons Assorted Pk 6,Macarons Assorted Pk 696 g,$12.99ea,,$13.53/ 100g,False,68.0,
bakery,Rudolphs,Five Grain Bread,RudolphsFive Grain Bread680 g,$4.99ea,,$0.73/ 100g,False,69.0,
bakery,,"7 Grain Bread, Sliced","7 Grain Bread, Sliced570 g",$3.99ea,,$0.89/ 100g,False,70.0,
bakery,Casa Mendosa,"6 Large Tortillas, Tomato Salsa","Casa Mendosa6 Large Tortillas, Tomato Salsa384 g",$4.79ea,,$1.25/ 100g,False,71.0,
bakery,,"Mixed Fruit Custard Tart, 4 in","Mixed Fruit Custard Tart, 4 in190 g",$2.59ea,,$1.36/ 100g,False,72.0,
bakery,,Long John Donuts,Long John Donuts6x50.0 g,$7.99ea,,$2.66/ 100g,False,73.0,
bakery,,"Kaiser, 60% Whole Wheat","Kaiser, 60% Whole Wheat800 g",$6.99ea,,$0.87/ 100g,False,74.0,
bakery,Sha Sha,Ginger Snap Cookies,Sha ShaGinger Snap Cookies300x300.0 g,$6.99ea,,$2.33/ 100g,False,75.0,
bakery,,Chocolate Fudge Cake Slice,Chocolate Fudge Cake Slice200 g,$4.00ea,,$2.00/ 100g,False,76.0,
bakery,,Panini Rolls 6 Pack,Panini Rolls 6 Pack320 g,$4.49ea,,$1.40/ 100g,False,77.0,
bakery,ACE,Olive Oil & Sea Salt Mini Crisps ,ACEOlive Oil & Sea Salt Mini Crisps 180 g,$6.49ea,,$3.61/ 100g,False,78.0,
bakery,,Honey Glazed Donuts 6 pack,Honey Glazed Donuts 6 pack480 g,$7.99ea,,$1.66/ 100g,False,79.0,
bakery,,Cookies & Cream Cheesecake,Cookies & Cream Cheesecake200 g,$4.00ea,,$2.00/ 100g,False,80.0,
bakery,Frontier Bakery,Lebanese Style Whole Wheat Pita,Frontier BakeryLebanese Style Whole Wheat Pita330 g,$1.69ea,,$0.51/ 100g,False,81.0,
