category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
drinks,Maxwell House,Original Roast Ground Coffee,Maxwell HouseOriginal Roast Ground Coffee925 g,$12.99ea,,$1.40/ 100g,False,1.0,
drinks,MiO,Lemonade Liquid Water Enhancer,MiOLemonade Liquid Water Enhancer48 ml,$4.29ea,,$8.94/ 100ml,False,2.0,
drinks,Maxwell House,Original Roast Coffee 100% Compostable K Cup Coffee Pods,Maxwell HouseOriginal Roast Coffee 100% Compostable K Cup Coffee Pods285 g,$17.99ea,,$6.31/ 100g,False,3.0,
drinks,Maxwell House,Pure Ground Coffee Rich Dark Roast,Maxwell HousePure Ground Coffee Rich Dark Roast900 g,$12.99ea,,$1.44/ 100g,False,4.0,
drinks,President's Choice,Orange Juice No Pulp,President's ChoiceOrange Juice No Pulp2.63 l,$5.99ea,,$0.23/ 100ml,False,5.0,
drinks,MiO,Fruit Punch Flavoured Liquid Water Enhancer,MiOFruit Punch Flavoured Liquid Water Enhancer48 ml,$4.29ea,,$8.94/ 100ml,False,6.0,
drinks,President's Choice,Natural Spring Water 24 Pack,President's ChoiceNatural Spring Water 24 Pack24x500.0 ml,$3.99pack of 24,,$0.03/ 100ml,False,7.0,
drinks,Coca-Cola,Soda ,Coca-ColaSoda 6x710.0 ml,$6.99pack of 6,,$0.16/ 100ml,False,8.0,
drinks,Nabob,100% Colombian Coffee 100% Compostable Pods,Nabob100% Colombian Coffee 100% Compostable Pods292 g,$18.99ea,,$6.50/ 100g,False,9.0,
drinks,Pepsi,Soda      ,PepsiSoda      6x710.0 ml,$6.99pack of 6,,$0.16/ 100ml,False,10.0,
drinks,Tassimo,Nabob Café Crema Coffee Single Serve T-Discs,TassimoNabob Café Crema Coffee Single Serve T-Discs14 ea,$11.99ea,,$10.90/ 100g,False,11.0,
drinks,President's Choice,Gourmet West Coast Dark Roast Coffee,President's ChoiceGourmet West Coast Dark Roast Coffee875 g,$14.99ea,$12.99ea,$1.48/ 100g,True,12.0,saleEnds 03/15
drinks,Coca-Cola,Zero Sugar     ,Coca-ColaZero Sugar     6x710.0 ml,$6.99pack of 6,,$0.16/ 100ml,False,13.0,
drinks,Canada Dry,"Ginger Ale, 6 Pack","Canada DryGinger Ale, 6 Pack6x710.0 ml",$6.99pack of 6,,$0.16/ 100ml,False,14.0,
drinks,Coca-Cola,Cola  ,Coca-ColaCola  24x355.0 ml,$14.99pack of 24,,$0.18/ 100ml,False,15.0,
drinks,Pepsi,Diet Soda,PepsiDiet Soda6x710.0 ml,$6.99c06,,$0.16/ 100ml,False,16.0,
drinks,Coca-Cola,Diet Coke  ,Coca-ColaDiet Coke  6x710.0 ml,$6.99pack of 6,,$0.16/ 100ml,False,17.0,
drinks,Tetley,Super Herbal Tea Sunshine Lemon & Orange With Vitamin D,TetleySuper Herbal Tea Sunshine Lemon & Orange With Vitamin D20 ea,$4.49ea,,$0.22/ 1ea,False,18.0,
drinks,Red Rose,"Tea, Orange Pekoe  Bold & Delicious Blend For a Smooth Sensation","Red RoseTea, Orange Pekoe  Bold & Delicious Blend For a Smooth Sensation144 ea",$11.99ea,,$0.08/ 1ea,False,19.0,
drinks,Illy,"Coffee, Keurig Hot Medium Roast  K-Cup Pods 10 X 11.9 G","IllyCoffee, Keurig Hot Medium Roast  K-Cup Pods 10 X 11.9 G10 ea",$13.99ea,,$1.40/ 1ea,False,20.0,
drinks,San Pellegrino,Original Sparkling Natural Mineral Water,San PellegrinoOriginal Sparkling Natural Mineral Water8x330.0 ml,$11.49pack of 8,,$0.44/ 100ml,False,21.0,
drinks,Harney & Sons,Ht Tea Blends Tea Sachets Organic Ginger Lemon,Harney & SonsHt Tea Blends Tea Sachets Organic Ginger Lemon1 ea,$12.99ea,,$12.99/ 1ea,False,22.0,
drinks,Tetley,Decafeine Orange Pekoe,TetleyDecafeine Orange Pekoe48 ea,$6.99ea,,$0.15/ 1ea,False,23.0,
drinks,Suraj,Masala Chai Tea,SurajMasala Chai Tea166 g,$4.89ea,,$2.95/ 100g,False,24.0,
drinks,President's Choice,Medium Roast Colombian Coffee,President's ChoiceMedium Roast Colombian Coffee340 g,$9.99ea,,$2.94/ 100g,False,25.0,
drinks,Jacobs,Kronung Instant Coffee,JacobsKronung Instant Coffee100 g,$7.99ea,,$7.99/ 100g,False,26.0,
drinks,Whistler,Glacial Spring Water,WhistlerGlacial Spring Water4 l,$4.29ea,,$0.11/ 100ml,False,27.0,
