category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
frozen,President's Choice,Sliced Strawberries,President's ChoiceSliced Strawberries600 g,$5.99ea,,$1.00/ 100g,False,
frozen,President's Choice,Broccoli Florets,President's ChoiceBroccoli Florets500 g,$4.00ea,$3.49ea,$0.70/ 100g,True,saleEnds 03/01
frozen,President's Choice,Blueberries Cultivated,President's ChoiceBlueberries Cultivated600 g,$5.99ea,,$1.00/ 100g,False,
frozen,CAVENDISH FARMS, Flavourcrisp Classic Straight Cut Fries,CAVENDISH FARMS Flavourcrisp Classic Straight Cut Fries750 g,$4.99ea,,$0.67/ 100g,False,
frozen,Mccain,Superfries 5 Minute Shoestring Fries,MccainSuperfries 5 Minute Shoestring Fries650 g,$4.99ea,,$0.77/ 100g,False,
frozen,President's Choice,Mango Chunks ,President's ChoiceMango Chunks 600 g,$5.99ea,,$1.00/ 100g,False,
frozen,No Name,Crinkle Cut Fried Potatoes,No NameCrinkle Cut Fried Potatoes1 kg,$4.49ea,,$0.45/ 100g,False,
frozen,CAVENDISH FARMS,Original Hash Brown Patties,CAVENDISH FARMSOriginal Hash Brown Patties600 g,$4.49ea,,$0.75/ 100g,False,
frozen,President's Choice,"Flatbread Chicken, Bacon & Caramelized Onion","President's ChoiceFlatbread Chicken, Bacon & Caramelized Onion340 g",$5.79ea,,$1.70/ 100g,False,
frozen,Mccain,Straight Cut French Fries,MccainStraight Cut French Fries900 g,$4.29ea,,$0.48/ 100g,False,
frozen,Dr Oetker,Casa di Mama Pepperoni Pizza,Dr OetkerCasa di Mama Pepperoni Pizza395 g,$7.99ea,,$2.02/ 100g,False,
frozen,President's Choice,Butter Chicken,President's ChoiceButter Chicken350 g,$4.99ea,,$1.43/ 100g,False,
frozen,President's Choice,"Peaches, Strawberries, Pineapple & Mango 4-Fruit Blend","President's ChoicePeaches, Strawberries, Pineapple & Mango 4-Fruit Blend600 g",$5.99ea,,$1.00/ 100g,False,
frozen,Green Giant,Summer Sweet Peas,Green GiantSummer Sweet Peas750 g,$4.79ea,,$0.64/ 100g,False,
frozen,President's Choice,Edamame,President's ChoiceEdamame500 g,$4.00ea,$3.49ea,$0.70/ 100g,True,saleEnds 03/01
frozen,Mccain,Smiles Potatoes,MccainSmiles Potatoes650 g,$4.99ea,,$0.77/ 100g,False,
frozen,President's Choice,Extra Fine Whole Green Beans ,President's ChoiceExtra Fine Whole Green Beans 500 g,$4.00ea,$3.49ea,$0.70/ 100g,True,saleEnds 03/01
frozen,CAVENDISH FARMS,Restaurant Style Pub Fries,CAVENDISH FARMSRestaurant Style Pub Fries750 g,$4.99ea,,$0.67/ 100g,False,
frozen,Michelina,Macaroni and Cheese,MichelinaMacaroni and Cheese255 g,$2.99ea,,$1.17/ 100g,False,
frozen,Yorkshire Valley Farms,Organic Chicken Bites,Yorkshire Valley FarmsOrganic Chicken Bites454 g,$14.99ea,,$3.30/ 100g,False,
frozen,No Name,Blueberries,No NameBlueberries2 kg,$14.99ea,,$0.75/ 100g,False,
frozen,St Hubert,Montana's Texan BBQ Ribs,St HubertMontana's Texan BBQ Ribs650 g,$15.99ea,,$2.46/ 100g,False,
frozen,Chapmans,Sorbet Rainbow,ChapmansSorbet Rainbow2 l,$5.49ea,$4.49ea,$0.22/ 100ml,True,saleEnds 03/01
frozen,Heiwa,Sanuki-Style Udon     ,HeiwaSanuki-Style Udon     1.25 kg,$5.29ea,,$0.42/ 100g,False,
frozen,Mccain,9 Minute Savoury Herb Potato Patties,Mccain9 Minute Savoury Herb Potato Patties600 g,$4.99ea,,$0.83/ 100g,False,
frozen,President's Choice,"Baby Brussels Sprouts, Club Size","President's ChoiceBaby Brussels Sprouts, Club Size1.75 kg",$10.99ea,,$0.63/ 100g,False,
frozen,Chapmans,Lolly Chocolate,ChapmansLolly Chocolate28x50.0 ml,$5.99ea,$5.49ea,$0.39/ 100ml,True,saleEnds 03/15
frozen,President's Choice,Eggplant Parmesan,President's ChoiceEggplant Parmesan1130 g,$14.99ea,,$1.33/ 100g,False,
frozen,President's Choice,Beef Stroganoff,President's ChoiceBeef Stroganoff907 g,$14.99ea,,$1.65/ 100g,False,
frozen,Marie Callender's,Sweet Pineapple Chicken Teriyaki Bowl,Marie Callender'sSweet Pineapple Chicken Teriyaki Bowl349 g,$6.79ea,,$1.95/ 100g,False,
frozen,No Name,Cookies & Cream Ice Cream Sandwiches ,No NameCookies & Cream Ice Cream Sandwiches 24x120.0 ml,$9.99ea,$8.99ea,$0.31/ 100ml,True,saleEnds 03/15
frozen,Dr Oetker,Giuseppe Pizzeria Rising Crust Hawaiian Pizza ,Dr OetkerGiuseppe Pizzeria Rising Crust Hawaiian Pizza 730 g,$6.99ea,,$0.96/ 100g,False,
frozen,Brar's,Samosa Spinach Paneer,Brar'sSamosa Spinach Paneer624 g,$7.99ea,,$1.28/ 100g,False,
frozen,Nestle,"CHIPS AHOY! Chocolate Chip Sandwich, 4-Pack","NestleCHIPS AHOY! Chocolate Chip Sandwich, 4-Pack500 ml",$6.99ea,,$1.40/ 100ml,False,
frozen,Chapmans,Ice Cream Premium Pistachio & Almonds ,ChapmansIce Cream Premium Pistachio & Almonds 2 l,$6.99ea,$4.49ea,$0.22/ 100ml,True,saleEnds 03/01
frozen,Michelina,Penne Primavera,MichelinaPenne Primavera255 g,$2.99ea,,$1.17/ 100g,False,
frozen,Delissio,Thin Crispy Crust Pepperoni Pizza,DelissioThin Crispy Crust Pepperoni Pizza475 g,$7.29ea,,$1.53/ 100g,False,
frozen,President's Choice,Chopped Kale,President's ChoiceChopped Kale500 g,$4.00ea,$3.49ea,$0.70/ 100g,True,saleEnds 03/01
frozen,High Liner,Pan Sear Garlic & Herb Shrimp Butterflied,High LinerPan Sear Garlic & Herb Shrimp Butterflied454 g,$17.99ea,,$3.96/ 100g,False,
frozen,Binggrae,"Ice Cream, Melona Purple Yam Frozen Dessert Bars","BinggraeIce Cream, Melona Purple Yam Frozen Dessert Bars560 ml",$6.99ea,,$1.25/ 100ml,False,
frozen,O'Tasty,BBQ Pork Steamed Buns,O'TastyBBQ Pork Steamed Buns680 g,$7.99ea,,$1.18/ 100g,False,
frozen,President's Choice,Chocolate Frozen Yogurt,President's ChoiceChocolate Frozen Yogurt2 l,$6.49ea,,$0.32/ 100ml,False,
frozen,Cool Whip,Low Fat Frozen Whipped Topping,Cool WhipLow Fat Frozen Whipped Topping1 l,$4.99ea,,$0.50/ 100ml,False,
frozen,,Southern-Style Popcorn Chicken,Southern-Style Popcorn Chicken1.13 kg,$10.00ea,,$0.88/ 100g,False,
frozen,Chapmans,Yogurt Frosty Bar,ChapmansYogurt Frosty Bar18x75.0 ml,$7.99ea,$4.49ea,$0.33/ 100ml,True,saleEnds 03/01
frozen,President's Choice,Frozen Mini Eclairs,President's ChoiceFrozen Mini Eclairs710 g,$14.99ea,,$2.11/ 100g,False,
frozen,Enlightened,Frozen Dessert Vanilla Bean,EnlightenedFrozen Dessert Vanilla Bean473 ml,$9.49ea,,$2.01/ 100ml,False,
frozen,Healthy Choice,"Gourmet Steamers, Sweet Sesame Chicken","Healthy ChoiceGourmet Steamers, Sweet Sesame Chicken292 g",$5.79ea,,$1.98/ 100g,False,
