category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
household_items,President's Choice, 3-Ply Hypoallergenic Facial Tissues,President's Choice 3-Ply Hypoallergenic Facial Tissues65 sheets,$3.29ea,,$3.29/ 1ea,False,
household_items,No Name,Regular Garbage Bags,No NameRegular Garbage Bags40 ea,$8.99ea,,$0.22/ 1ea,False,
household_items,Dawn," Dishwashing Liquid Dish Soap, Original Scent","Dawn Dishwashing Liquid Dish Soap, Original Scent982 ml",$5.99ea,,$0.61/ 100ml,False,
household_items,No Name,Bleach Club Size ,No NameBleach Club Size 2.4 l,$3.99ea,,$0.17/ 100ml,False,
household_items,No Name,Napkins 1 Ply,No NameNapkins 1 Ply1 ea,$4.79ea,,$0.02/ 1ea,False,
household_items,No Name,"Bathroom tissue, 24 Rolls","No NameBathroom tissue, 24 Rolls24 rolls",$8.49ea,,$0.35/ 1ea,False,
household_items,Lysol,Laundry Disinfectant,LysolLaundry Disinfectant1.2 l,$8.99ea,,$0.75/ 100ml,False,
household_items,,Bona Professional Series Hardwood Floor Spray Mop,Bona Professional Series Hardwood Floor Spray Mop,$94.99ea,,,False,
household_items,,Johnny Vac JV125 Wet Dry Commercial Vacuum Cleaner | 4 Gallon (15 litres) Capacity Tank with Professional Accessory Kit,Johnny Vac JV125 Wet Dry Commercial Vacuum Cleaner | 4 Gallon (15 litres) Capacity Tank with Professional Accessory Kit,$349.00ea,,,False,
household_items,,Car Interior RGB Strip Light with Remote Control and APP Control 48 LEDs,Car Interior RGB Strip Light with Remote Control and APP Control 48 LEDs,$28.99ea,,,False,
household_items,,Ajax Orange Scented All Purpose Cleaner 16.9 Ounce - Pack of 3,Ajax Orange Scented All Purpose Cleaner 16.9 Ounce - Pack of 3,$24.99ea,,,False,
household_items,Swiffer,"WetJet Hardwood Floor Cleaner Spray Mop Pad Refill, Heavy Duty, 10 Count","SwifferWetJet Hardwood Floor Cleaner Spray Mop Pad Refill, Heavy Duty, 10 Count10 ea",$14.99ea,,$1.50/ 1ea,False,
household_items,,"Drawstring Trash Bag Heavy Duty Garbage Bags 30 x 33"" Black 30Pcs/Pack 90L/23.78Gal","Drawstring Trash Bag Heavy Duty Garbage Bags 30 x 33"" Black 30Pcs/Pack 90L/23.78Gal",$17.99ea,,,False,
household_items,Sylvania,"G16.5 40W Light Bulbs, White","SylvaniaG16.5 40W Light Bulbs, White2x2.0 ea",$4.49ea,,$2.25/ 1ea,False,
household_items,,"Allegro POCO MU3000 Central Vacuum System 2,000 Square Foot for Small Apartments / Condominiums","Allegro POCO MU3000 Central Vacuum System 2,000 Square Foot for Small Apartments / Condominiums",$425.00ea,,,False,
household_items,Renuzit," Adjustable Air Freshener, Raspberry","Renuzit Adjustable Air Freshener, Raspberry198 g",$2.29ea,,$1.16/ 100g,False,
household_items,,Karcher WVP10 Window Vacuum #16335510,Karcher WVP10 Window Vacuum #16335510,$292.00ea,,,False,
household_items,,Instant Aid- Lens Cleaning Towelette (12 In 1 Pack) (Pack of 3) by Purest,Instant Aid- Lens Cleaning Towelette (12 In 1 Pack) (Pack of 3) by Purest,$30.97ea,,,False,
household_items,No Name,Giant Pasta Pan,No NameGiant Pasta Pan1 ea,$6.99ea,,$6.99/ 1ea,False,
household_items,,Anti Dust Mite Vacuum Cleaner 300W UV HEPA Handhold Vacuum LW-P1003,Anti Dust Mite Vacuum Cleaner 300W UV HEPA Handhold Vacuum LW-P1003,$89.99ea,,,False,
household_items,Renova,"Napkins, Fuchsia","RenovaNapkins, Fuchsia70 ea",$1.99ea,,$0.03/ 1ea,False,
household_items,,Eveready Pygmy SES Light Bulb (Pack Of 2) (Transparent),Eveready Pygmy SES Light Bulb (Pack Of 2) (Transparent),$6.80ea,,,False,
household_items,,PresSence Kitchen Slim Sponge Navy,PresSence Kitchen Slim Sponge Navy,$4.99ea,,,False,
household_items,,Little Tree Car Air Freshener Bubble Gum,Little Tree Car Air Freshener Bubble Gum,$23.20ea,,,False,
household_items,Sylvania,GU10 Flood 50W Light Bulbs,SylvaniaGU10 Flood 50W Light Bulbs6x6.0 ea,$18.99ea,,$3.17/ 1ea,False,
household_items,Scotch,Little Handy Scrubber,ScotchLittle Handy Scrubber1 ea,$6.29ea,$5.99ea,$5.99/ 1ea,True,saleEnds 03/22
household_items,,VPC Central Vacuum Accessory Kit with Sweep N' Groom Electric Powerhead | Deluxe Tool Set & Bonus Tool Set,VPC Central Vacuum Accessory Kit with Sweep N' Groom Electric Powerhead | Deluxe Tool Set & Bonus Tool Set,$409.98ea,,,False,
household_items,President's Choice,"Hearing Aid Batteries, Size 10","President's ChoiceHearing Aid Batteries, Size 108x1.0 ea",$14.99ea,,$1.87/ 1ea,False,
household_items,,Turbo Cat Powerhead Geared Belt fits TP210 210 7120,Turbo Cat Powerhead Geared Belt fits TP210 210 7120,$14.99ea,,,False,
household_items,,Esteam Degreaser / Cleaner 1 Gallon-Case of 4,Esteam Degreaser / Cleaner 1 Gallon-Case of 4,$129.99ea,,,False,
household_items,,Eveready Pygmy 15W SES Light Bulb (Pack Of 10) (Transparent),Eveready Pygmy 15W SES Light Bulb (Pack Of 10) (Transparent),$11.86ea,,,False,
household_items,Sylvania,"LED Bulb, 10 Year, 9W PAR30 SW VP2","SylvaniaLED Bulb, 10 Year, 9W PAR30 SW VP22x1.0 ea",$23.99ea,,$12.00/ 1ea,False,
household_items,,VPC Central Vacuum Electric Attachment Kit | PN33 Power Head | Deluxe Tools Set and Bonus Tools,VPC Central Vacuum Electric Attachment Kit | PN33 Power Head | Deluxe Tools Set and Bonus Tools,$379.98ea,,,False,
household_items,,Bentley PVC Yard Broom Head With Bracket,Bentley PVC Yard Broom Head With Bracket,$14.85ea,,,False,
household_items,Glad,Black Garbage Bags - Extra-Large 135 Litres,GladBlack Garbage Bags - Extra-Large 135 Litres20 ea,$13.99ea,,$0.70/ 1ea,False,
household_items,No Name,Giant Oval Rack Roaster,No NameGiant Oval Rack Roaster1 ea,$5.49ea,,$5.49/ 1ea,False,
household_items,Oxi Clean,White Revive Laundry Stain Remover,Oxi CleanWhite Revive Laundry Stain Remover18 ea,$11.99ea,,$0.67/ 1ea,False,
household_items,Bonterra,3 Ply Facial Tissues,Bonterra3 Ply Facial Tissues450 ea,$7.99ea,,$0.02/ 1ea,False,
household_items,Sylvania,A19 Frosted Bulb Daylight Led 40 W,SylvaniaA19 Frosted Bulb Daylight Led 40 W1 ea,$5.98ea,,$5.98/ 1ea,False,
household_items,Oxi Clean,White Revive Stain Remover,Oxi CleanWhite Revive Stain Remover1.47 l,$10.99ea,,$0.75/ 100ml,False,
household_items,,Leather Magic Leather & Vinyl Stain Remover 16 Ounce,Leather Magic Leather & Vinyl Stain Remover 16 Ounce,$22.00ea,,,False,
household_items,Finish,Dishwasher Cleaner Lemon,FinishDishwasher Cleaner Lemon250 ml,$7.49ea,,$3.00/ 100ml,False,
household_items,,Little Tree Air Freshener Summer Linen,Little Tree Air Freshener Summer Linen,$23.20ea,,,False,
household_items,,General Purpose Cloth 4 Pack - Assorted Colours,General Purpose Cloth 4 Pack - Assorted Colours,$51.99ea,,,False,
household_items,Lysol,Laundry Disinfectant,LysolLaundry Disinfectant1.2 l,$10.99ea,$8.99ea,$0.75/ 100ml,True,saleEnds 03/01
household_items,Downy,Fabric Enhancer Water,DownyFabric Enhancer Water570 g,$18.99ea,,$3.33/ 100g,False,
household_items,Swiffer,WetJet Floor Mop Starter Kit,SwifferWetJet Floor Mop Starter Kit1 ea,$33.99ea,,$33.99/ 1ea,False,
household_items,Mr. Clean,"Liquid with Febreze, Meadows and Rain","Mr. CleanLiquid with Febreze, Meadows and Rain1.33 l",$4.79ea,$3.99ea,$0.30/ 100ml,True,saleEnds 03/01
household_items,,Bentley PVC Yard Broom Head With Bracket,Bentley PVC Yard Broom Head With Bracket,$14.85ea,,,False,
household_items,Glad,Black Garbage Bags - Extra-Large 135 Litres,GladBlack Garbage Bags - Extra-Large 135 Litres20 ea,$13.99ea,,$0.70/ 1ea,False,
household_items,No Name,Giant Oval Rack Roaster,No NameGiant Oval Rack Roaster1 ea,$5.49ea,,$5.49/ 1ea,False,
household_items,Oxi Clean,White Revive Laundry Stain Remover,Oxi CleanWhite Revive Laundry Stain Remover18 ea,$11.99ea,,$0.67/ 1ea,False,
household_items,Bonterra,3 Ply Facial Tissues,Bonterra3 Ply Facial Tissues450 ea,$7.99ea,,$0.02/ 1ea,False,
household_items,Sylvania,A19 Frosted Bulb Daylight Led 40 W,SylvaniaA19 Frosted Bulb Daylight Led 40 W1 ea,$5.98ea,,$5.98/ 1ea,False,
household_items,Oxi Clean,White Revive Stain Remover,Oxi CleanWhite Revive Stain Remover1.47 l,$10.99ea,,$0.75/ 100ml,False,
household_items,SC Johnson,"Family Guard Brand Disinfectant Cleaner Trigger, Fresh Scent, 946mL​","SC JohnsonFamily Guard Brand Disinfectant Cleaner Trigger, Fresh Scent, 946mL​946 ml",$6.99ea,,$0.74/ 100ml,False,
household_items,Finish,Dishwasher Cleaner Lemon,FinishDishwasher Cleaner Lemon250 ml,$7.49ea,,$3.00/ 100ml,False,
household_items,President's Choice,Lavender Ultra Grease-Fighting Dishwashing Liquid,President's ChoiceLavender Ultra Grease-Fighting Dishwashing Liquid739 ml,$3.49ea,,$0.47/ 100ml,False,
