category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
pantry,Lantic,Granulated Sugar,LanticGranulated Sugar2 kg,$2.99ea,$2.44ea,$0.12/ 100g,True,1.0,saleEnds 03/15
pantry,Green Giant,Peaches & Cream Corn,Green GiantPeaches & Cream Corn341 ml,$1.99ea,,$0.58/ 100ml,False,2.0,
pantry,No Name,Diced Tomatoes with Herbs and Spices,No NameDiced Tomatoes with Herbs and Spices796 ml,$1.89ea,,$0.24/ 100ml,False,3.0,
pantry,No Name,Flaked Light Tuna,No NameFlaked Light Tuna170 g,$1.99ea,,$1.17/ 100g,False,4.0,
pantry,No Name,Crushed Tomatoes,No NameCrushed Tomatoes796 ml,$1.89ea,,$0.24/ 100ml,False,5.0,
pantry,No Name,Chunk Light Tuna,No NameChunk Light Tuna170 g,$1.99ea,,$1.17/ 100g,False,6.0,
pantry,Post,With Almonds Cereal,PostWith Almonds Cereal340 g,$5.49ea,$2.99ea,$0.88/ 100g,True,7.0,saleEnds 03/15
pantry,Shah,Parboiled Rice,ShahParboiled Rice4 kg,$8.99ea,,$0.22/ 100g,False,8.0,
pantry,Frontier Soup,Soup Mix Chicken Noodle,Frontier SoupSoup Mix Chicken Noodle127.5 g,$8.99ea,,$7.05/ 100g,False,9.0,
pantry,Suraj,Aged Basmati Rice,SurajAged Basmati Rice1.81 kg,$6.99ea,,$0.39/ 100g,False,10.0,
pantry,Unico,Sunflower Oil,UnicoSunflower Oil1 l,$8.99ea,,$0.90/ 100ml,False,11.0,
pantry,PC Blue Menu,Italian Farro,PC Blue MenuItalian Farro225 g,$3.29ea,,$1.46/ 100g,False,12.0,
pantry,General Mills,Oats and Dark Chocolate Protein Bar,General MillsOats and Dark Chocolate Protein Bar311.84 g,$5.49ea,,$1.76/ 100g,False,13.0,
pantry,Dainty,Rice Basmati Format Maxi,DaintyRice Basmati Format Maxi1.6 kg,$15.99ea,,$1.00/ 100g,False,14.0,
pantry,Wilton,"White Nonpareils Sprinkles Pouch, 40 g","WiltonWhite Nonpareils Sprinkles Pouch, 40 g40 g",$1.59ea,,$3.98/ 100g,False,15.0,
pantry,Betty Crocker,Creamy Scalloped Potatoes,Betty CrockerCreamy Scalloped Potatoes141 g,$2.99ea,,$2.12/ 100g,False,16.0,
pantry,Bens,Converted Rice,BensConverted Rice4 kg,$16.99ea,,$0.42/ 100g,False,17.0,
pantry,Swiss Chalet,Chicken Noodle  Soup,Swiss ChaletChicken Noodle  Soup540 ml,$3.99ea,$3.49ea,$0.65/ 100ml,True,18.0,saleEnds 03/15
pantry,Suraj,Ground Coriander ,SurajGround Coriander 300 g,$2.79ea,,$0.93/ 100g,False,19.0,
