category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
produce,,Strawberries 1LB,Strawberries 1LB454 g,$4.99ea,$2.99ea,$0.66/ 100g,True,1.0,saleEnds 03/09
produce,,Green Seedless Grapes,Green Seedless Grapes,$10.10(est.)ea,,$9.90/ 1kg,False,2.0,
produce,,Avocados Bag,Avocados Bag1 bag,$4.99ea,,$1.00/ 1ea,False,3.0,
produce,,Celery Stalks,Celery Stalks1 ea,$3.99ea,,$3.99/ 1ea,False,4.0,
produce,,Lemon,Lemon1 ea,$1.29ea,,$1.29/ 1ea,False,5.0,
produce,,Blueberries 1 pint,Blueberries 1 pint340 g,$4.99ea,,$1.47/ 100g,False,6.0,
produce,,Red Seedless Grapes,Red Seedless Grapes,$9.80(est.)ea,,$9.90/ 1kg,False,7.0,
produce,,Tomato On The Vine Red (1 Bunch),Tomato On The Vine Red (1 Bunch),$4.68(est.)ea,$3.12(est.)ea,$4.39/ 1kg,True,8.0,saleEnds 03/15
produce,Farmer's Market,Grape Tomatoes,Farmer's MarketGrape Tomatoes283 g,$3.99ea,,$1.41/ 100g,False,9.0,
produce,,Broccoli Crowns,Broccoli Crowns,$4.18(est.)ea,,$11.00/ 1kg,False,10.0,
produce,,Mandarin,Mandarin4 lb,$6.99ea,,$0.39/ 100g,False,11.0,
produce,PC Organics,"Organic Bananas, Bunch","PC OrganicsOrganic Bananas, Bunch",$2.88(est.)ea,,$2.62/ 1kg,False,12.0,
produce,,Limes,Limes1 ea,$0.99ea,,$0.99/ 1ea,False,13.0,
produce,Rooster,"Garlic Bulbs, 3-count","RoosterGarlic Bulbs, 3-count90 g",$1.29ea,,$0.43/ 1ea,False,14.0,
produce,Farmer's Market,English Cucumber 3Ct    ,Farmer's MarketEnglish Cucumber 3Ct    3 pack,$2.99ea,,$1.00/ 1ea,False,15.0,
produce,,LoBok (Daikon Radish),LoBok (Daikon Radish),$3.09(est.)ea,,$3.29/ 1kg,False,16.0,
produce,Farmer's Market,Red Potatoes 10lb Bag,Farmer's MarketRed Potatoes 10lb Bag10 lb bag,$6.49ea,,$0.14/ 100g,False,17.0,
produce,PC Blue Menu,Unsalted California Pistachios ,PC Blue MenuUnsalted California Pistachios 454 g,$10.99ea,,$2.42/ 100g,False,18.0,
produce,Marzetti,Southwest Ranch Veggie Dip,MarzettiSouthwest Ranch Veggie Dip85 g,$1.49ea,,$1.75/ 100g,False,19.0,
produce,,Large Steak & Egg Salad,Large Steak & Egg Salad698 g,$13.00ea,,$1.86/ 100g,False,20.0,
produce,Loop,Cold-Pressed Juice Magic Sip,LoopCold-Pressed Juice Magic Sip1000 ml,$7.99ea,,$7.99/ 100ml,False,21.0,
produce,President's Choice,Cocktail Tomatoes,President's ChoiceCocktail Tomatoes340 g,$5.99ea,,$1.76/ 100g,False,22.0,
produce,No Name,Brown Mushrooms,No NameBrown Mushrooms680 g,$5.99ea,,$0.88/ 100g,False,23.0,
produce,,Organic Raspberries 1/2 pint,Organic Raspberries 1/2 pint170 g,$5.99ea,,$3.52/ 100g,False,24.0,
