category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
snacks,No Name, Lightly Salted Rippled Potato Chips ,No Name Lightly Salted Rippled Potato Chips 200 g,$2.99ea,,$1.50/ 100g,False,1.0,
snacks,No Name,Cheese Rice Crackers,No NameCheese Rice Crackers100 g,$1.99ea,,$1.99/ 100g,False,2.0,
snacks,GoGo squeez, Fruit Sauce 16 Pouches,GoGo squeez Fruit Sauce 16 Pouches16x90.0 g,$10.99ea,,$0.76/ 100g,False,3.0,
snacks,Twigz,"Craft Pretzels, Buttery Herb and Garlic","TwigzCraft Pretzels, Buttery Herb and Garlic130 g",$4.99ea,,$3.84/ 100g,False,4.0,
snacks,FERRERO ROCHER,"Hollow Hazelnut Milk Chocolate Squirrel, Easter Gift","FERRERO ROCHERHollow Hazelnut Milk Chocolate Squirrel, Easter Gift90 g",$6.99ea,,$7.77/ 100g,False,5.0,
snacks,Pringles,Mega Can BBQ Flavour,PringlesMega Can BBQ Flavour202 g,$3.99ea,,$1.97/ 100g,False,6.0,
snacks,No Name,Vanilla Crème-Filled Wafers,No NameVanilla Crème-Filled Wafers175 g,$1.69ea,,$0.97/ 100g,False,7.0,
snacks,Cadbury,Mini Eggs Assorted Chocolate Eggs Mini,CadburyMini Eggs Assorted Chocolate Eggs Mini33 g,$1.69ea,,$5.12/ 100g,False,8.0,
snacks,Jelly Belly,"Candy, Gourmet Jelly Beans - Single Serve Assorted Flavours","Jelly BellyCandy, Gourmet Jelly Beans - Single Serve Assorted Flavours40 g",$1.29ea,,$3.23/ 100g,False,9.0,
snacks,No Name,Microwave Butter Flavour Popcorn,No NameMicrowave Butter Flavour Popcorn493 g,$3.99ea,,$0.81/ 100g,False,10.0,
snacks,Galil,"Rice Cakes With Sesame Seeds And Salt Thin, 18 Cakes","GalilRice Cakes With Sesame Seeds And Salt Thin, 18 Cakes100 g",$1.99ea,,$1.99/ 100g,False,11.0,
snacks,Jack Links,Turkey Jerky,Jack LinksTurkey Jerky80 g,$6.99ea,,$8.74/ 100g,False,12.0,
snacks,Cookie It Up,"Shortbread Cookies, White Chocolate Cranberry","Cookie It UpShortbread Cookies, White Chocolate Cranberry140 g",$5.49ea,,$3.92/ 100g,False,13.0,
snacks,Shneider's,Creamy Milk,Shneider'sCreamy Milk100 g,$2.99ea,,$2.99/ 100g,False,14.0,
snacks,Handfuel,Cashews Coconut,HandfuelCashews Coconut150 g,$6.99ea,,$4.66/ 100g,False,15.0,
snacks,Loacker,"Cookies, Crispy Milk Chocolate Specialty With Hazelnut Cream Filling Original","LoackerCookies, Crispy Milk Chocolate Specialty With Hazelnut Cream Filling Original63 g",$3.99ea,,$6.33/ 100g,False,16.0,
snacks,5 Gum,"Peppermint-Cobalt Flavoured Sugar Free Chewing Gum, 35 Sticks, 1 Pack","5 GumPeppermint-Cobalt Flavoured Sugar Free Chewing Gum, 35 Sticks, 1 Pack94.49 g",$4.99ea,,$5.28/ 100g,False,17.0,
snacks,Ferrero,"Collection Eggs, Hazelnut Milk Chocolate Eggs, Creamy Hazelnut Filling, Easter Eggs","FerreroCollection Eggs, Hazelnut Milk Chocolate Eggs, Creamy Hazelnut Filling, Easter Eggs100 g",$5.99ea,,$5.99/ 100g,False,18.0,
snacks,Jack Links,Teriyaki Jerky,Jack LinksTeriyaki Jerky230 g,$14.99ea,,$6.52/ 100g,False,19.0,
snacks,GoGo squeez,"Squeeze, Apple Blueberry","GoGo squeezSqueeze, Apple Blueberry90 g",$4.59ea,,$1.28/ 100g,False,20.0,
snacks,Whisps,Cheddar Cheese Crisps    ,WhispsCheddar Cheese Crisps    60 g,$5.99ea,,$9.98/ 100g,False,21.0,
snacks,Christie,Nutter Butter Fudge Covered Cookies,ChristieNutter Butter Fudge Covered Cookies223 g,$4.29ea,,$1.92/ 100g,False,22.0,
snacks,Wrigley,"Peppermint Flavoured Sugar Free Soft Chew Gum, 15 Pieces, 1 Pack","WrigleyPeppermint Flavoured Sugar Free Soft Chew Gum, 15 Pieces, 1 Pack1 ea",$2.79ea,,$2.79/ 1ea,False,23.0,
snacks,Grissol,Baguettes Bites Bruschetta,GrissolBaguettes Bites Bruschetta130 g,$3.89ea,,$2.99/ 100g,False,24.0,
snacks,Bubbies Biscotti,Double Belgian Chocolate Biscotti,Bubbies BiscottiDouble Belgian Chocolate Biscotti159 g,$6.99ea,,$4.40/ 100g,False,25.0,
snacks,Hershey's,Easter Egg Hunt Multi 10 Pack,Hershey'sEaster Egg Hunt Multi 10 Pack348 g,$15.99ea,,$4.59/ 100g,False,26.0,
snacks,Reese's, Peanut Butter Cups Candy,Reese's Peanut Butter Cups Candy46 g,$1.49ea,,$3.24/ 100g,False,27.0,
